source_type,source_id,payload_name,cover_prompt_name,prompt_family,prompt_length_characters,prompt_length_tokens,alphabet_size,baseline_mode,character_count,token_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,fraction_rank_le_16,fraction_rank_le_64
rankcloak,rankcloak_0,sha256_public_test_string,recipe_blog,recipe,136,24,8.0,,752,171,4,0.1981382978723404,0.013297872340425532,0.0026595744680851063,0.7779255319148937,0.631578947368421,0.368421052631579,-3.2730965273323966,-3.088403194030594,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_1,sha256_public_test_string,recipe_long_specific,recipe,836,160,8.0,,781,171,3,0.17285531370038412,0.029449423815621,0.0012804097311139564,0.795134443021767,0.783625730994152,0.216374269005848,-3.4296859897079908,-3.239819767757396,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_2,sha256_public_test_string,recipe_dialogue_specific,recipe_dialogue,617,124,8.0,,505,171,17,0.25742574257425743,0.06534653465346535,0.0,0.6772277227722773,0.47953216374269003,0.52046783625731,-3.1381217632551626,-2.9202285626676563,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_3,sha256_public_test_string,recipe_forum_exchange_specific,recipe_forum_exchange,538,98,8.0,,750,171,10,0.18666666666666668,0.04,0.0,0.7706666666666667,0.7368421052631579,0.26315789473684215,-3.3719286693004817,-3.1534657661521237,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_4,sha256_public_test_string,car_buying_dialogue_specific,car_buying_dialogue,468,88,8.0,,826,171,17,0.15375302663438256,0.06537530266343826,0.0,0.7808716707021792,0.7251461988304093,0.2748538011695907,-3.2641091247026655,-3.092016211955851,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_5,sha256_public_test_string,biology_tutor_dialogue_specific,biology_dialogue,457,83,8.0,,687,171,10,0.16011644832605532,0.10189228529839883,0.002911208151382824,0.735080058224163,0.7426900584795322,0.2573099415204678,-3.532829526422974,-3.228757728551667,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_6,sha256_public_test_string,recipe_blog,recipe,136,24,16.0,,506,128,1,0.21739130434782608,0.03359683794466403,0.015810276679841896,0.733201581027668,0.6796875,0.3203125,-3.8395170292370295,-3.576146273968627,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_7,sha256_public_test_string,recipe_long_specific,recipe,836,160,16.0,,630,128,5,0.1523809523809524,0.03015873015873016,0.0,0.8126984126984127,0.859375,0.140625,-4.213382904721614,-3.8570408598441013,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_8,sha256_public_test_string,recipe_dialogue_specific,recipe_dialogue,617,124,16.0,,484,128,22,0.17355371900826447,0.1322314049586777,0.002066115702479339,0.6797520661157025,0.7578125,0.2421875,-3.732269522886879,-3.500838849717736,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_9,sha256_public_test_string,recipe_forum_exchange_specific,recipe_forum_exchange,538,98,16.0,,441,128,26,0.19727891156462585,0.09523809523809523,0.013605442176870748,0.6938775510204082,0.6953125,0.3046875,-3.698811816680174,-3.6177746628917653,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_10,sha256_public_test_string,car_buying_dialogue_specific,car_buying_dialogue,468,88,16.0,,552,128,11,0.18115942028985507,0.059782608695652176,0.0,0.7554347826086957,0.7734375,0.2265625,-4.149136839146157,-3.6476724546565595,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_11,sha256_public_test_string,biology_tutor_dialogue_specific,biology_dialogue,457,83,16.0,,497,128,18,0.13078470824949698,0.13078470824949698,0.01006036217303823,0.7283702213279678,0.765625,0.234375,-3.9280456991059625,-3.5175714990643545,4.96875,8.0,1.0,1.0
