payload_name,payload_kind,payload_byte_length,payload_slice_description,encoding_name,alphabet_size,cover_prompt_name,rank_count,generated_token_count,generated_character_count,exact_recovery,generation_seconds,recovery_seconds,mean_generated_rank,median_generated_rank,p95_generated_rank,max_generated_rank,fraction_generated_rank_le_16,fraction_generated_rank_le_64,model_repo_id,model_filename,model_path_relative,notes,prompt_family,prompt_length_characters,prompt_length_tokens
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_blog,171,171,752,True,87.15027247900434,89.34468618199753,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_long_specific,171,171,781,True,88.23299995499838,94.48900040499575,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_dialogue_specific,171,171,505,True,96.74156101200788,91.41318600000523,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe_dialogue,617,124
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_forum_exchange_specific,171,171,750,True,79.13079391999054,67.2268943470117,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe_forum_exchange,538,98
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,car_buying_dialogue_specific,171,171,826,True,87.2441711880092,80.44666392498766,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,car_buying_dialogue,468,88
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,biology_tutor_dialogue_specific,171,171,687,True,82.19981040398125,84.82621129302424,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,biology_dialogue,457,83
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_blog,128,128,506,True,70.73630327300634,60.293983087991364,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_long_specific,128,128,630,True,72.74677553700167,51.1419612269965,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_dialogue_specific,128,128,484,True,51.331633462017635,51.80937225499656,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe_dialogue,617,124
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_forum_exchange_specific,128,128,441,True,48.64691956201568,49.44698296699789,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe_forum_exchange,538,98
