factor,level,canonical_value,outcome,shared_models,shared_model_count,paired_payload_groups,canonical_mean,level_mean,level_minus_canonical,ci_low,ci_high,hedges_g_level_minus_canonical,p_value_raw,p_value_holm,p_value_bh,test,inferential_p_value_supported,bootstrap_unit,bootstrap_resamples,confidence_level,primary_inference,evidence_status
leadin_tokens,16,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.5293163808149236,-0.29913219306842065,-0.37944944004120773,-0.21642987608226882,-1.0380742082100698,2.780638288699419e-09,1.6683829732196516e-08,5.097836862615602e-09,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.7652246952955122,-0.06322387858783207,-0.15743302148716798,0.02462838485774443,-0.1947253466789086,0.1768576418739079,0.5305729256217238,0.21615934006810966,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.4397120905633694,-0.38873648331997485,-0.46965861704234835,-0.3124499646483277,-1.3734659824248876,9.327887627811847e-13,8.395098865030661e-12,3.420225463531011e-12,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.7765983146322523,-0.05185025925109199,-0.13095362075404257,0.029063643713459018,-0.1832674152644576,0.20321876154938318,0.5305729256217238,0.2235406377043215,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.648603617808018,-0.17984495607532625,-0.26245230964490074,-0.10127634894003862,-0.619865748282951,6.937971416572152e-05,0.0003468985708286076,0.00010902526511756238,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
segment_size_ranks,16,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,1.3526644153915683,0.5242158415082241,0.41824065686050915,0.6407625802957909,1.3160846255169438,3.5251906734529786e-12,2.467633471417085e-11,7.755419481596553e-12,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
segment_size_ranks,32,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,2.0599100076916597,1.2314614338083154,1.0731162224398136,1.3881884585295332,2.2084080257196965,3.7229362318000865e-20,3.7229362318000864e-19,2.0476149274900475e-19,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
segment_size_ranks,4,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.4544838762372274,-0.37396469764611684,-0.4519657932308267,-0.3008446699280109,-1.352028439879928,1.529459012446007e-12,1.2235672099568056e-11,4.206012284226519e-12,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
tail_policy,none,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,4.0,3.1715514261166557,3.094004550192136,3.2443801252966447,11.634802551545242,2.2811268344783125e-52,2.5092395179261437e-51,2.5092395179261437e-51,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
tail_policy,sentence_tail_min20_max60,canonical,effective_artifact_bits_per_full_token,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,3,48,0.8284485738833443,0.7905275575476018,-0.03792101633574241,-0.11389797798103635,0.03350814795852285,-0.14133975395594223,0.3247370830734806,0.5305729256217238,0.3247370830734806,paired_t,True,payload_name,2000,0.95,False,exploratory_post_outcome_evidence_extraction
