factor,level,canonical_reference,outcome,observed_trial_rows,model_count,payload_groups,mean,standard_deviation,median,ci_low,ci_high,bootstrap_resamples_requested,bootstrap_resamples_valid,confidence_level,analysis_unit,evidence_status
leadin_tokens,canonical,True,effective_artifact_bits_per_full_token,144,3,48,0.8284485738833443,0.26821864042204085,0.8011484666799953,0.7531394112359762,0.905853847210292,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,16,False,effective_artifact_bits_per_full_token,144,3,48,0.5293163808149236,0.1283646677839246,0.5098805029873573,0.49352096458575,0.5673672978786326,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,False,effective_artifact_bits_per_full_token,144,3,48,0.7652246952955122,0.21582306847232038,0.7691665415959663,0.70506475519058,0.8271231797073321,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,False,effective_artifact_bits_per_full_token,144,3,48,0.4397120905633694,0.07469454923877104,0.4401049298395955,0.41877638047608806,0.4607996433024533,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,False,effective_artifact_bits_per_full_token,144,3,48,0.7765983146322523,0.166252934281777,0.79166746663143,0.7325446751328891,0.8220084100613986,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,False,effective_artifact_bits_per_full_token,144,3,48,0.648603617808018,0.16127977172035435,0.6150300967715456,0.6036345202291366,0.6959968474424906,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,canonical,True,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,16,False,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,False,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,False,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,False,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,False,forced_token_count,144,3,48,46.0,18.413685937020706,48.0,40.833333333333336,51.0,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,canonical,True,full_token_count,144,3,48,300.9513888888889,146.00113328332682,292.0,260.0826388888889,340.7857638888889,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,16,False,full_token_count,144,3,48,425.59722222222223,197.2454155110083,455.33333333333337,370.01649305555554,479.55972222222215,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,False,full_token_count,144,3,48,314.48611111111114,150.80642106735968,340.33333333333337,272.80451388888895,357.1680555555555,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,False,full_token_count,144,3,48,460.5416666666667,201.22824537720504,509.1666666666667,404.5881944444445,516.4480902777777,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,False,full_token_count,144,3,48,301.47222222222223,159.43942628490078,280.16666666666663,257.51267361111115,344.11232638888885,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,False,full_token_count,144,3,48,357.70138888888886,160.43690701575406,395.33333333333337,312.9850694444445,400.91631944444435,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,canonical,True,mean_log_probability,144,3,48,-5.135863697184763,0.3203106025310666,-5.134346481615308,-5.22653562427062,-5.045731460901611,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,16,False,mean_log_probability,144,3,48,-6.503730845964838,0.3470682152386045,-6.496923686316077,-6.6050090176355045,-6.403359997347509,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,False,mean_log_probability,144,3,48,-5.711744043828979,0.2989111877122761,-5.680052285850705,-5.796010439063105,-5.629695443511077,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,False,mean_log_probability,144,3,48,-6.788190890367512,0.4121463082037577,-6.815372525630869,-6.907822903786844,-6.66917735970881,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,False,mean_log_probability,144,3,48,-5.924693947277679,0.4016375642623099,-5.870991472847367,-6.039969949331198,-5.807819914065925,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,False,mean_log_probability,144,3,48,-6.177749538322902,0.3663959239854457,-6.074937287212672,-6.281441795779961,-6.077230186983553,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,canonical,True,tail_token_count,144,3,48,254.9513888888889,132.04465878226034,234.83333333333334,218.51527777777778,291.48993055555553,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,16,False,tail_token_count,144,3,48,287.59722222222223,151.6110950850111,301.33333333333337,245.94340277777778,328.6857638888888,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,2,False,tail_token_count,144,3,48,256.9861111111111,131.9927277589378,264.6666666666667,219.6430555555556,294.9626736111111,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,32,False,tail_token_count,144,3,48,230.54166666666666,123.93792057327882,229.66666666666669,196.55885416666666,263.70329861111105,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,4,False,tail_token_count,144,3,48,232.4722222222222,137.23839645874966,213.5,193.77204861111113,268.86805555555554,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
leadin_tokens,8,False,tail_token_count,144,3,48,265.7013888888889,129.02922203855186,289.1666666666667,229.55937500000002,300.3123263888889,2000,2000,0.95,payload_name,exploratory_post_outcome_evidence_extraction
