analysis_id,observation_count,payload_group_count,analysis_unit,bootstrap_unit,bootstrap_resamples,q4_saved_id_successes,q8_saved_id_successes,q4_visible_successes,q8_visible_successes,q4_visible_recovery_rate,q4_visible_recovery_ci_low_95,q4_visible_recovery_ci_high_95,q8_visible_recovery_rate,q8_visible_recovery_ci_low_95,q8_visible_recovery_ci_high_95,paired_rate_difference_q8_minus_q4,paired_difference_ci_low_95,paired_difference_ci_high_95,both_visible_recover_count,q4_only_visible_recover_count,q8_only_visible_recover_count,neither_visible_recovers_count,q4_exact_retokenization_count,q8_exact_retokenization_count,q4_model_rank_replay_count,representation_name,payload_class,prompt_template_id
quantization_recovery_overall,960,480,paired RankCloak quantization condition,payload_name,2000,960,960,732,758,0.7625,0.734375,0.7895833333333333,0.7895833333333333,0.7635416666666667,0.8166666666666667,0.027083333333333334,-0.007291666666666667,0.06354166666666666,588,144,170,58,732,758,228,,,
quantization_recovery_by_representation,480,480,paired RankCloak quantization condition,payload_name,2000,480,480,358,387,0.7458333333333333,0.70625,0.7833333333333333,0.80625,0.76875,0.8416666666666667,0.06041666666666667,0.010364583333333335,0.10838541666666639,291,67,96,26,358,387,122,ascii_b16,,
quantization_recovery_by_representation,480,480,paired RankCloak quantization condition,payload_name,2000,480,480,374,371,0.7791666666666667,0.7416666666666667,0.8166666666666667,0.7729166666666667,0.7333333333333333,0.8104166666666667,-0.00625,-0.05625,0.04375,297,77,74,32,374,371,106,ascii_b8,,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,91,82,0.7583333333333333,0.675,0.8333333333333334,0.6833333333333333,0.6,0.7666666666666667,-0.075,-0.175,0.025,66,25,16,13,91,82,29,,aes256_gcm_base64,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,86,88,0.7166666666666667,0.6416666666666667,0.7833333333333333,0.7333333333333333,0.6583333333333333,0.8166666666666667,0.016666666666666666,-0.1,0.14166666666666666,60,26,28,6,86,88,34,,chacha20_poly1305_base64,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,78,92,0.65,0.5583333333333333,0.7416666666666667,0.7666666666666667,0.6916666666666667,0.8416666666666667,0.11666666666666667,0.008333333333333333,0.21666666666666667,61,17,31,11,78,92,42,,ed25519_signature_base64,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,91,88,0.7583333333333333,0.675,0.8333333333333334,0.7333333333333333,0.65,0.8083333333333333,-0.025,-0.13333333333333333,0.08333333333333333,65,26,23,6,91,88,29,,hmac_sha256_hex,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,103,110,0.8583333333333333,0.8,0.9166666666666666,0.9166666666666666,0.8583333333333333,0.9666666666666667,0.058333333333333334,-0.025,0.13333333333333333,95,8,15,2,103,110,17,,nonce_96_bit_hex,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,84,94,0.7,0.6166666666666667,0.7833333333333333,0.7833333333333333,0.7166666666666667,0.85,0.08333333333333333,-0.008333333333333333,0.19166666666666668,69,15,25,11,84,94,36,,sha256_hex,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,103,105,0.8583333333333333,0.8,0.9085416666666655,0.875,0.8083333333333333,0.9333333333333333,0.016666666666666666,-0.075,0.1,90,13,15,2,103,105,17,,token_128_bit_hex,
quantization_recovery_by_artifact_class,120,60,paired RankCloak quantization condition,payload_name,2000,120,120,96,99,0.8,0.725,0.8666666666666667,0.825,0.7583333333333333,0.8833333333333333,0.025,-0.06666666666666667,0.11666666666666667,82,14,17,7,96,99,24,,uuid_v4,
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,46,45,0.8518518518518519,0.7222222222222222,0.9449074074074049,0.8333333333333334,0.7407407407407407,0.9259259259259259,-0.018518518518518517,-0.14814814814814814,0.12962962962962962,38,8,7,1,46,45,8,,,casual_hobby_chat
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,37,45,0.6851851851851852,0.5740740740740741,0.7962962962962963,0.8333333333333334,0.7407407407407407,0.9259259259259259,0.14814814814814814,0.0,0.2962962962962963,31,6,14,3,37,45,17,,,casual_neighborhood_chat
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,43,42,0.8269230769230769,0.7307692307692307,0.9038461538461539,0.8076923076923077,0.7115384615384616,0.9038461538461539,-0.019230769230769232,-0.15384615384615385,0.11538461538461539,35,8,7,2,43,42,9,,,casual_weekend_chat
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,31,37,0.5740740740740741,0.46296296296296297,0.6851851851851852,0.6851851851851852,0.5740740740740741,0.7962962962962963,0.1111111111111111,-0.05555555555555555,0.25925925925925924,23,8,14,9,31,37,23,,,explain_biological_process
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,46,48,0.8518518518518519,0.7592592592592593,0.9444444444444444,0.8888888888888888,0.8148148148148148,0.9629629629629629,0.037037037037037035,-0.07407407407407407,0.14814814814814814,40,6,8,0,46,48,8,,,explain_everyday_system
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,42,34,0.8076923076923077,0.6923076923076923,0.9038461538461539,0.6538461538461539,0.5,0.7884615384615384,-0.15384615384615385,-0.28846153846153844,-0.038461538461538464,31,11,3,7,42,34,10,,,explain_weather_pattern
