contrast,metric,effect,ci_low,ci_high,payload_clusters,bootstrap_draws,nonempty_bootstrap_draws,class_counts,model_id
pilot_ordinary minus pilot_shuffled,semantic_cosine,-0.010621690576621674,-0.07282189270056663,0.05187945162947121,35,2000,2000,"{'hmac_sha256_hex': 6, 'ed25519_signature_base64': 4, 'nonce_96_bit_hex': 8, 'aes256_gcm_base64': 3, 'sha256_hex': 6, 'token_128_bit_hex': 4, 'chacha20_poly1305_base64': 3, 'uuid_v4': 1}",all
pilot_ordinary minus pilot_shuffled,semantic_cosine,0.01773596104861895,-0.12470698506764968,0.16903016095038828,11,2000,2000,"{'hmac_sha256_hex': 3, 'ed25519_signature_base64': 2, 'nonce_96_bit_hex': 2, 'aes256_gcm_base64': 1, 'sha256_hex': 1, 'token_128_bit_hex': 1, 'chacha20_poly1305_base64': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,semantic_cosine,-0.07101029461708214,-0.15797066351051317,0.007489233664822387,12,2000,2000,"{'ed25519_signature_base64': 1, 'hmac_sha256_hex': 2, 'nonce_96_bit_hex': 3, 'sha256_hex': 2, 'aes256_gcm_base64': 1, 'chacha20_poly1305_base64': 1, 'token_128_bit_hex': 1, 'uuid_v4': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,semantic_cosine,0.023772399474034877,-0.061391050084813645,0.10690622059394782,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 3, 'aes256_gcm_base64': 1, 'token_128_bit_hex': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 1, 'chacha20_poly1305_base64': 1}",qwen2_5_7b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,2.0612099193465805,1.737814630580611,2.4109219822057306,35,2000,2000,"{'hmac_sha256_hex': 6, 'ed25519_signature_base64': 4, 'nonce_96_bit_hex': 8, 'aes256_gcm_base64': 3, 'sha256_hex': 6, 'token_128_bit_hex': 4, 'chacha20_poly1305_base64': 3, 'uuid_v4': 1}",all
pilot_ordinary minus pilot_shuffled,context_gain,2.078718842821789,1.1181533491760878,2.9268778885063735,11,2000,2000,"{'hmac_sha256_hex': 3, 'ed25519_signature_base64': 2, 'nonce_96_bit_hex': 2, 'aes256_gcm_base64': 1, 'sha256_hex': 1, 'token_128_bit_hex': 1, 'chacha20_poly1305_base64': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,2.0660568386761913,1.4108123300960715,2.8242403191936636,12,2000,2000,"{'ed25519_signature_base64': 1, 'hmac_sha256_hex': 2, 'nonce_96_bit_hex': 3, 'sha256_hex': 2, 'aes256_gcm_base64': 1, 'chacha20_poly1305_base64': 1, 'token_128_bit_hex': 1, 'uuid_v4': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,2.0403131534980283,1.3498205347677763,2.706928988717948,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 3, 'aes256_gcm_base64': 1, 'token_128_bit_hex': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 1, 'chacha20_poly1305_base64': 1}",qwen2_5_7b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,1.9454730047290756,1.587220031292549,2.3182483115728423,35,2000,2000,"{'hmac_sha256_hex': 6, 'ed25519_signature_base64': 4, 'nonce_96_bit_hex': 8, 'aes256_gcm_base64': 3, 'sha256_hex': 6, 'token_128_bit_hex': 4, 'chacha20_poly1305_base64': 3, 'uuid_v4': 1}",all
pilot_ordinary minus pilot_shuffled,conditional_logp,1.4919936807807233,0.8387547820531613,2.1389096558108154,11,2000,2000,"{'hmac_sha256_hex': 3, 'ed25519_signature_base64': 2, 'nonce_96_bit_hex': 2, 'aes256_gcm_base64': 1, 'sha256_hex': 1, 'token_128_bit_hex': 1, 'chacha20_poly1305_base64': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,2.478894310719341,1.740750976164998,3.3826559855808944,12,2000,2000,"{'ed25519_signature_base64': 1, 'hmac_sha256_hex': 2, 'nonce_96_bit_hex': 3, 'sha256_hex': 2, 'aes256_gcm_base64': 1, 'chacha20_poly1305_base64': 1, 'token_128_bit_hex': 1, 'uuid_v4': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,1.8277410790248017,1.1689429865450385,2.497342497208086,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 3, 'aes256_gcm_base64': 1, 'token_128_bit_hex': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 1, 'chacha20_poly1305_base64': 1}",qwen2_5_7b_instruct_q4_k_m
