anchor_payload,arm,boundary_id,context_sha256,evaluator_model_id,forced_stop,joined_boundary_byte,left,left_generator_tokens,left_payload,left_source_byte_start,left_source_byte_stop,left_source_id,left_source_sha256,model_id,payload_class,payload_name,prompt_category,prompt_id,prompt_text,right,right_count,right_generator_tokens,right_payload,right_source_byte_start,right_source_byte_stop,right_source_id,right_source_sha256,schedule,segment_index,source_path,source_record_sha256,trial_id,unit_id,semantic_cosine,semantic_truncated,context_gain,conditional_logp,reference_logp,evaluator_tail_tokens,standalone_right_ids_match
revision_v1_token_128_bit_hex_038,pilot_ordinary,revision_v1_primary_v2_payload_fidelity_v2__e0b290ba378867d73c9c__segment_1,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,qwen2_5_7b_instruct_q4_k_m,8,22," 

**Example:**
Hey! I",8,revision_v1_hmac_sha256_hex_017,0,22,revision_v1_primary_v2_payload_fidelity_v2__a954de16aa4577470deb,91157afdc3800c83249fa68f3c3c221f4efec54d82ba40d5730115a6b34b47f1,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_017,casual_conversation,casual_weekend_chat,Write a friendly message to a friend about making relaxed plans for the weekend. Use ordinary conversational English and complete thoughts., was thinking we could make some relaxed plans,8,8,revision_v1_hmac_sha256_hex_017,22,68,revision_v1_primary_v2_payload_fidelity_v2__a954de16aa4577470deb,91157afdc3800c83249fa68f3c3c221f4efec54d82ba40d5730115a6b34b47f1,segmented_hex_multi_topic,1,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,11d45caa57790457ab90c0cf6c3a13381e1ce5cbf9ff43bb220f17ef577094b7,revision_v1_primary_v2_payload_fidelity_v2__a954de16aa4577470deb,revision_v1_primary_v2_payload_fidelity_v2__e0b290ba378867d73c9c__segment_1__pilot_ordinary,0.13112421765249996,False,1.6406832811208427,-1.134989254299438,-2.7756725354202807,8,True
revision_v1_token_128_bit_hex_038,pilot_shuffled,revision_v1_primary_v2_payload_fidelity_v2__e0b290ba378867d73c9c__segment_1,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,qwen2_5_7b_instruct_q4_k_m,8,22," 

**Example:**
Hey! I",8,revision_v1_hmac_sha256_hex_017,0,22,revision_v1_primary_v2_payload_fidelity_v2__a954de16aa4577470deb,91157afdc3800c83249fa68f3c3c221f4efec54d82ba40d5730115a6b34b47f1,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_017,casual_conversation,casual_weekend_chat,Write a friendly message to a friend about making relaxed plans for the weekend. Use ordinary conversational English and complete thoughts.,"**

Hi [Friend's Name],

I",8,8,revision_v1_hmac_sha256_hex_035,39,65,revision_v1_primary_v2_payload_fidelity_v2__f24ce6cf38bbefe56fc9,8b9b8bd3d7d725cc71f545f25522a8215568f181c9a4432b6278dd6f50eee1aa,segmented_hex_multi_topic,1,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,11d45caa57790457ab90c0cf6c3a13381e1ce5cbf9ff43bb220f17ef577094b7,revision_v1_primary_v2_payload_fidelity_v2__a954de16aa4577470deb,revision_v1_primary_v2_payload_fidelity_v2__e0b290ba378867d73c9c__segment_1__pilot_shuffled,0.5374662634258622,False,-1.259201828230335,-4.585171399501303,-3.325969571270968,8,True
revision_v1_sha256_hex_059,pilot_ordinary,revision_v1_primary_v2_payload_fidelity_v2__3bb71f6007894c47ea41__segment_0,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,qwen2_5_7b_instruct_q4_k_m,8,41,"**

The familiar weather pattern I'd like",8,revision_v1_ed25519_signature_base64_016,0,41,revision_v1_primary_v2_payload_fidelity_v2__7a7cb6a942197e5d5277,ca887c053e50665567ebb2712b5eb43c45b5a4856fa6814bbb85e8c199593d30,llama3_8b_instruct_q4_k_m,ed25519_signature_base64,revision_v1_ed25519_signature_base64_016,factual_explanatory,explain_weather_pattern,Explain a familiar weather pattern to a general audience. Connect cause and effect clearly without using equations or specialist jargon.," to explain is the formation of thunderstorms.

Thunderstorms are a common",14,14,revision_v1_ed25519_signature_base64_016,41,115,revision_v1_primary_v2_payload_fidelity_v2__7a7cb6a942197e5d5277,ca887c053e50665567ebb2712b5eb43c45b5a4856fa6814bbb85e8c199593d30,segmented_hex_multi_topic,0,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,14640137ec5c326b5c74dd06e2703e56b2a08ac6e14b72f0bc3ce40f4d14fd52,revision_v1_primary_v2_payload_fidelity_v2__7a7cb6a942197e5d5277,revision_v1_primary_v2_payload_fidelity_v2__3bb71f6007894c47ea41__segment_0__pilot_ordinary,0.3523069802937593,False,1.6986586598377258,-1.2457712933863374,-2.944429953224063,14,True
revision_v1_sha256_hex_059,pilot_shuffled,revision_v1_primary_v2_payload_fidelity_v2__3bb71f6007894c47ea41__segment_0,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,qwen2_5_7b_instruct_q4_k_m,8,41,"**

The familiar weather pattern I'd like",8,revision_v1_ed25519_signature_base64_016,0,41,revision_v1_primary_v2_payload_fidelity_v2__7a7cb6a942197e5d5277,ca887c053e50665567ebb2712b5eb43c45b5a4856fa6814bbb85e8c199593d30,llama3_8b_instruct_q4_k_m,ed25519_signature_base64,revision_v1_ed25519_signature_base64_016,factual_explanatory,explain_weather_pattern,Explain a familiar weather pattern to a general audience. Connect cause and effect clearly without using equations or specialist jargon.," noticed that when a cold front moves into an area, the temperature drops",14,14,revision_v1_nonce_96_bit_hex_009,28,101,revision_v1_primary_v2_payload_fidelity_v2__144eba5e518210ad8ead,5d150941bbd4dc76edf537c51a6b8faff9ccd14bfdea8e03019aca1546034787,segmented_hex_multi_topic,0,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,14640137ec5c326b5c74dd06e2703e56b2a08ac6e14b72f0bc3ce40f4d14fd52,revision_v1_primary_v2_payload_fidelity_v2__7a7cb6a942197e5d5277,revision_v1_primary_v2_payload_fidelity_v2__3bb71f6007894c47ea41__segment_0__pilot_shuffled,0.2802266425473703,False,-1.2411886250426702,-3.543813904359598,-2.3026252793169277,14,True
revision_v1_hmac_sha256_hex_013,pilot_ordinary,revision_v1_primary_v2_payload_fidelity_v2__66cf1660de30047dcb00__segment_6,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,qwen2_5_7b_instruct_q4_k_m,8,42,"}

Problem: My washing machine has started",8,revision_v1_nonce_96_bit_hex_024,0,42,revision_v1_primary_v2_payload_fidelity_v2__c4738f6e8430fccc52f1,d8199ac18b5384fd5b9e32e5369c4b278a9b0ad0fcee4c051fbff7d12be2b3f6,llama3_8b_instruct_q4_k_m,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_024,forum_question_answer,forum_practical_answer,Write a helpful answer to an online forum question about solving a common household problem. Explain the reasoning in plain English.," leaving soap residue on my clothes, even after I've cleaned the detergent dispenser.",16,16,revision_v1_nonce_96_bit_hex_024,42,127,revision_v1_primary_v2_payload_fidelity_v2__c4738f6e8430fccc52f1,d8199ac18b5384fd5b9e32e5369c4b278a9b0ad0fcee4c051fbff7d12be2b3f6,segmented_hex_multi_topic,6,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,e283a637ef4afa92a7669dc353e2f21ebf52616dbff51bf9ac8e88c70691fb24,revision_v1_primary_v2_payload_fidelity_v2__c4738f6e8430fccc52f1,revision_v1_primary_v2_payload_fidelity_v2__66cf1660de30047dcb00__segment_6__pilot_ordinary,0.417932436902985,False,2.6121065534688697,-1.5692738536316055,-4.181380407100475,16,True
revision_v1_hmac_sha256_hex_013,pilot_shuffled,revision_v1_primary_v2_payload_fidelity_v2__66cf1660de30047dcb00__segment_6,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,qwen2_5_7b_instruct_q4_k_m,8,42,"}

Problem: My washing machine has started",8,revision_v1_nonce_96_bit_hex_024,0,42,revision_v1_primary_v2_payload_fidelity_v2__c4738f6e8430fccc52f1,d8199ac18b5384fd5b9e32e5369c4b278a9b0ad0fcee4c051fbff7d12be2b3f6,llama3_8b_instruct_q4_k_m,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_024,forum_question_answer,forum_practical_answer,Write a helpful answer to an online forum question about solving a common household problem. Explain the reasoning in plain English.," problem: ""I'm tired of always having to clean up after my cat,",16,16,revision_v1_token_128_bit_hex_005,31,94,revision_v1_primary_v2_payload_fidelity_v2__2a8eae5c821eece23dbe,313e4c1d22d4d6ee4347191eb6ab75e8743d00ae19edbd0a1bd5dedfeb5c8ada,segmented_hex_multi_topic,6,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,e283a637ef4afa92a7669dc353e2f21ebf52616dbff51bf9ac8e88c70691fb24,revision_v1_primary_v2_payload_fidelity_v2__c4738f6e8430fccc52f1,revision_v1_primary_v2_payload_fidelity_v2__66cf1660de30047dcb00__segment_6__pilot_shuffled,0.28407735375980725,False,-1.719873182035439,-4.421783839143879,-2.7019106571084404,16,True
revision_v1_sha256_hex_007,pilot_ordinary,revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667__segment_3,7329c35dca4b719be53fb536577115362390fc89ed2c847de9f1b00d98e0bdf8,qwen2_5_7b_instruct_q4_k_m,8,34,"**

As I strolled through the park",8,revision_v1_hmac_sha256_hex_021,0,34,revision_v1_primary_v2_payload_fidelity_v2__e3a0d4ccdbb514691137,96827581608f2a5fbef30e47741347eaed9cfda5351cf82c613867848e7b2d35,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_021,personal_narrative_blog,narrative_local_walk,Write a first-person narrative about a walk through a familiar place and one detail that changed the writer's perspective.,", I couldn't help but feel a sense of comfort and routine",13,13,revision_v1_hmac_sha256_hex_021,34,91,revision_v1_primary_v2_payload_fidelity_v2__e3a0d4ccdbb514691137,96827581608f2a5fbef30e47741347eaed9cfda5351cf82c613867848e7b2d35,segmented_hex_multi_topic,3,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,e660cac28fffacf5a1dca6c7171d71d7abda2ff1ecd46d13b3463409c10993e2,revision_v1_primary_v2_payload_fidelity_v2__e3a0d4ccdbb514691137,revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667__segment_3__pilot_ordinary,0.16359661232869996,False,2.6640520575986155,-1.238926513839537,-3.9029785714381524,13,True
revision_v1_sha256_hex_007,pilot_shuffled,revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667__segment_3,7329c35dca4b719be53fb536577115362390fc89ed2c847de9f1b00d98e0bdf8,qwen2_5_7b_instruct_q4_k_m,8,34,"**

As I strolled through the park",8,revision_v1_hmac_sha256_hex_021,0,34,revision_v1_primary_v2_payload_fidelity_v2__e3a0d4ccdbb514691137,96827581608f2a5fbef30e47741347eaed9cfda5351cf82c613867848e7b2d35,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_021,personal_narrative_blog,narrative_local_walk,Write a first-person narrative about a walk through a familiar place and one detail that changed the writer's perspective.,", the familiar sights and sounds of nature enveloped me in a",13,13,revision_v1_sha256_hex_010,34,94,revision_v1_primary_v2_payload_fidelity_v2__a89b7481feaf25428f9c,ffc9c1eb0b68f691b1eefabadee6fa7cad7aa1affdf5870e0c75f1a8fae75454,segmented_hex_multi_topic,3,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,e660cac28fffacf5a1dca6c7171d71d7abda2ff1ecd46d13b3463409c10993e2,revision_v1_primary_v2_payload_fidelity_v2__e3a0d4ccdbb514691137,revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667__segment_3__pilot_shuffled,0.37417573878089794,False,4.395540025424246,-1.0132823097559962,-5.4088223351802425,13,True
revision_v1_token_128_bit_hex_039,pilot_ordinary,revision_v1_primary_v2_payload_fidelity_v2__8f8833190ae8bc3da0f1__segment_1,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,qwen2_5_7b_instruct_q4_k_m,8,43,"}

Project Update: Integration with New API",8,revision_v1_hmac_sha256_hex_012,0,43,revision_v1_primary_v2_payload_fidelity_v2__b4b9285afe13f75d1cee,6c85baaada2ea2a40d29297a707106aab1e96024dd1bc940f1eb107e10c7d056,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_012,professional_communication,professional_project_update,"Write a concise professional project update for colleagues, explaining recent progress, the next step, and one practical consideration.","

**Recent Progress:**

We have successfully integrated our application with the new API",16,16,revision_v1_hmac_sha256_hex_012,43,131,revision_v1_primary_v2_payload_fidelity_v2__b4b9285afe13f75d1cee,6c85baaada2ea2a40d29297a707106aab1e96024dd1bc940f1eb107e10c7d056,segmented_hex_multi_topic,1,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,66445ab859a257f399a6051a463a7a02e9d57d87aeb83c9d856fb51577294750,revision_v1_primary_v2_payload_fidelity_v2__b4b9285afe13f75d1cee,revision_v1_primary_v2_payload_fidelity_v2__8f8833190ae8bc3da0f1__segment_1__pilot_ordinary,0.658406357238202,False,2.603254922013897,-0.7854612314987375,-3.3887161535126347,16,True
revision_v1_token_128_bit_hex_039,pilot_shuffled,revision_v1_primary_v2_payload_fidelity_v2__8f8833190ae8bc3da0f1__segment_1,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,qwen2_5_7b_instruct_q4_k_m,8,43,"}

Project Update: Integration with New API",8,revision_v1_hmac_sha256_hex_012,0,43,revision_v1_primary_v2_payload_fidelity_v2__b4b9285afe13f75d1cee,6c85baaada2ea2a40d29297a707106aab1e96024dd1bc940f1eb107e10c7d056,llama3_8b_instruct_q4_k_m,hmac_sha256_hex,revision_v1_hmac_sha256_hex_012,professional_communication,professional_project_update,"Write a concise professional project update for colleagues, explaining recent progress, the next step, and one practical consideration.",":** Enhancing Customer Experience through Personalized Marketing

**Recent Progress:** We have",16,16,revision_v1_hmac_sha256_hex_030,33,127,revision_v1_primary_v2_payload_fidelity_v2__4a063ce9cbc295469e1b,97253a5dbc19e4dbb381f61318beaabcb7ad5b85643bb4a627179ad1ea4c0688,segmented_hex_multi_topic,1,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,66445ab859a257f399a6051a463a7a02e9d57d87aeb83c9d856fb51577294750,revision_v1_primary_v2_payload_fidelity_v2__b4b9285afe13f75d1cee,revision_v1_primary_v2_payload_fidelity_v2__8f8833190ae8bc3da0f1__segment_1__pilot_shuffled,0.14832676767270858,False,0.7160722695256094,-3.4843846659027546,-4.200456935428364,16,True
