stimulus_blind_id,condition,prompt_category,template_id,payload_class,availability_status,reason_code,message_text_available,counted_as_human_outcome
B0022,human_written_control,professional_communication,professional_communication_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0028,human_written_control,casual_conversation,casual_conversation_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0034,human_written_control,forum_question_answer,forum_question_answer_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0051,human_written_control,personal_narrative_blog,personal_narrative_blog_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0057,human_written_control,casual_conversation,casual_conversation_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0062,human_written_control,casual_conversation,casual_conversation_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0079,human_written_control,procedural_instructions,procedural_instructions_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0084,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0105,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0107,human_written_control,professional_communication,professional_communication_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0122,human_written_control,professional_communication,professional_communication_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0129,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0130,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0131,human_written_control,personal_narrative_blog,personal_narrative_blog_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0133,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0134,human_written_control,procedural_instructions,procedural_instructions_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0137,human_written_control,professional_communication,professional_communication_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0148,human_written_control,personal_narrative_blog,personal_narrative_blog_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0151,human_written_control,casual_conversation,casual_conversation_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0166,human_written_control,procedural_instructions,procedural_instructions_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0175,human_written_control,personal_narrative_blog,personal_narrative_blog_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0184,human_written_control,forum_question_answer,forum_question_answer_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0194,human_written_control,professional_communication,professional_communication_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0198,human_written_control,professional_communication,professional_communication_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0214,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0230,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0232,human_written_control,casual_conversation,casual_conversation_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0238,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0239,human_written_control,forum_question_answer,forum_question_answer_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0255,human_written_control,procedural_instructions,procedural_instructions_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0263,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0265,human_written_control,procedural_instructions,procedural_instructions_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0267,human_written_control,personal_narrative_blog,personal_narrative_blog_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0275,human_written_control,casual_conversation,casual_conversation_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0279,human_written_control,professional_communication,professional_communication_template_3,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0282,human_written_control,procedural_instructions,procedural_instructions_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0288,human_written_control,personal_narrative_blog,personal_narrative_blog_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0293,human_written_control,professional_communication,professional_communication_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0294,human_written_control,forum_question_answer,forum_question_answer_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0296,human_written_control,forum_question_answer,forum_question_answer_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0298,human_written_control,procedural_instructions,procedural_instructions_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0322,human_written_control,professional_communication,professional_communication_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0330,human_written_control,procedural_instructions,procedural_instructions_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0345,human_written_control,professional_communication,professional_communication_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0364,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0369,human_written_control,forum_question_answer,forum_question_answer_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0375,human_written_control,personal_narrative_blog,personal_narrative_blog_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0378,human_written_control,personal_narrative_blog,personal_narrative_blog_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0385,human_written_control,procedural_instructions,procedural_instructions_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0404,human_written_control,forum_question_answer,forum_question_answer_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
