stimulus_blind_id,candidate_id,condition,prompt_category,template_id,payload_class,model_id,presentation_scope,text_sha256,word_count,sentence_count,character_count,flesch_reading_ease_heuristic,flesch_kincaid_grade_heuristic,coleman_liau_index,unique_word_fraction,repeated_bigram_fraction,repeated_trigram_fraction,maximum_identical_word_run,duplicate_sentence_count,unmatched_bracket_count,unmatched_double_quote_count,repeated_punctuation_count,whitespace_surface_flag_count,lowercase_sentence_start_count,long_sentence_count_gt40,missing_terminal_punctuation,artifact_like_fragment_count,surface_flag_total,tfidf_prompt_similarity,human_rating_substitute,readability_scope,readability_language,spanish_unicode_word_count,spanish_sentence_count,spanish_words_per_sentence,spanish_mean_letters_per_word,spanish_unique_word_fraction,spanish_repeated_bigram_fraction,spanish_repeated_trigram_fraction,chinese_han_character_count,chinese_sentence_count,chinese_han_characters_per_sentence,chinese_unique_han_character_fraction,chinese_repeated_han_bigram_fraction,chinese_repeated_han_trigram_fraction,language_specific_diagnostic_scope
B0001,Cc980092182a72a8e884e4200,rankcloak_hex_nibble,procedural_instructions,procedural_instructions_template_3,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,509f74a56426a3fd22ecc64ff3b353af84b98f7bd6c248c13b014ec912127042,23,3,134,85.0272463768116,3.304347826086957,7.182608695652171,0.9565217391304348,0.0,0.0,1,0,0,1,1,0,0,0,1,0,3,0.02616873317726473,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0002,Cd4c9cedf12380187634463eb,rankcloak_hex_nibble,professional_communication,professional_communication_template_2,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,c00eeeef46b8957d540bdfe142ac6237455041d38cb77e3c6f44d51662ebd59c,36,1,229,36.34500000000003,17.133333333333336,9.674444444444443,0.9444444444444444,0.02857142857142858,0.0,1,0,0,0,0,0,0,0,1,0,1,0.010701330195497839,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0003,C50e3255c00e6f5d3177978ca,rankcloak_ascii_b8,casual_conversation,casual_conversation_template_3,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,3cb87dd1b4996fcac7059056056815afc68905a11368a7d612ca33a03b4bef80,47,6,279,85.4841666666667,3.2820212765957457,6.443404255319148,0.9574468085106383,0.0,0.0,1,0,1,0,0,2,0,0,0,0,3,0.025517323280725722,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0004,C7d36d395b980c62b575b8625,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_3,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,forced_span,b6971fdb43db370c3b05ce947901a1b57d73ba02dbd228b5f2e7310f141e28f1,46,2,299,32.681304347826114,14.414782608695656,12.696521739130429,0.9347826086956522,0.0,0.0,2,0,2,0,0,0,0,0,1,0,3,0.05632413135074573,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0005,C49a568eaa3a6ee6f8c067654,rankcloak_ascii_b8,personal_narrative_blog,personal_narrative_blog_template_2,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,5628f8fc56d22c196af3966dc298f932fca7b934d380ea44868a6cf8a6b62112,73,1,463,-16.758630136986284,33.73205479452055,14.724931506849309,0.6986301369863014,0.02777777777777779,0.0,1,0,0,0,0,0,0,1,1,0,2,0.11239977796122004,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0006,C3a139bfc303b5c475d7d88c5,rankcloak_ascii_b8,casual_conversation,casual_conversation_template_1,sha256_hex,llama3_8b_instruct_q4_k_m,full_message,1d0655ac14b580eaffa7127c9c8e4d0c28b6ff15734f6fee40b2eb9e2a2fa902,124,10,722,77.58287096774195,5.51858064516129,7.466774193548385,0.7338709677419355,0.024390243902439046,0.0,2,0,1,0,1,4,0,0,1,0,7,0.10511872538206635,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0007,Ca6b1440a6764f97faf663cfd,rankcloak_ascii_b8,professional_communication,professional_communication_template_1,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,b2e4b1326e0d459a084b4bf5a73ebd035b93d73c3153d42617d6e415b08ff6f2,116,4,728,45.3948275862069,14.132068965517245,11.007931034482752,0.6637931034482759,0.017391304347826098,0.0,1,0,0,0,0,2,0,1,1,0,4,0.0637733443109348,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0008,C9e9b33e560d5b0ef8b9b4f2f,rankcloak_hex_nibble,forum_question_answer,forum_question_answer_template_1,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,420d464f96c0fb2e2c821fc5bd6c5d724cd67d8cebeb173905609ad816181070,21,2,148,22.94892857142861,12.66690476190476,16.10095238095238,1.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,2,0.027365295891162503,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0009,Cedd50b5bfb506724b9886ecb,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_2,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,forced_span,5faf1797f34e7ac814415b4ef5a4ee0216cd78292fe58750c0866baab5f1f5ca,15,4,118,78.94875000000002,3.1791666666666636,6.490666666666666,0.7333333333333333,0.0,0.0,1,0,2,0,3,2,0,0,1,0,8,0.08428791863054177,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0010,Cfcb817fdb398a76375b6870a,rankcloak_ascii_b8,procedural_instructions,procedural_instructions_template_2,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,6f061e02ce19d02e352e97c254a41956ebd7551333e3a18f5dc56346f22070c1,128,3,821,28.036145833333364,19.9484375,11.619999999999997,0.671875,0.015748031496062964,0.0,1,0,0,0,0,4,0,1,1,0,6,0.10554435893284375,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0011,Cd0eaf7833322a9bd378c1b13,ordinary_llm_control,professional_communication,professional_communication_template_1,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,f5f1ced47444f26341ad566e97c9d232abe91e32026c950c226680cb9767ed17,184,10,1217,43.787260869565245,11.722956521739132,13.557173913043478,0.6413043478260869,0.049180327868852514,0.01098901098901095,1,0,0,0,0,0,0,0,1,0,1,0.18826016378719374,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0012,Cf56d4c28fa602b85f1061373,ordinary_llm_control,personal_narrative_blog,personal_narrative_blog_template_2,hmac_sha256_hex,llama3_8b_instruct_q4_k_m,full_message,807c04ae59ecc59c5ccd701c4b8cdfa5547ef8e4f81f98a2ee7011f71b9e8577,24,2,143,64.22999999999999,7.28166666666667,8.193333333333335,0.875,0.04347826086956519,0.0,1,0,0,0,0,0,0,0,1,0,1,0.050990332269235675,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0013,C2451a05d7b55ff26bc3605c4,ordinary_llm_control,casual_conversation,casual_conversation_template_2,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,d555e209389a492b248e9b9fd73962a1b2e3fb0effbe20ff5e0b8b3a669c186f,47,6,273,72.8841666666667,5.039468085106382,7.444255319148937,0.8723404255319149,0.021739130434782594,0.0,1,0,0,0,0,0,0,0,1,0,1,0.10479225803798078,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0014,C7fe85b2d0f20d47443a3447f,rankcloak_hex_nibble,professional_communication,professional_communication_template_2,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,0be4f8d000f8d11128c95ea3b5f840d809565462a37d59e823a5bc3a924279ab,21,1,151,24.3771428571429,15.07619047619048,18.350476190476183,0.9523809523809523,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0.014543317959460763,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0015,C6daad48100f581599860a232,rankcloak_ascii_b16,procedural_instructions,procedural_instructions_template_3,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,04ce2a283d728ef5e80659708c5482565af1572dc6184591049554385a8de325,96,3,619,36.880000000000024,16.065,14.267499999999995,0.8020833333333334,0.0,0.0,1,0,1,0,0,1,0,1,1,0,4,0.05928275254862045,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0016,C2cf81fe10f115068a9ae0d63,direct_subword_calgacus,forum_question_answer,forum_question_answer_template_1,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,c28d5e8e49af9cd35335f33047ffc7a0a86813188779d60c407fee57f19bd918,42,2,304,12.291428571428611,16.761904761904763,17.790476190476188,0.8333333333333334,0.04878048780487809,0.025000000000000022,1,0,0,0,1,1,1,0,1,0,4,0.02659839118806693,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
B0017,C6e6e5533709867e6c88cdcee,direct_subword_calgacus,forum_question_answer,forum_question_answer_template_3,token_128_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,4ed6e655e78de8ff94df5201d88e275ba3298213c2953d98628943be3c17d3bd,24,3,158,50.66500000000002,8.180000000000003,12.350000000000005,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0.027858061972213344,False,english_surface_heuristic,en,,,,,,,,,,,,,,not_applicable_english_unspecified_or_unsupported
