stimulus_blind_id,candidate_id,condition,prompt_category,template_id,prompt_id,payload_id,payload_class,model_id,presentation_scope,protocol_variant,topic_schedule,source_work_id,source_trial_id,source_file,source_row,source_record_sha256,text_sha256,language,license_status,safety_screen_status
B0001,Cc980092182a72a8e884e4200,rankcloak_hex_nibble,procedural_instructions,procedural_instructions_template_3,procedure_garden_task,revision_v1_token_128_bit_hex_004,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__5e89579ddc8864690375,revision_v1_primary_v2_payload_fidelity_v2__5e89579ddc8864690375,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,2583,5142ea30a5dd114e88397e87a81a0c216e466902c4ff9cefb2b85a601fee1a2a,509f74a56426a3fd22ecc64ff3b353af84b98f7bd6c248c13b014ec912127042,en,experiment_generated_internal,not_manually_reviewed
B0002,Cd4c9cedf12380187634463eb,rankcloak_hex_nibble,professional_communication,professional_communication_template_2,professional_schedule_note,revision_v1_sha256_hex_017,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__71246233ee45b4a121c3,revision_v1_primary_v2_payload_fidelity_v2__71246233ee45b4a121c3,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,245,6863cb56d11762e3608ca34787c3c99172a4ee41fff9338ff66257dddf63a13d,c00eeeef46b8957d540bdfe142ac6237455041d38cb77e3c6f44d51662ebd59c,en,experiment_generated_internal,not_manually_reviewed
B0003,C50e3255c00e6f5d3177978ca,rankcloak_ascii_b8,casual_conversation,casual_conversation_template_3,casual_neighborhood_chat,revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__16b57bfb3fb6602cbbb5,revision_v1_primary_v2_payload_fidelity_v2__16b57bfb3fb6602cbbb5,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,2397,9632932a5b2886cb1f281ecc8981219dd5c59a97025600d480d39e3a20a02954,3cb87dd1b4996fcac7059056056815afc68905a11368a7d612ca33a03b4bef80,en,experiment_generated_internal,not_manually_reviewed
B0004,C7d36d395b980c62b575b8625,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_3,procedure_garden_task,revision_v1_sha256_hex_037,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,forced_span,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__dd426429675476c92110,revision_v1_primary_v2_payload_fidelity_v2__dd426429675476c92110,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,530,3e577dde47b48667a0eb3fec9b58dcb02f74d69e9476f49fc130ac159a428ac8,b6971fdb43db370c3b05ce947901a1b57d73ba02dbd228b5f2e7310f141e28f1,en,experiment_generated_internal,not_manually_reviewed
B0005,C49a568eaa3a6ee6f8c067654,rankcloak_ascii_b8,personal_narrative_blog,personal_narrative_blog_template_2,narrative_local_walk,revision_v1_token_128_bit_hex_017,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__4bc8620a39ddfb875c87,revision_v1_primary_v2_payload_fidelity_v2__4bc8620a39ddfb875c87,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,2761,a33a5c03c36a78e190af91891bcde56cd7640bc3fc849e0be2fbfbb83ef96e3d,5628f8fc56d22c196af3966dc298f932fca7b934d380ea44868a6cf8a6b62112,en,experiment_generated_internal,not_manually_reviewed
B0006,C3a139bfc303b5c475d7d88c5,rankcloak_ascii_b8,casual_conversation,casual_conversation_template_1,casual_weekend_chat,revision_v1_sha256_hex_054,sha256_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__84f9edb469b0a623f936,revision_v1_primary_v2_payload_fidelity_v2__84f9edb469b0a623f936,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,759,7eae0a73f9fe10d42e09ce8d7d5c10e0a6ea750c7f931129da6ade3ee4b089b0,1d0655ac14b580eaffa7127c9c8e4d0c28b6ff15734f6fee40b2eb9e2a2fa902,en,experiment_generated_internal,not_manually_reviewed
B0007,Ca6b1440a6764f97faf663cfd,rankcloak_ascii_b8,professional_communication,professional_communication_template_1,professional_project_update,revision_v1_sha256_hex_048,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__2be4e9cbf9514b608a6a,revision_v1_primary_v2_payload_fidelity_v2__2be4e9cbf9514b608a6a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,675,520378eaf090726036b2e47266e82f16376455c30f64ea43d964730abbe0a49e,b2e4b1326e0d459a084b4bf5a73ebd035b93d73c3153d42617d6e415b08ff6f2,en,experiment_generated_internal,not_manually_reviewed
B0008,C9e9b33e560d5b0ef8b9b4f2f,rankcloak_hex_nibble,forum_question_answer,forum_question_answer_template_1,forum_practical_answer,revision_v1_nonce_96_bit_hex_059,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__296d55cb794a4b6f49b6,revision_v1_primary_v2_payload_fidelity_v2__296d55cb794a4b6f49b6,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,2513,b7cf903e1ea357aca511bfd6f8fee7aea201744d272707eb4b6782924d2412e7,420d464f96c0fb2e2c821fc5bd6c5d724cd67d8cebeb173905609ad816181070,en,experiment_generated_internal,not_manually_reviewed
B0009,Cedd50b5bfb506724b9886ecb,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_2,procedure_home_task,revision_v1_nonce_96_bit_hex_013,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,forced_span,segmented_hex_single_topic,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__43e099100a2d7692e8fa,revision_v1_primary_v2_payload_fidelity_v2__43e099100a2d7692e8fa,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1871,c0bf95accb68b888ecd31900c17ac8b76301ea474c538454bcfabd6c8234f6bf,5faf1797f34e7ac814415b4ef5a4ee0216cd78292fe58750c0866baab5f1f5ca,en,experiment_generated_internal,not_manually_reviewed
B0010,Cfcb817fdb398a76375b6870a,rankcloak_ascii_b8,procedural_instructions,procedural_instructions_template_2,procedure_home_task,revision_v1_sha256_hex_002,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__6cd02d278316722050b4,revision_v1_primary_v2_payload_fidelity_v2__6cd02d278316722050b4,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,31,c726f7f8c498e6815e91eff5a645846bd999684289256b00428144a26ff2c406,6f061e02ce19d02e352e97c254a41956ebd7551333e3a18f5dc56346f22070c1,en,experiment_generated_internal,not_manually_reviewed
B0011,Cd0eaf7833322a9bd378c1b13,ordinary_llm_control,professional_communication,professional_communication_template_1,professional_project_update,revision_v1_nonce_96_bit_hex_047,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,ordinary_llm_control,,revision_v1_primary_v2_payload_fidelity_v2__f4805a92cf17ecef4dc3,revision_v1_primary_v2_payload_fidelity_v2__926c4ad6a4c1fd04dc55,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,2351,e326b5604f1d82184754be81ba742355d19da557fbfdece59ffc197a11bd8149,f5f1ced47444f26341ad566e97c9d232abe91e32026c950c226680cb9767ed17,en,experiment_generated_internal,not_manually_reviewed
B0012,Cf56d4c28fa602b85f1061373,ordinary_llm_control,personal_narrative_blog,personal_narrative_blog_template_2,narrative_local_walk,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,llama3_8b_instruct_q4_k_m,full_message,ordinary_llm_control,,revision_v1_primary_v2_payload_fidelity_v2__d2dfbbd2f04bc43e6a89,revision_v1_primary_v2_payload_fidelity_v2__d29ec741f841ab8abe26,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,884,e0d0abd1fc99b0413daf73f03366e90ad0f5b5c5c7ce6ee1638756a698036c4b,807c04ae59ecc59c5ccd701c4b8cdfa5547ef8e4f81f98a2ee7011f71b9e8577,en,experiment_generated_internal,not_manually_reviewed
B0013,C2451a05d7b55ff26bc3605c4,ordinary_llm_control,casual_conversation,casual_conversation_template_2,casual_hobby_chat,revision_v1_sha256_hex_023,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,ordinary_llm_control,,revision_v1_primary_v2_payload_fidelity_v2__3269cb97ce23a4ec24f9,revision_v1_primary_v2_payload_fidelity_v2__79bf3962775a8b19f19f,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,324,17da471f644b94325613d0707ff9e1587fe9b0d046c8ce0288f03d08e710fa76,d555e209389a492b248e9b9fd73962a1b2e3fb0effbe20ff5e0b8b3a669c186f,en,experiment_generated_internal,not_manually_reviewed
B0014,C7fe85b2d0f20d47443a3447f,rankcloak_hex_nibble,professional_communication,professional_communication_template_2,professional_schedule_note,revision_v1_nonce_96_bit_hex_010,nonce_96_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__fd43d379b87b97b94eb1,revision_v1_primary_v2_payload_fidelity_v2__fd43d379b87b97b94eb1,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,1827,b0a9d9d70c8cd36fba539baea07776be0dab9da98abd6bdc0414ed9da030ef7f,0be4f8d000f8d11128c95ea3b5f840d809565462a37d59e823a5bc3a924279ab,en,experiment_generated_internal,not_manually_reviewed
