contrast,metric,effect,ci_low,ci_high,payload_clusters,bootstrap_draws,nonempty_bootstrap_draws,class_counts,model_id
actual minus ordinary,context_gain,0.15747839624885526,0.10983911875527323,0.20655505697642101,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
actual minus ordinary,context_gain,0.26321663705123893,0.17167447099952796,0.3501785138400994,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
actual minus ordinary,context_gain,0.10758438671321648,0.009823668715816568,0.21120706546628581,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
actual minus ordinary,context_gain,0.09780865181582118,0.02723144771250599,0.16558402099768765,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
actual minus ordinary,conditional_logp,0.06190065599112142,0.02771442544199887,0.09808040121560785,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
actual minus ordinary,conditional_logp,0.17155111947442103,0.10250905787205539,0.24276905216985525,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
actual minus ordinary,conditional_logp,-0.008944431982241865,-0.083970342443707,0.06817353950987771,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
actual minus ordinary,conditional_logp,0.032163769788920125,-0.018375867353473487,0.08629718587452943,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
actual minus shuffled,context_gain,2.3265121008350307,2.2705022244942965,2.3911966740182353,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
actual minus shuffled,context_gain,2.390287747242216,2.2945235274992037,2.48834589389187,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
actual minus shuffled,context_gain,2.4493414969601197,2.323431938455848,2.5903005246249458,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
