outcome,factor,level_first,level_second,analysis_unit,comparison_design,n_payloads_first,n_payloads_second,n_payloads_paired,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,confidence_level,bootstrap_unit,bootstrap_resamples,effect_type,risk_difference,risk_ratio,odds_ratio_haldane_anscombe,p_value_raw,test,p_value_holm,p_value_bh,hedges_g
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,0.2413793103448276,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,0.2413793103448276,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,0.2413793103448276,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,0.2413793103448276,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,1.0,1.0,fisher_exact,1.0,1.0,
exact_recovery,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,independent_payload,14,3,0,1.0,1.0,0.0,0.0,0.0,0.95,payload,100,risk_difference,0.0,1.0,4.142857142857143,1.0,fisher_exact,1.0,1.0,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,-6.860412402490563,-4.256407870014832,-2.604004532475731,-2.9475412483651198,-2.254937111333856,0.95,payload,100,mean_difference,,,,0.00035173648134822534,welch_t,0.08476849200492231,0.006381504733032089,-7.535921429307514
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,-6.860412402490563,-3.8553492409930676,-3.005063161497495,-3.4357415693927886,-2.583397385947361,0.95,payload,100,mean_difference,,,,0.0006653574647159658,welch_t,0.1596857915318318,0.01126671973585702,-6.9314200120825
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,-6.860412402490563,-4.981815812836631,-1.8785965896539318,-2.368884427209153,-1.4405121995666885,0.95,payload,100,mean_difference,,,,0.009354159546027438,welch_t,1.0,0.06788447213402769,-3.6498208260141825
mean_log_probability,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,-6.860412402490563,-5.429904173489638,-1.4305082290009246,-1.844824717879562,-1.1112398520726783,0.95,payload,100,mean_difference,,,,0.0015517033882528639,welch_t,0.364650296239423,0.019706633030811372,-3.0590322923781
mean_log_probability,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,-6.860412402490563,-4.903355394330764,-1.9570570081597989,-2.343104209159762,-1.6875057192715732,0.95,payload,100,mean_difference,,,,0.00104487619185222,welch_t,0.24868053366082837,0.015611679572380228,-5.663116959808818
