study_phase,model_id,protocol_variant,prompt_category,payload_class,replay_mode,transformation_id,mitigation_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level,view,hardware_id
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-7.197836233627203,,-7.197836233627203,1,100,-7.197836233627203,-7.197836233627203,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-7.197836233627203,,-7.197836233627203,1,100,-7.197836233627203,-7.197836233627203,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-7.197836233627203,,-7.197836233627203,1,100,-7.197836233627203,-7.197836233627203,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-3.9873135176982855,,-3.9873135176982855,1,100,-3.9873135176982855,-3.9873135176982855,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-3.9873135176982855,,-3.9873135176982855,1,100,-3.9873135176982855,-3.9873135176982855,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-3.9873135176982855,,-3.9873135176982855,1,100,-3.9873135176982855,-3.9873135176982855,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-3.4775246579349117,,-3.4775246579349117,1,100,-3.4775246579349117,-3.4775246579349117,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-3.4775246579349117,,-3.4775246579349117,1,100,-3.4775246579349117,-3.4775246579349117,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,saved_token_ids,unmodified,none,mean_log_probability,payload,-3.4775246579349117,,-3.4775246579349117,1,100,-3.4775246579349117,-3.4775246579349117,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.408034335083492,,-4.408034335083492,1,100,-4.408034335083492,-4.408034335083492,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.408034335083492,,-4.408034335083492,1,100,-4.408034335083492,-4.408034335083492,0,0.95,,
