study_phase,model_id,protocol_variant,prompt_category,payload_class,replay_mode,transformation_id,mitigation_id,analysis_unit,n_payloads,successes,exact_recovery_rate,wilson_ci_low,wilson_ci_high,exact_ci_low,exact_ci_high,confidence_level
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,payload,1,0,0.0,0.0,0.7934506856227626,0.0,0.975,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,saved_token_ids,unmodified,none,payload,1,1,1.0,0.2065493143772375,1.0,0.025000000000000022,1.0,0.95
