status,comparison_name,metric_name,group_a,group_b,n_a,n_b,mean_a,mean_b,difference_b_minus_a,ratio_b_over_a,bootstrap_ci_low_95,bootstrap_ci_high_95,notes
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,mean_token_log_probability,nonseg_ascii_b8,nonseg_ascii_b16,175,175,-3.449699005947006,-3.9647917360890066,-0.5150927301420007,1.1493152675795837,-0.5633337809014118,-0.46004608041790573,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,mean_token_log_probability,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,-3.9391290017788236,-4.601375879694837,-0.6622468779160133,1.1681201295050143,-0.7383491758780634,-0.5810002266893575,hex payloads only
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,generated_token_count,nonseg_ascii_b8,nonseg_ascii_b16,175,175,132.85714285714286,99.42857142857143,-33.42857142857143,0.7483870967741936,-41.537285714285694,-25.131000000000014,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,generated_token_count,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,99.2,49.6,-49.6,0.5,-56.96319999999999,-42.5584,hex payloads only
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,artifact_count_total,nonseg_ascii_b8,nonseg_ascii_b16,175,175,0.6228571428571429,0.4,-0.22285714285714286,0.6422018348623854,-0.3885714285714285,-0.05714285714285716,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,artifact_count_total,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,0.424,0.384,-0.03999999999999998,0.9056603773584906,-0.2,0.11219999999999986,hex payloads only
ok,segmented_single_topic_vs_multi_topic,full_message_mean_log_probability_mean,segmented_single_topic,segmented_multi_topic,25,25,-1.5337636625772217,-1.453733638765649,0.08003002381157276,0.947821150178316,-8.650802156543153e-05,0.16755403313883374,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.378391109974983,-1.4982420047373726,3.88014910523761,0.27856694950255145,3.7367704356096225,4.015875746002673,paired structure is summarized as an independent bootstrap for this pilot
ok,segmented_single_topic_vs_multi_topic,full_message_artifact_count_mean,segmented_single_topic,segmented_multi_topic,25,25,0.09833333333333333,0.15333333333333332,0.05499999999999999,1.5593220338983051,-0.02004166666666667,0.1283333333333333,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.378391109974983,-1.4982420047373726,3.88014910523761,0.27856694950255145,3.7367704356096225,4.015875746002673,paired structure is summarized as an independent bootstrap for this pilot
ok,segmented_single_topic_vs_multi_topic,total_full_message_token_count,segmented_single_topic,segmented_multi_topic,25,25,261.36,254.76,-6.600000000000023,0.9747474747474747,-61.32200000000002,45.36100000000001,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.378391109974983,-1.4982420047373726,3.88014910523761,0.27856694950255145,3.7367704356096225,4.015875746002673,paired structure is summarized as an independent bootstrap for this pilot
ok,legacy_unfiltered_vs_filtered_pilot,full_message_mean_log_probability_mean,unfiltered,safe_text_filter_v1,6,4,-1.3328877200606175,-1.381828746777508,-0.0489410267168906,1.0367180415726727,-0.2242872797133828,0.13029345289574848,imported from results/rankcloak_segmented_quality_controls
ok,legacy_unfiltered_vs_filtered_pilot,full_message_artifact_count_mean,unfiltered,safe_text_filter_v1,6,4,0.16666666666666666,0.0,-0.16666666666666666,0.0,-0.22916666666666666,-0.08333333333333333,imported from results/rankcloak_segmented_quality_controls
