trial_id,protocol_variant,payload_name,payload_class,payload_kind,representation_name,segment_size,segment_count,message_count,topic_schedule_name,leadin_policy,leadin_token_count,tail_policy,actual_tail_token_count_mean,token_filter_name,total_forced_rank_count,total_forced_prefix_token_count,total_full_message_token_count,total_full_message_character_count,exact_recovery,generation_seconds,recovery_seconds,forced_prefix_mean_log_probability_mean,forced_prefix_repetition_mean,forced_prefix_punctuation_fraction_mean,forced_prefix_artifact_count_mean,full_message_mean_log_probability_mean,full_message_repetition_mean,full_message_punctuation_fraction_mean,full_message_artifact_count_mean,model_repo_id,model_filename,model_path_relative,notes
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,32.375,safe_text_filter_v1,64,64,323,1494,True,36.3422341550031,27.36714615797973,-4.886959524484617,0.0625,0.0385912698412698,0.25,-1.554070663288199,0.1817655103286342,0.0287961820367064,0.25,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__ca6f7532aa,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,32.5,safe_text_filter_v1,64,64,324,1382,True,25.870373707002727,16.77906099300162,-4.781003841298436,0.046875,0.0186248609566184,0.0,-1.4062188736889767,0.1579470833824293,0.0381541340484875,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__60d86c8fab,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,30.125,safe_text_filter_v1,64,64,369,1576,True,27.340091113001108,18.07824047999748,-6.133633671723221,0.0,0.0186155913978494,0.0,-1.5419157597291666,0.1594282261355432,0.0346177870617658,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__e6b7112bc5,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,35.875,safe_text_filter_v1,64,64,351,1560,True,37.20892032700067,27.28339434300142,-4.944976915374145,0.03125,0.0515202702702702,0.0,-1.4318800581793076,0.1770609026523348,0.03385898131574,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__75519a03ec,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,35.375,safe_text_filter_v1,64,64,347,1478,True,26.532887624001887,16.727774371000123,-5.312183777909133,0.015625,0.066455563514387,0.125,-1.4050953509428994,0.1581191365598334,0.0418113853071222,0.125,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__d569e36c38,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,26.0,safe_text_filter_v1,64,64,336,1502,True,26.175343028997304,18.06473709698912,-5.917609409348854,0.015625,0.0213260135135135,0.0,-1.547060338250853,0.1387174038698429,0.0344962817538945,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__3b3a8df1b6,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,35.25,safe_text_filter_v1,64,64,346,1594,True,37.06935091099149,27.321876759997394,-4.857380174516067,0.015625,0.0552507155329735,0.125,-1.5415123706689535,0.1806337576896787,0.0339961206860783,0.125,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__37e7074edd,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,33.5,safe_text_filter_v1,64,64,332,1464,True,26.18140293899341,16.802113972997176,-4.920966467585105,0.015625,0.0590460142390289,0.125,-1.449804241832544,0.1235239994415526,0.0369643192573182,0.125,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__e9032960f3,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,30.375,safe_text_filter_v1,64,64,371,1655,True,27.51391758000682,18.11063453800307,-6.198883460501203,0.015625,0.0574978504965717,0.0,-1.531833889213365,0.1870050421461818,0.040048099461066,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_003__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__e6b0d3f65b,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_003,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,31.375,safe_text_filter_v1,64,64,315,1386,True,36.09791088900965,27.34068252099678,-4.806945071189047,0.0,0.0460874051391292,0.0,-1.4958924001840008,0.1639247196562497,0.0323918120428914,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_003__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__4a2a78efa0,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_003,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,38.125,safe_text_filter_v1,64,64,369,1550,True,27.19892561398592,16.685626899001363,-4.725619041188786,0.0,0.0453926812589215,0.0,-1.2539988934264603,0.1600732674529876,0.0340424250471086,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
