payload_name,payload_class,primary_trial_count,model_count,prompt_template_count,protocol_variant_count,exact_payload_recovery_all,exact_rank_replay_all
revision_v1_aes256_gcm_base64_000,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_001,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_002,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_003,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_004,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_005,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_006,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_007,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_008,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_009,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_010,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_011,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_012,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_013,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_014,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_015,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_016,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_017,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_018,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_019,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_020,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_021,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_022,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_023,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_024,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_025,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_026,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_027,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_028,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_029,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_030,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_031,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_032,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_033,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_034,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_035,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_036,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_037,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_038,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_039,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_040,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_042,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_043,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_044,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_045,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_046,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_047,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_048,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_049,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_050,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_051,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_052,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_053,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_054,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_055,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_056,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_057,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_058,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_aes256_gcm_base64_059,aes256_gcm_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_000,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_001,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_002,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_004,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_005,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_006,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_007,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_008,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_009,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_010,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_011,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_012,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_013,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_014,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_015,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_016,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_017,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_018,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_019,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_020,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_021,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_022,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_023,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_024,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_025,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_026,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_027,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_028,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_029,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_030,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_031,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_032,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_033,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_034,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_035,chacha20_poly1305_base64,9,3,3,3,1,1
