trial_id,model_id,protocol_variant,payload_name,representation_name,alphabet_size_B,forced_context_count,Q_B_nats_per_forced_token,Q_greedy_nats_per_forced_token,Q_rank_B_nats_per_forced_token,Delta_B_nats_per_forced_token,quality_status
revision_v1_smoke_v3_payload_fidelity_v2__561e8276b841184fbf17,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,revision_v1_ed25519_signature_base64_017,direct_subword,,60,7.417742680973514,1.776246471669976,,5.641496209303538,partially_evaluable
revision_v1_smoke_v3_payload_fidelity_v2__e72534365baa8895bae0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_uuid_v4_015,ascii_b8,8,96,3.4775246579349113,0.8627316453953657,5.2546948193411085,2.6147930125395455,validated
revision_v1_smoke_v3_payload_fidelity_v2__707a25bae4837ced0fac,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_aes256_gcm_base64_009,ascii_b16,16,128,3.9873135176982872,1.2175884482946362,5.59304505712652,2.7697250694036484,validated
revision_v1_smoke_v3_payload_fidelity_v2__d27018e769db5eeecd4b,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_003,hex_nibble,16,64,4.408034335083491,1.0823660895295217,5.592590610689648,3.3256682455539703,validated
revision_v1_smoke_v3_payload_fidelity_v2__4be2b9486882e2972e7d,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_hmac_sha256_hex_015,hex_nibble,16,64,4.640531875542393,1.0063506591832538,6.498721488169422,3.6341812163591385,validated
revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_009,hex_nibble,16,24,5.272749145349973,1.267935871602212,6.296597798189635,4.004813273747762,validated
revision_v1_smoke_v3_payload_fidelity_v2__6b3d576ef3dd8b206c3c,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_000,hex_nibble,16,64,4.892450590743379,1.1255624342101365,6.376665701283769,3.7668881565332413,validated
revision_v1_smoke_v3_payload_fidelity_v2__5ae7fc0932404d21420d,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_011,hex_nibble,16,24,5.328216427781194,0.8668841066142012,6.892417981443811,4.461332321166992,validated
revision_v1_smoke_v3_payload_fidelity_v2__a2b08335891aefb13c6d,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_006,hex_nibble,16,24,6.637829738668866,0.9593151786051856,8.023447948507732,5.67851456006368,validated
revision_v1_smoke_v3_payload_fidelity_v2__056b300c7d6bf037631f,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_000,hex_nibble,16,32,4.422176228755328,1.2584172952111699,5.775760667317722,3.163758933544159,validated
revision_v1_smoke_v3_payload_fidelity_v2__f76b627129a01c577058,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_004,hex_nibble,16,64,4.911269899682134,1.1097881758967323,6.372899856642812,3.8014817237854004,validated
revision_v1_smoke_v3_payload_fidelity_v2__b2da5f662c97e99a5c9d,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_002,hex_nibble,16,32,6.656860724213452,0.4533691854504053,9.447977110865445,6.203491538763046,validated
