figure_id,title,classification,evidence_status,intended_placement,panel_count,plotted_row_count,width_mm,height_mm,primary_pdf,inspection_png_300dpi,plotted_source_csv,technical_note,uncertainty
robustness_compact,Exact-copy fragility,Core compact candidate,secondary_with_diagnostic_scope,Main Figure 2 candidate,1,11,180.0,104.14,results/revision_v1/final_experiment_package/figures/robustness_recovery_compact.pdf,results/revision_v1/final_experiment_package/figures/robustness_recovery_compact.png,results/revision_v1/final_experiment_package/figures/robustness_compact_source.csv,results/revision_v1/final_experiment_package/figures/robustness_technical_note.md,source-cover Wilson 95% confidence intervals
robustness_full,Exact-copy fragility,Full supporting candidate,secondary_with_diagnostic_scope,Supplementary complete robustness view,4,24,180.0,154.94,results/revision_v1/final_experiment_package/figures/robustness_recovery.pdf,results/revision_v1/final_experiment_package/figures/robustness_recovery.png,results/revision_v1/final_experiment_package/figures/robustness_figure_source.csv,results/revision_v1/final_experiment_package/figures/robustness_technical_note.md,source-cover Wilson 95% confidence intervals
detector_compact,Neural detectability,Core compact candidate,confirmatory_endpoints_plus_exploratory_low_fpr_metric,Main Figure 4 candidate,3,24,180.0,87.63,results/revision_v1/final_experiment_package/figures/neural_detector_performance_compact.pdf,results/revision_v1/final_experiment_package/figures/neural_detector_performance_compact.png,results/revision_v1/final_experiment_package/figures/detector_compact_source.csv,results/revision_v1/final_experiment_package/figures/neural_detector_technical_note.md,matched 95% CIs; held-out cross-split min-max ranges
detector_full,Neural detectability,Full supporting candidate,confirmatory_and_exploratory_panels_separated,Supplementary complete detector view,6,48,180.0,148.59,results/revision_v1/final_experiment_package/figures/neural_detector_performance.pdf,results/revision_v1/final_experiment_package/figures/neural_detector_performance.png,results/revision_v1/final_experiment_package/figures/detector_figure_source.csv,results/revision_v1/final_experiment_package/figures/neural_detector_technical_note.md,matched 95% CIs; held-out cross-split min-max ranges
capacity_tail,Capacity and tail overhead,Core compact candidate,supporting,Supplementary capacity and tail validation,3,18,180.0,115.57,results/revision_v1/final_experiment_package/figures/capacity_tail_validation.pdf,results/revision_v1/final_experiment_package/figures/capacity_tail_validation.png,results/revision_v1/final_experiment_package/figures/theory_figure_source.csv,results/revision_v1/final_experiment_package/figures/capacity_tail_technical_note.md,tail medians with 5th-95th percentile ranges
readability,Automated readability diagnostics,Full supporting candidate,automated_not_human_rating,Supplementary automated readability diagnostics,3,21,180.0,95.25,results/revision_v1/final_experiment_package/figures/automated_readability.pdf,results/revision_v1/final_experiment_package/figures/automated_readability.png,results/revision_v1/final_experiment_package/figures/readability_figure_source.csv,results/revision_v1/final_experiment_package/figures/automated_readability_technical_note.md,prompt-template-cluster bootstrap 95% confidence intervals
overhead_compact,Computational overhead,Full supporting candidate,supporting,Optional compact supporting candidate,3,54,180.0,90.17,results/revision_v1/final_experiment_package/figures/computational_overhead_compact.pdf,results/revision_v1/final_experiment_package/figures/computational_overhead_compact.png,results/revision_v1/final_experiment_package/figures/overhead_compact_source.csv,results/revision_v1/final_experiment_package/figures/computational_overhead_technical_note.md,payload-group bootstrap 95% confidence intervals
overhead_full,Computational overhead,Full supporting candidate,supporting,Supplementary computational overhead,4,72,180.0,130.81,results/revision_v1/final_experiment_package/figures/computational_overhead.pdf,results/revision_v1/final_experiment_package/figures/computational_overhead.png,results/revision_v1/final_experiment_package/figures/overhead_figure_source.csv,results/revision_v1/final_experiment_package/figures/computational_overhead_technical_note.md,payload-group bootstrap 95% confidence intervals
ablation,Exploratory ablation contrasts,Full supporting candidate,exploratory_post_outcome,Supplementary ablation contrasts,3,9,180.0,90.17,results/revision_v1/final_experiment_package/figures/ablation_summary.pdf,results/revision_v1/final_experiment_package/figures/ablation_summary.png,results/revision_v1/final_experiment_package/figures/ablation_figure_source.csv,results/revision_v1/final_experiment_package/figures/ablation_technical_note.md,payload-group bootstrap 95% confidence intervals
payload_rank,Payload representation trade-off,Expanded main-text continuity candidate,confirmatory_records_descriptive_estimands,Main Figure 1 candidate,3,56,180.0,119.38,results/revision_v1/final_experiment_package/figures/payload_representation_rank_capacity.pdf,results/revision_v1/final_experiment_package/figures/payload_representation_rank_capacity.png,results/revision_v1/final_experiment_package/figures/payload_representation_rank_capacity_source.csv,,descriptive medians and 5th-95th percentile ranges; observed maxima are not confidence limits
capacity_frontier,Empirical capacity-quality frontier,Expanded supplementary continuity candidate,confirmatory_records_descriptive_frontier,Supplementary empirical capacity-quality frontier,2,36,180.0,93.98,results/revision_v1/final_experiment_package/figures/empirical_capacity_quality_frontier.pdf,results/revision_v1/final_experiment_package/figures/empirical_capacity_quality_frontier.png,results/revision_v1/final_experiment_package/figures/empirical_capacity_quality_frontier_source.csv,,payload-group bootstrap 95% confidence intervals
forced_full,Forced span versus message,Expanded main-text continuity candidate,confirmatory_records_paired_descriptive_estimands,Main Figure 3 candidate,2,18,180.0,91.44,results/revision_v1/final_experiment_package/figures/forced_span_full_message_quality.pdf,results/revision_v1/final_experiment_package/figures/forced_span_full_message_quality.png,results/revision_v1/final_experiment_package/figures/forced_span_full_message_quality_source.csv,,paired payload-group bootstrap 95% confidence intervals
tail_gain,Tail gain by topic,Expanded supplementary continuity candidate,exploratory_descriptive_topic_subgroups,Supplementary tail-gain topic analysis,3,36,180.0,102.87,results/revision_v1/final_experiment_package/figures/tail_gain_by_prompt_category.pdf,results/revision_v1/final_experiment_package/figures/tail_gain_by_prompt_category.png,results/revision_v1/final_experiment_package/figures/tail_gain_by_prompt_category_source.csv,,payload-cluster bootstrap 95% confidence intervals for segment-weighted means
