source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level,protocol_order,model_order,row_order,display_protocol,display_family,display_model,interval_semantics,timing_scope_note
primary_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.4213158566877,0.821024243764656,2.534796773499693,480,2000,2.3484541679485487,2.495448083184709,2000,0.95,0,0,0,Direct subword,Direct subword,Llama 3 8B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.5132064629793,0.6899048296583643,2.732283687480958,480,2000,2.4512047939834565,2.575303198198469,2000,0.95,0,1,1,Direct subword,Direct subword,Mistral 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.906426360140904,0.8127167538378773,3.0927521945122862,480,2000,2.832784723456627,2.980870653527856,2000,0.95,0,2,2,Direct subword,Direct subword,Qwen 2.5 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.8917299477610263,0.8893087340481967,3.2701257740263827,480,2000,2.810989259729184,2.971771573971288,2000,0.95,1,0,3,ASCII B=16,Nonsegmented,Llama 3 8B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.701641364892324,0.8288498667602062,3.03779345699877,480,2000,2.6279667904620143,2.7768615374062517,2000,0.95,1,1,4,ASCII B=16,Nonsegmented,Mistral 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.8059592085370846,0.8712485968043087,3.1803656069823774,480,2000,2.727746083682145,2.8843516102840856,2000,0.95,1,2,5,ASCII B=16,Nonsegmented,Qwen 2.5 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.70711434703444,1.1880549883282987,4.22039409649733,480,2000,3.600049317098571,3.815013792324098,2000,0.95,2,0,6,ASCII B=8,Nonsegmented,Llama 3 8B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.445216218243756,1.1118229558368982,3.894836850988213,480,2000,3.347099056271697,3.5462642310374046,2000,0.95,2,1,7,ASCII B=8,Nonsegmented,Mistral 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.587806710576781,1.160653670027758,4.087061784506659,480,2000,3.4843259064339374,3.693411555306193,2000,0.95,2,2,8,ASCII B=8,Nonsegmented,Qwen 2.5 7B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,1.51296476314601,0.4147401804039997,1.5349447259941371,240,2000,1.4627948813135148,1.5652034921813536,2000,0.95,3,0,9,Hex nibble B=16,Nonsegmented,Llama 3 8B,payload_group_bootstrap_95_ci,inclusive_wrapper_measurement
