panel,group,subgroup,estimate,range_low,range_high,observed_min,observed_max,n_units,n_payloads,n_models,unit_of_analysis,interval_definition,rank_control_label,scope,filtering_rule,source_files,evidence_status
forced_symbol_count,sha256_hex,direct_subword,55.5,34.0,61.0,30.0,65.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,hmac_sha256_hex,direct_subword,56.0,34.95,61.0,31.0,65.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,token_128_bit_hex,direct_subword,28.0,17.0,31.049999999999983,15.0,33.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,nonce_96_bit_hex,direct_subword,20.0,12.0,24.0,11.0,25.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,uuid_v4,direct_subword,31.0,21.0,35.04999999999998,18.0,37.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,aes256_gcm_base64,direct_subword,48.0,43.0,56.0,40.0,59.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,chacha20_poly1305_base64,direct_subword,48.0,43.0,55.0,39.0,58.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,ed25519_signature_base64,direct_subword,66.0,60.0,75.0,57.0,77.0,180,60,3,payload_model_pair,5th_to_95th_observed_percentile_range,No codec ceiling,all_primary_payload_classes,completed primary direct-subword records; one row per payload-model pair,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl;results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl;results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,confirmatory_records_descriptive_estimand
forced_symbol_count,sha256_hex,ascii_b8,171.0,171.0,171.0,171.0,171.0,60,60,0,unique_payload,5th_to_95th_observed_percentile_range,Rank ceiling 8,codec_applicable_primary_payload_classes,completed primary nonseg_ascii_b8 trials collapsed across models because codec length is deterministic,results/revision_v1/analysis_inputs/primary_v2/trials.csv,confirmatory_records_deterministic_codec_descriptive
forced_symbol_count,hmac_sha256_hex,ascii_b8,171.0,171.0,171.0,171.0,171.0,60,60,0,unique_payload,5th_to_95th_observed_percentile_range,Rank ceiling 8,codec_applicable_primary_payload_classes,completed primary nonseg_ascii_b8 trials collapsed across models because codec length is deterministic,results/revision_v1/analysis_inputs/primary_v2/trials.csv,confirmatory_records_deterministic_codec_descriptive
