detector_name,regime,metric,evidence_status,higher_is_better,split_count,estimate_median_across_splits,estimate_min_across_splits,estimate_max_across_splits,test_rows_sum_across_splits,payload_groups_sum_across_splits,cross_split_interval,regime_order,detector_order,outcome_order,display_detector
published_textcnn_equivalent,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9901902867054382,0.9901902867054382,0.9901902867054382,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,0,TextCNN
deberta_v3_base_classifier,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9998339455157635,0.9998339455157635,0.9998339455157635,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,0,DeBERTa-v3-base
published_textcnn_equivalent,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9547042871900828,0.7204209710743802,0.9817045454545454,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,0,TextCNN
deberta_v3_base_classifier,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9997184917355372,0.9962913223140496,0.9999793388429752,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,0,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.9626193755739212,0.9256232782369146,0.9736501377410468,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,0,TextCNN
deberta_v3_base_classifier,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.999451331496786,0.9967722681359044,0.9999793388429752,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,0,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9858757716049382,0.9665316358024691,0.9986342592592592,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,0,TextCNN
deberta_v3_base_classifier,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9994251543209876,0.9979166666666668,1.0,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,0,DeBERTa-v3-base
published_textcnn_equivalent,matched,pr_auc,confirmatory_frozen_upstream,True,1,0.9908610641184562,0.9908610641184562,0.9908610641184562,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,1,TextCNN
deberta_v3_base_classifier,matched,pr_auc,confirmatory_frozen_upstream,True,1,0.999836834155809,0.999836834155809,0.999836834155809,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,1,DeBERTa-v3-base
published_textcnn_equivalent,held_out_template,pr_auc,confirmatory_frozen_upstream,True,18,0.9557110149651228,0.6693642318239709,0.9828242422893924,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,1,TextCNN
deberta_v3_base_classifier,held_out_template,pr_auc,confirmatory_frozen_upstream,True,18,0.9997234141289668,0.9972660394370612,0.9999794323323736,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,1,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_model,pr_auc,confirmatory_frozen_upstream,True,3,0.9636484970582366,0.9082971676709074,0.9741573545450514,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,1,TextCNN
deberta_v3_base_classifier,leave_one_model,pr_auc,confirmatory_frozen_upstream,True,3,0.9994917131695394,0.9968205700572762,0.9999794216316328,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,1,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_codec,pr_auc,confirmatory_frozen_upstream,True,6,0.9865106458722596,0.9684195166129892,0.9986885944199588,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,1,TextCNN
deberta_v3_base_classifier,leave_one_codec,pr_auc,confirmatory_frozen_upstream,True,6,0.999451863103977,0.9983405374492664,1.0,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,1,DeBERTa-v3-base
published_textcnn_equivalent,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.9510101010101012,0.9510101010101012,0.9510101010101012,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,2,TextCNN
deberta_v3_base_classifier,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.991919191919192,0.991919191919192,0.991919191919192,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,2,DeBERTa-v3-base
published_textcnn_equivalent,held_out_template,balanced_accuracy,confirmatory_frozen_upstream,True,18,0.7931818181818182,0.5659090909090909,0.9193181818181818,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,2,TextCNN
deberta_v3_base_classifier,held_out_template,balanced_accuracy,confirmatory_frozen_upstream,True,18,0.9892045454545456,0.9522727272727274,0.9954545454545454,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,2,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_model,balanced_accuracy,confirmatory_frozen_upstream,True,3,0.8977272727272727,0.8507575757575758,0.9037878787878788,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,2,TextCNN
deberta_v3_base_classifier,leave_one_model,balanced_accuracy,confirmatory_frozen_upstream,True,3,0.9734848484848484,0.9462121212121212,0.9757575757575758,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,2,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_codec,balanced_accuracy,confirmatory_frozen_upstream,True,6,0.93125,0.8958333333333333,0.9805555555555556,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,2,TextCNN
deberta_v3_base_classifier,leave_one_codec,balanced_accuracy,confirmatory_frozen_upstream,True,6,0.9729166666666668,0.9277777777777778,0.9986111111111112,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,2,DeBERTa-v3-base
published_textcnn_equivalent,matched,precision,supplementary_exploratory_post_freeze,True,1,0.9546843177189408,0.9546843177189408,0.9546843177189408,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,3,TextCNN
deberta_v3_base_classifier,matched,precision,supplementary_exploratory_post_freeze,True,1,0.9994871794871796,0.9994871794871796,0.9994871794871796,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,3,DeBERTa-v3-base
published_textcnn_equivalent,held_out_template,precision,supplementary_exploratory_post_freeze,True,18,0.7157388373816616,0.5355392156862745,0.8900634249471459,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,3,TextCNN
deberta_v3_base_classifier,held_out_template,precision,supplementary_exploratory_post_freeze,True,18,0.9976958403015582,0.919831223628692,1.0,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,3,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_model,precision,supplementary_exploratory_post_freeze,True,3,0.8748241912798875,0.8389458272327965,0.8995433789954338,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,3,TextCNN
deberta_v3_base_classifier,leave_one_model,precision,supplementary_exploratory_post_freeze,True,3,1.0,0.9900166389351082,1.0,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,3,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_codec,precision,supplementary_exploratory_post_freeze,True,6,0.9585369194940409,0.9257142857142856,0.9805555555555556,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,3,TextCNN
deberta_v3_base_classifier,leave_one_codec,precision,supplementary_exploratory_post_freeze,True,6,1.0,0.997005988023952,1.0,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,3,DeBERTa-v3-base
published_textcnn_equivalent,matched,brier_score,supplementary_exploratory_post_freeze,False,1,0.0393204825324821,0.0393204825324821,0.0393204825324821,3960,120,not_computed_heterogeneous_prespecified_splits,0,0,4,TextCNN
deberta_v3_base_classifier,matched,brier_score,supplementary_exploratory_post_freeze,False,1,0.0078946183011227,0.0078946183011227,0.0078946183011227,3960,120,not_computed_heterogeneous_prespecified_splits,0,1,4,DeBERTa-v3-base
published_textcnn_equivalent,held_out_template,brier_score,supplementary_exploratory_post_freeze,False,18,0.1741223404937434,0.0649339374377041,0.4185186117359863,15840,1440,not_computed_heterogeneous_prespecified_splits,1,0,4,TextCNN
deberta_v3_base_classifier,held_out_template,brier_score,supplementary_exploratory_post_freeze,False,18,0.0087399494937286,0.0044640140342636,0.0386980625716659,15840,1440,not_computed_heterogeneous_prespecified_splits,1,1,4,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_model,brier_score,supplementary_exploratory_post_freeze,False,3,0.0781855032317006,0.0753362933061164,0.1184956692559819,3960,360,not_computed_heterogeneous_prespecified_splits,2,0,4,TextCNN
deberta_v3_base_classifier,leave_one_model,brier_score,supplementary_exploratory_post_freeze,False,3,0.0217258932152287,0.0194789039343349,0.046558503276814,3960,360,not_computed_heterogeneous_prespecified_splits,2,1,4,DeBERTa-v3-base
published_textcnn_equivalent,leave_one_codec,brier_score,supplementary_exploratory_post_freeze,False,6,0.0561582413993122,0.0148620012219802,0.0801275963915035,3960,540,not_computed_heterogeneous_prespecified_splits,3,0,4,TextCNN
deberta_v3_base_classifier,leave_one_codec,brier_score,supplementary_exploratory_post_freeze,False,6,0.0237021112225994,0.0007040167504623,0.0604463103114793,3960,540,not_computed_heterogeneous_prespecified_splits,3,1,4,DeBERTa-v3-base
