condition,outcome,n,missing_n,prompt_template_units,mean,standard_deviation,median,minimum,maximum,ci_low,ci_high,interval_method,confidence_level,bootstrap_resamples,estimand_scope,human_rating_substitute,condition_order,display_condition
ordinary_llm_control,flesch_reading_ease_heuristic,72,0,18,61.9405970518339,21.106217375451195,65.56125806451615,-8.365789473684202,100.24000000000002,54.8970420091175,68.14316650628608,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,0,ordinary llm control
rankcloak_ascii_b8,flesch_reading_ease_heuristic,72,0,18,52.36832602245178,22.259222098538547,57.98291666666668,-16.758630136986284,88.16583333333337,45.46083211607059,59.31401970397715,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,1,rankcloak ascii b8
rankcloak_ascii_b16,flesch_reading_ease_heuristic,72,0,18,46.16669067540993,25.44987856619843,48.60599114064233,-38.225909090909056,90.32772536687632,37.65214279116969,54.89349264345423,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,2,rankcloak ascii b16
rankcloak_hex_nibble,flesch_reading_ease_heuristic,72,0,18,51.62995786608221,25.802890655870076,52.55237012987016,-14.814999999999998,97.65452380952382,43.69817773388753,58.801993005958494,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,3,rankcloak hex nibble
direct_subword_calgacus,flesch_reading_ease_heuristic,72,0,18,51.4440688819554,23.99825327026233,51.415302419354845,-29.125263157894693,121.22000000000004,46.29465837938068,56.15652496133133,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,4,direct subword calgacus
rankcloak_segmented_forced_span,flesch_reading_ease_heuristic,72,0,18,49.46738756085628,22.82855774886913,50.25900000000003,-26.650999999999986,87.40607142857144,41.733304117395846,55.46520600763881,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,5,rankcloak segmented forced span
rankcloak_segmented_full_message,flesch_reading_ease_heuristic,72,0,18,60.55183397501196,11.120005122918847,59.0358108036472,40.345,84.97083333333336,56.87366120147427,64.13567683133236,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,6,rankcloak segmented full message
ordinary_llm_control,surface_flag_total,72,0,18,1.4305555555555556,1.9343185930464817,1.0,0.0,14.0,1.0972222222222223,1.875,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,0,ordinary llm control
rankcloak_ascii_b8,surface_flag_total,72,0,18,3.0416666666666665,2.7033495133906187,2.0,1.0,17.0,2.4722222222222223,3.653124999999998,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,1,rankcloak ascii b8
rankcloak_ascii_b16,surface_flag_total,72,0,18,2.958333333333333,3.667280145008264,2.0,0.0,27.0,2.333333333333333,3.8333333333333335,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,2,rankcloak ascii b16
rankcloak_hex_nibble,surface_flag_total,72,0,18,2.513888888888889,2.489374917612489,2.0,0.0,17.0,1.9722222222222223,3.138888888888889,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,3,rankcloak hex nibble
direct_subword_calgacus,surface_flag_total,72,0,18,1.8611111111111112,1.0916527791827122,2.0,0.0,5.0,1.5972222222222223,2.125,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,4,direct subword calgacus
rankcloak_segmented_forced_span,surface_flag_total,72,0,18,2.7777777777777777,1.696908723982344,2.0,0.0,8.0,2.5,3.0836805555555538,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,5,rankcloak segmented forced span
rankcloak_segmented_full_message,surface_flag_total,72,0,18,3.5972222222222223,15.231231555934178,1.0,0.0,130.0,1.4444444444444444,7.569791666666665,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,6,rankcloak segmented full message
ordinary_llm_control,tfidf_prompt_similarity,72,0,18,0.0732725816609383,0.0487935308090742,0.0633739052259225,0.0,0.2287263265786567,0.0578533776991018,0.0894708223409761,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,0,ordinary llm control
rankcloak_ascii_b8,tfidf_prompt_similarity,72,0,18,0.0577248478689945,0.0337609711888137,0.0518698167667349,0.0,0.1333340113554009,0.0469801030064482,0.0683397564927559,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,1,rankcloak ascii b8
rankcloak_ascii_b16,tfidf_prompt_similarity,72,0,18,0.05564093760423,0.0301024273965555,0.0562259557719397,0.0,0.1416920649864956,0.0480490754186995,0.0637001602842698,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,2,rankcloak ascii b16
rankcloak_hex_nibble,tfidf_prompt_similarity,72,0,18,0.0355341804255569,0.0219968774536152,0.0352730218273892,0.0,0.1084711527170115,0.0312569708286069,0.0402894156657126,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,3,rankcloak hex nibble
direct_subword_calgacus,tfidf_prompt_similarity,72,0,18,0.0254596479698108,0.0203254162792625,0.0241305284358327,0.0,0.0870114233899683,0.0196804390661569,0.0310193591712934,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,4,direct subword calgacus
rankcloak_segmented_forced_span,tfidf_prompt_similarity,72,0,18,0.0375942542592301,0.0277247046224235,0.0339134967259512,0.0,0.1093667878290184,0.0312013269252091,0.0442499511689539,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,5,rankcloak segmented forced span
rankcloak_segmented_full_message,tfidf_prompt_similarity,72,0,18,0.0970555487056877,0.0537588786030212,0.0869246285163036,0.0057881478462456,0.2916777146115593,0.0800789767235666,0.1147198026596552,prompt_template_cluster_percentile_bootstrap,0.95,2000,selected_computational_stimulus_surface_diagnostic,False,6,rankcloak segmented full message
