preprocess_schema_version,input_run_identity_sha256,evidence_status,evidence_family,study_phase,record_type,trial_id,work_id,source_trial_id,source_record_sha256,transform_work_id,transformation_model_id,transformation_record_sha256,model_id,source_model_id,payload_name,payload_class,payload_split,prompt_id,prompt_category,language,protocol_variant,representation_name,codec_id,alphabet_size_B,segmented,segment_count,segment_size_ranks,token_filter,tail_policy,leadin_tokens,topic_schedule,ablation_factor,ablation_level,robustness_family,replay_mode,transformation_id,mitigation_id,protocol_contract_revision,result_schema_revision,exact_rank_replay,exact_payload_recovery,recovery_outcome_semantics,exact_recovery,H_bits,artifact_bit_length,serialized_payload_bits,effective_representation_bits_per_full_token,effective_artifact_bits_per_full_token,effective_serialized_bits_per_full_token,effective_payload_rate,forced_token_count,tail_token_count,full_token_count,mean_log_probability,unavailable_fields
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__da79d0ea197add26ebd4,revision_v1_primary_v2_payload_fidelity_v2__da79d0ea197add26ebd4,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-6.510126755071799,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__075594e5b1814e853c29,revision_v1_primary_v2_payload_fidelity_v2__075594e5b1814e853c29,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,nonseg_ascii_b8,ascii_b8,ascii_b8,8,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,2.9941520467836256,1.4970760233918128,2.9941520467836256,1.4970760233918128,171,0,171,-3.5205104613512157,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__0ad978f6852ad7159dda,revision_v1_primary_v2_payload_fidelity_v2__0ad978f6852ad7159dda,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.6665228670199133,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__3efb7664c703df83d34c,revision_v1_primary_v2_payload_fidelity_v2__3efb7664c703df83d34c,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,nonseg_hex_nibble_b16,hex_nibble,hex_nibble,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,256,256,512,4.0,4.0,8.0,4.0,64,0,64,-4.352708922705592,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,segmented_hex_single_topic,hex_nibble,hex_nibble,16,True,8,8,safe_text_filter_v1,dynamic_completion_v1,0,single_assigned_prompt,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,256,256,512,0.8677966101694915,0.8677966101694915,1.735593220338983,0.8677966101694915,64,231,295,-5.047313793391122,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,sha256_hex,train,casual_weekend_chat,casual_conversation,en,segmented_hex_multi_topic,hex_nibble,hex_nibble,16,True,8,8,safe_text_filter_v1,dynamic_completion_v1,0,deterministic_six_category_rotation,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,256,256,512,0.504930966469428,0.504930966469428,1.009861932938856,0.504930966469428,64,443,507,-4.942797395461099,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__5665e50ad285d25fb7db,revision_v1_primary_v2_payload_fidelity_v2__5665e50ad285d25fb7db,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,professional_project_update,professional_communication,en,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,,256,512,,7.314285714285714,14.628571428571428,7.314285714285714,35,0,35,-7.224622522408419,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__04179541b5603362e183,revision_v1_primary_v2_payload_fidelity_v2__04179541b5603362e183,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,professional_project_update,professional_communication,en,nonseg_ascii_b8,ascii_b8,ascii_b8,8,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,2.9941520467836256,1.4970760233918128,2.9941520467836256,1.4970760233918128,171,0,171,-3.190651021248566,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__d6f7f14e319ca84e8d37,revision_v1_primary_v2_payload_fidelity_v2__d6f7f14e319ca84e8d37,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,professional_project_update,professional_communication,en,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,512,256,512,4.0,2.0,4.0,2.0,128,0,128,-3.859700015990056,
2.0,b9bae0e21f3f26666914f20647966a4fe1997bc80b8a5cceb29ba8b681fc5606,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,confirmatory,primary_v2_confirmatory,rankcloak_trial,revision_v1_primary_v2_payload_fidelity_v2__9c8d3d232a9366a677cc,revision_v1_primary_v2_payload_fidelity_v2__9c8d3d232a9366a677cc,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,sha256_hex,train,professional_project_update,professional_communication,en,nonseg_hex_nibble_b16,hex_nibble,hex_nibble,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,payload_fidelity_v2,payload_aware_result_v2,1,1,original_serialized_payload_bytes_sha256_v1,1,256,256,512,4.0,4.0,8.0,4.0,64,0,64,-4.289031537538941,
