payload_name,payload_kind,payload_byte_length,payload_slice_description,encoding_name,alphabet_size,cover_prompt_name,rank_count,generated_token_count,generated_character_count,exact_recovery,generation_seconds,recovery_seconds,mean_generated_rank,median_generated_rank,p95_generated_rank,max_generated_rank,fraction_generated_rank_le_16,fraction_generated_rank_le_64,model_repo_id,model_filename,model_path_relative,notes,prompt_family,prompt_length_characters,prompt_length_tokens
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_blog,171,171,752,True,51.55131860698748,31.220872605990735,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,recipe_long_specific,171,171,781,True,38.9573256290023,36.824800895003136,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,biology_long_specific,171,171,831,True,38.604504960996564,36.386661101991194,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,biology,808,137
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,car_buying_long_specific,171,171,715,True,37.47984077100409,35.391461778999656,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,car_buying,642,111
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,8,forum_reply,171,171,908,True,34.31845280400012,32.1108806310076,3.8947368421052633,4.0,7.0,8,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,forum,126,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_blog,128,128,506,True,25.368259946000762,24.01683486699767,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_long_specific,128,128,630,True,30.55233994399896,28.684894068996073,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,biology_long_specific,128,128,593,True,29.878909508988727,27.983231240999885,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,biology,808,137
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,car_buying_long_specific,128,128,522,True,28.439662667005905,27.575724308000645,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,car_buying,642,111
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,forum_reply,128,128,622,True,25.791912143991794,24.801932624992332,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,forum,126,24
