report_status,source_artifact,source_sha256,boundary_end_offset,boundary_start_offset,context_sha256,divergence_fields_availability,evidence_status,execution_error_message,execution_error_type,expected_rank,expected_rank_length,expected_token_id,expected_token_length,failure_category,failure_id,first_differing_position,input_run_identity_sha256,model_id,payload_class,payload_name,preprocess_schema_version,protocol_variant,record_type,recovered_rank,recovered_rank_length,recovered_token_id,recovered_token_length,replay_mode,robustness_family,segment_index,source_model_id,source_trial_id,study_phase,transformation_id,trial_id,work_id
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,8,0,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,15,8,220,8,detokenized_text_retokenization,failure__4fa08956ec0c55b1ee9258da,3,8983e220c50ab516441dd1956b4ef9614e3e19d1f05751b7c7710309153e5205,llama3_8b_instruct_q4_k_m,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_009,2.0,segmented_hex_multi_topic,rankcloak_trial,8,8,14852,8,detokenized_text_retokenized,,1,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,73,0,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,123,73,17760,73,detokenized_text_retokenization,failure__d2a13bb12cd64fb1b503bbe1,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,ed25519_signature_base64,revision_v1_ed25519_signature_base64_015,2.0,direct_subword_calgacus,rankcloak_trial,29,73,29473,73,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__79313d567cab6c769ae2,revision_v1_smoke_v3_payload_fidelity_v2__79313d567cab6c769ae2
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,96,0,1dcb6be56e563467d78a0fbe87351d0fa7de2f0fdc2977c1a3fa5dd057dd3f77,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,4,96,26326,96,detokenized_text_retokenization,failure__905033d227fa658c7068a85e,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,uuid_v4,revision_v1_uuid_v4_013,2.0,nonseg_ascii_b8,rankcloak_trial,66,96,29473,96,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,128,0,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,7,128,1328,128,detokenized_text_retokenization,failure__8b32ce6e0af2bd4133bac96a,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,aes256_gcm_base64,revision_v1_aes256_gcm_base64_007,2.0,nonseg_ascii_b16,rankcloak_trial,30,128,29473,128,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,24,0,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,15,24,4771,24,detokenized_text_retokenization,failure__b90e3ea04d51fabb5b508c93,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_011,2.0,nonseg_hex_nibble_b16,rankcloak_trial,27,24,29473,24,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,8,0,7ccb3b3a7e3bddb2735db4229a5f745117c88468c751e81bbea9549a2003738c,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,5,8,1093,8,detokenized_text_retokenization,failure__db65e188f2b9c653c24e189b,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,token_128_bit_hex,revision_v1_token_128_bit_hex_005,2.0,segmented_hex_single_topic,rankcloak_trial,28,8,29473,8,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,8,0,3affc34964e1720076d7df712bbb987ebd62ccebd749187a7f07bc2dddd5be67,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,6,8,1815,8,detokenized_text_retokenization,failure__0f05e99acc139ed61d83ed79,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,sha256_hex,revision_v1_sha256_hex_003,2.0,segmented_hex_multi_topic,rankcloak_trial,16,8,29473,8,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,8,0,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,4,8,1083,8,detokenized_text_retokenization,failure__1b0cf59838450b4f0f0461b1,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_008,2.0,segmented_hex_multi_topic,rankcloak_trial,29,8,29473,8,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,16,8,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,8,8,1163,8,detokenized_text_retokenization,failure__d58ecdff3f458776c45d3c6f,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,sha256_hex,revision_v1_sha256_hex_000,2.0,segmented_hex_multi_topic,rankcloak_trial,1,8,1401,8,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf
available,runtime.failures/preprocess.unavailable,29996263e32fd24a6d2ec1e543cb40f321dc0ede2e1e2521c4df19dfe0942e98,8,0,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,recorded,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,,,15,8,4771,8,detokenized_text_retokenization,failure__0105148367bd806f0a68bf2a,0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,mistral_7b_instruct_v0_3_q4_k_m,token_128_bit_hex,revision_v1_token_128_bit_hex_004,2.0,segmented_hex_multi_topic,rankcloak_trial,27,8,29473,8,detokenized_text_retokenized,,0,,,smoke_v3_exploratory,unmodified,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb
