payload_name,payload_class,representation_name,rank_count,mean_rank,median_rank,p95_rank,max_rank,fraction_rank_le_8,fraction_rank_le_16,fraction_rank_le_64,model_repo_id,model_filename,model_path_relative,notes
paper_sha256_hex_000,sha256_hex,raw_subword_rank_pressure,40,2019.975,10.5,814.6499999999969,75344,0.45,0.575,0.775,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_sha256_hex_001,sha256_hex,raw_subword_rank_pressure,39,160.71794871794873,26.0,814.9000000000001,1318,0.3333333333333333,0.46153846153846156,0.6666666666666666,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_000,random_128_bit_hex,raw_subword_rank_pressure,18,242.38888888888889,80.0,1079.9999999999995,1335,0.3333333333333333,0.3333333333333333,0.5,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_001,random_128_bit_hex,raw_subword_rank_pressure,20,4743.75,36.0,5129.850000000066,93116,0.3,0.4,0.55,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_000,random_256_bit_hex,raw_subword_rank_pressure,38,551.921052631579,32.0,989.55,16522,0.3684210526315789,0.39473684210526316,0.6578947368421053,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_001,random_256_bit_hex,raw_subword_rank_pressure,37,292.5405405405405,36.0,730.3999999999972,6202,0.32432432432432434,0.40540540540540543,0.6216216216216216,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_000,nonce_96_bit_hex,raw_subword_rank_pressure,15,6570.533333333334,31.0,30143.299999999905,93116,0.4,0.4666666666666667,0.6666666666666666,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_001,nonce_96_bit_hex,raw_subword_rank_pressure,13,931.6153846153846,64.0,4074.7999999999893,8561,0.23076923076923078,0.23076923076923078,0.5384615384615384,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_000,uuid_v4_like,raw_subword_rank_pressure,24,88.66666666666667,11.5,237.49999999999997,1022,0.4166666666666667,0.5833333333333334,0.75,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_001,uuid_v4_like,raw_subword_rank_pressure,27,84.81481481481481,10.0,618.5999999999996,843,0.4074074074074074,0.6666666666666666,0.8518518518518519,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_ciphertext_like_base64_000,ciphertext_like_base64,raw_subword_rank_pressure,53,496.3207547169811,22.0,1163.3999999999999,16706,0.20754716981132076,0.37735849056603776,0.7547169811320755,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_ciphertext_like_base64_001,ciphertext_like_base64,raw_subword_rank_pressure,47,778.7234042553191,36.0,5117.499999999976,11953,0.1702127659574468,0.3404255319148936,0.6382978723404256,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
