payload_name,payload_kind,payload_byte_length,payload_slice_description,encoding_name,alphabet_size,cover_prompt_name,rank_count,generated_token_count,generated_character_count,exact_recovery,generation_seconds,recovery_seconds,mean_generated_rank,median_generated_rank,p95_generated_rank,max_generated_rank,fraction_generated_rank_le_16,fraction_generated_rank_le_64,model_repo_id,model_filename,model_path_relative,notes,prompt_family,prompt_length_characters,prompt_length_tokens
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_blog,128,128,506,True,39.675963764006156,37.933265607003705,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,recipe_long_specific,128,128,630,True,45.313968155009206,44.657750568992924,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,biology_long_specific,128,128,593,True,62.01079223099805,72.82556258200202,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,biology,808,137
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,16,car_buying_long_specific,128,128,522,True,61.77257833699696,57.25830956400023,4.96875,4.0,8.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,car_buying,642,111
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,32,recipe_blog,103,103,465,True,44.709487660002196,43.04124295299698,14.019417475728156,13.0,26.89999999999999,29,0.5922330097087378,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,32,recipe_long_specific,103,103,337,True,51.56356418300129,50.449706006998895,14.019417475728156,13.0,26.89999999999999,29,0.5922330097087378,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,32,biology_long_specific,103,103,401,True,51.124649202,56.08860590100812,14.019417475728156,13.0,26.89999999999999,29,0.5922330097087378,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,biology,808,137
sha256_public_test_string,sha256_hex,64,full payload,fixed_radix_bits,32,car_buying_long_specific,103,103,364,True,52.212835380007164,48.756561147994944,14.019417475728156,13.0,26.89999999999999,29,0.5922330097087378,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,car_buying,642,111
random_128_bit_hex,random_hex,32,full payload,fixed_radix_bits,16,recipe_blog,64,64,274,True,29.404059255000902,37.47412535198964,4.6875,4.0,7.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,136,24
random_128_bit_hex,random_hex,32,full payload,fixed_radix_bits,16,recipe_long_specific,64,64,265,True,78.3574114600051,91.59759786700306,4.6875,4.0,7.0,10,1.0,1.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,exact-copy bounded-rank recovery,recipe,836,160
