trial_id,model_id,protocol_variant,payload_name,representation_name,H_bits,alphabet_size_B,theoretical_n_B,observed_n_forced,observed_n_tail,R_B_bits_per_forced_token,observed_rate_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,rate_upper_bound_bits_per_forced_token,code_space_slack_bits,literal_padding_bits
revision_v1_primary_v2_payload_fidelity_v2__075594e5b1814e853c29,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_000,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__0ad978f6852ad7159dda,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_000,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__3efb7664c703df83d34c,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_000,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_000,hex_nibble,256.0,16,64,64,231,4.0,4.0,0.8677966101694915,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_000,hex_nibble,256.0,16,64,64,443,4.0,4.0,0.504930966469428,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__04179541b5603362e183,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_001,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__d6f7f14e319ca84e8d37,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_001,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__9c8d3d232a9366a677cc,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_001,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_001,hex_nibble,256.0,16,64,64,164,4.0,4.0,1.1228070175438596,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_001,hex_nibble,256.0,16,64,64,392,4.0,4.0,0.5614035087719298,4.0,0.0,0
