evidence_domain,source_stage,study_phase,language,model_id,protocol_variant,representation_name,alphabet_size_B,segmented,tail_policy,token_filter,leadin_tokens,topic_schedule,outcome,group_record_count,n,missing_n,payload_units,mean,standard_deviation,median,minimum,maximum,ci_low,ci_high,confidence_level,interval_method,bootstrap_resamples,bootstrap_seed
capacity_residual,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,forced_position_residual_tokens,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_tail_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,tail_overhead_tokens,48,48,0,48,342.3125,246.43363926994584,323.0,37.0,1099.0,275.04114583333336,416.16875,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_total_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,cover_length_residual_tokens,48,48,0,48,342.3125,246.43363926994584,323.0,37.0,1099.0,275.0703125,415.4406249999999,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,observed_rate_bits_per_forced_token,48,48,0,48,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_effective_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,R_effective_bits_per_forced_plus_tail_token,48,48,0,48,0.6781902365335202,0.40176429157085525,0.5601857837151956,0.21993127147766323,1.5737704918032787,0.570832746790059,0.7934709169848969,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,code_space_utilization,48,48,0,48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,unused_codeword_fraction,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_surprisal,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,Q_B_nats_per_forced_token,48,48,0,48,4.740643722574468,0.3669752484622233,4.798454429600644,4.007599723757024,5.687726376004874,4.634654440576055,4.84631847141097,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_greedy_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,Q_greedy_nats_per_forced_token,48,48,0,48,1.053717026745832,0.12519352239019543,1.0432693333364913,0.7261340638381474,1.3895761124926955,1.019218036373674,1.0902035329620716,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_rank_B_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,Q_rank_B_nats_per_forced_token,48,48,0,48,6.266542149242152,0.30481955365737373,6.245843195882706,5.562992823541876,6.88642027999935,6.1814489662469185,6.352112574193141,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
