source_stage,study_phase,language,model_id,protocol_variant,representation_name,alphabet_size_B,segmented,tail_policy,token_filter,leadin_tokens,topic_schedule,trial_id,payload_name,payload_class,H_bits,theoretical_n_B,observed_n_forced,observed_n_tail,forced_position_residual_tokens,cover_length_residual_tokens,observed_rate_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,Q_B_nats_per_forced_token,Delta_B_nats_per_forced_token
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__075594e5b1814e853c29,revision_v1_sha256_hex_000,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.5205104613512153,2.513709943894057
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__0ad978f6852ad7159dda,revision_v1_sha256_hex_000,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.666522867019912,2.535621091723442
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__3efb7664c703df83d34c,revision_v1_sha256_hex_000,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.352708922705591,3.0519899278879166
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,256.0,64.0,64.0,231.0,0.0,231.0,4.0,0.8677966101694915,5.0473137933911225,3.9192920178174973
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,256.0,64.0,64.0,443.0,0.0,443.0,4.0,0.504930966469428,4.9427973954611,3.8807558566331863
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__04179541b5603362e183,revision_v1_sha256_hex_001,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.190651021248565,1.9994413699322975
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__d6f7f14e319ca84e8d37,revision_v1_sha256_hex_001,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.8597000159900547,2.797566704452038
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__9c8d3d232a9366a677cc,revision_v1_sha256_hex_001,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.289031537538941,3.1164425164461136
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf,revision_v1_sha256_hex_001,sha256_hex,256.0,64.0,64.0,164.0,0.0,164.0,4.0,1.1228070175438596,4.86557442610176,3.8991002440452576
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,revision_v1_sha256_hex_001,sha256_hex,256.0,64.0,64.0,392.0,0.0,392.0,4.0,0.5614035087719298,4.598288230512299,3.5095155984163284
