evaluation_id,source_work_id,generator_model_id,evaluator_model_id,source_record_type,protocol_variant,text_view,text_sha256_evaluator,text_sha256_statistics,text_sha256_exact,source_type_exact,confirmatory_pooling_eligible
heldout_eval_smoke_v3_payload_fidelity_v2__bd98165d1f15a96145661343,revision_v1_smoke_v3_payload_fidelity_v2__056b300c7d6bf037631f,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_multi_topic,full_message,efd9494178c63e7709878f95f6be751636e1261a361cd48b247c63a2c7310464,efd9494178c63e7709878f95f6be751636e1261a361cd48b247c63a2c7310464,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__ef460aae9c5b099a0b3f24df,revision_v1_smoke_v3_payload_fidelity_v2__1bc710bbad6be52ecb6a,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_forced_span,forced_span,d7bd44691bd1357f41cdfaf65593ca31cf4800c234e38bb7b9e197089ab38f42,d7bd44691bd1357f41cdfaf65593ca31cf4800c234e38bb7b9e197089ab38f42,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__8b010076b048a5021412d573,revision_v1_smoke_v3_payload_fidelity_v2__1d992abe957ac67c59eb,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,ad171cff898dcde6a7bf5d078dc9e7503c8923e4254118c354deee0ec48a6726,ad171cff898dcde6a7bf5d078dc9e7503c8923e4254118c354deee0ec48a6726,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__1a9b480d985a698b059b5ef3,revision_v1_smoke_v3_payload_fidelity_v2__27ccefb0d41aeb4dedaf,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,2cc66224fad81113bb83dfc826ff2d37d21eb3115d56ce7529b6206bb135d21a,2cc66224fad81113bb83dfc826ff2d37d21eb3115d56ce7529b6206bb135d21a,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__a2bb4ee3ebcf6f913c1c6d76,revision_v1_smoke_v3_payload_fidelity_v2__286398aa2c48d56666b2,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_forced_span,forced_span,72229b9a1c2b7a84251b964a2c80d878b2d8b79ad85ac7fa45436f3ab05cc8a5,72229b9a1c2b7a84251b964a2c80d878b2d8b79ad85ac7fa45436f3ab05cc8a5,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__3155310db667689b4d18c67a,revision_v1_smoke_v3_payload_fidelity_v2__292a2628733d92e8f954,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_forced_span,forced_span,fe35679c9d4bdc33eb14bf04cf58628e730596ebe4399f89ea8eba16e2732e17,fe35679c9d4bdc33eb14bf04cf58628e730596ebe4399f89ea8eba16e2732e17,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__29e066fb8cfacf0a786e7521,revision_v1_smoke_v3_payload_fidelity_v2__3f2591820e38b3c65f58,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,39c868df2a459cdb864c4e12224a2c479c87362f99550fb7258f9e7c93f94f7e,39c868df2a459cdb864c4e12224a2c479c87362f99550fb7258f9e7c93f94f7e,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__6d2757280745ac27f5476350,revision_v1_smoke_v3_payload_fidelity_v2__4a1fc097919070567cf8,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,50dcb8ec1c7388a93c8578caf2308a7e1f9d007f0c81697c1a844f61c61b2ba6,50dcb8ec1c7388a93c8578caf2308a7e1f9d007f0c81697c1a844f61c61b2ba6,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__81f624e7a5a2d4c348af3014,revision_v1_smoke_v3_payload_fidelity_v2__4b35f7465045be7c88e1,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,fa2ef33bda419cfad22d5590a58c9822562af5eb11e25eff842ab9ac7cbb28f5,fa2ef33bda419cfad22d5590a58c9822562af5eb11e25eff842ab9ac7cbb28f5,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__f8d3d1e74a59e68b93e1eac7,revision_v1_smoke_v3_payload_fidelity_v2__4b562d96a8eddb976781,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,b5ccd1af99a0693b69b1e457f24a8c6fad88f90bba6742e3beda4e863bc9fe8d,b5ccd1af99a0693b69b1e457f24a8c6fad88f90bba6742e3beda4e863bc9fe8d,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__8ba970e675390b63e3ae39bd,revision_v1_smoke_v3_payload_fidelity_v2__4be2b9486882e2972e7d,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_single_topic,full_message,7f77c27124dc6e6e7d975f18c05c189924ac989a4e14d61c8608aeed0ddbe87e,7f77c27124dc6e6e7d975f18c05c189924ac989a4e14d61c8608aeed0ddbe87e,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__5f3af69a587c5d490b39b149,revision_v1_smoke_v3_payload_fidelity_v2__561e8276b841184fbf17,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,direct_subword_calgacus,full_message,41bed0be17506e42e4418d791f93ea0848226f2c262df525fb2b244f6fa1cf8e,41bed0be17506e42e4418d791f93ea0848226f2c262df525fb2b244f6fa1cf8e,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__78a4929177ed540b58cb76c0,revision_v1_smoke_v3_payload_fidelity_v2__5ae7fc0932404d21420d,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_multi_topic,full_message,9e9bff2309cfcfd10c1c12ac2839cc09867dd8edd06a3e87cafaed0d3470c87f,9e9bff2309cfcfd10c1c12ac2839cc09867dd8edd06a3e87cafaed0d3470c87f,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__8cb8ebb9bcc59b3ff4ff6936,revision_v1_smoke_v3_payload_fidelity_v2__6579f5dcc2be8fad0849,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_forced_span,forced_span,f3eb6298782d9b3cd8176d091b2175484d2b96ffac5278119be36901e2ee40ee,f3eb6298782d9b3cd8176d091b2175484d2b96ffac5278119be36901e2ee40ee,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__8b51c489676fdc660d7f248c,revision_v1_smoke_v3_payload_fidelity_v2__69b812e3f3ede62d233c,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,72ad6bf1ecf5f8cf32a5ebd86023a028b21121a34d96d443d440d8c4bf2fff54,72ad6bf1ecf5f8cf32a5ebd86023a028b21121a34d96d443d440d8c4bf2fff54,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__3f6cc8937a6d69a08f44728f,revision_v1_smoke_v3_payload_fidelity_v2__6b3d576ef3dd8b206c3c,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_multi_topic,full_message,206ecd14614ff6834cff33f343f509a5bbeadc88918c11273ddefa218177f98e,206ecd14614ff6834cff33f343f509a5bbeadc88918c11273ddefa218177f98e,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__c1526e417264e89c67756906,revision_v1_smoke_v3_payload_fidelity_v2__707a25bae4837ced0fac,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,nonseg_ascii_b16,full_message,fa872f8ce84800126455f12df2256fee13c27028c62fa65b1b2e770d920ead30,fa872f8ce84800126455f12df2256fee13c27028c62fa65b1b2e770d920ead30,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__9c4c9bb268930200fb27238b,revision_v1_smoke_v3_payload_fidelity_v2__9495b17b70eded3a7e5a,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,2331f1f8b44682f6f32d1123796fe656aa75e53f41079068fbab2d2dd5acde3d,2331f1f8b44682f6f32d1123796fe656aa75e53f41079068fbab2d2dd5acde3d,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__c6780466929c36a17a6455da,revision_v1_smoke_v3_payload_fidelity_v2__a051885ef6aaadf5e5b9,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_forced_span,forced_span,54eb54f0acacaa6329b69c19c9ce03f6eb837528e44d7e79b8eeab71cc8c7eb0,54eb54f0acacaa6329b69c19c9ce03f6eb837528e44d7e79b8eeab71cc8c7eb0,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__5efbc31aac268dc41507ee50,revision_v1_smoke_v3_payload_fidelity_v2__a2b08335891aefb13c6d,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_multi_topic,full_message,c30bb4fc59ea8e12c321b036c69b68e34a981b948b38925f18c8719633c27024,c30bb4fc59ea8e12c321b036c69b68e34a981b948b38925f18c8719633c27024,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__88ccecfef2631da371d0430f,revision_v1_smoke_v3_payload_fidelity_v2__a5cdc0507828879cd894,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,841f87b877e5f0f51f0a22eab493efc5821722ce3aecabc88536e50993f31396,841f87b877e5f0f51f0a22eab493efc5821722ce3aecabc88536e50993f31396,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__d48c511ebb291a7b8d454953,revision_v1_smoke_v3_payload_fidelity_v2__a944fb5fd31d22765a6f,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,ordinary_control,ordinary_llm_control_full_message,full_message,c9a74ff1e730cde558a50502b6dd8e9b18156be6185ac86db4e34980633bee1a,c9a74ff1e730cde558a50502b6dd8e9b18156be6185ac86db4e34980633bee1a,True,True,False
heldout_eval_smoke_v3_payload_fidelity_v2__1d16a6c78630cc0ced663866,revision_v1_smoke_v3_payload_fidelity_v2__b2da5f662c97e99a5c9d,llama3_8b_instruct_q4_k_m,qwen2_5_7b_instruct_q4_k_m,rankcloak_trial,segmented_hex_multi_topic,full_message,155e0ce11eaaa9eb037038cb1fa723b8ea3f40f7eedf472fa617d17fa9d2ed8e,155e0ce11eaaa9eb037038cb1fa723b8ea3f40f7eedf472fa617d17fa9d2ed8e,True,True,False
