model_id,protocol_variant,n_payload_trials,total_execution_seconds,mean_execution_seconds,mean_generation_seconds,mean_encoding_seconds,mean_decoding_seconds,mean_generation_tokens_per_second,mean_payload_bits_per_second,mean_cover_tokens_per_payload_byte
llama3_8b_instruct_q4_k_m,direct_subword_calgacus,1,15.972331946002669,15.972331946002669,3.098285764004686,4.442728326001088,3.69155106600374,19.365547457587343,115.24449897229088,0.6818181818181818
llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,1,17.76415772199107,17.76415772199107,7.510334560996853,7.510444962012116,3.254283677015337,17.04318215925263,51.12879489061896,2.0
llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,1,13.783306969999105,13.783306969999105,5.6848123489908176,5.684966697008349,2.5446312580024824,16.887100946620016,22.51552327779837,2.6666666666666665
llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,1,10.386132690997329,10.386132690997329,4.011028993001673,4.011071571003413,1.9404641519940924,15.956005332214088,63.82334382927972,1.0
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,7,157.9987224730139,22.571246067573416,10.05079170285275,10.333411010566383,3.233828401995457,20.47506373063729,17.604373202682122,6.258184523809524
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,1,32.11232549000124,32.11232549000124,11.76141504001862,12.93448085502314,5.152571385959163,17.940018210569498,19.79205836472221,3.296875
mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,1,14.842036065994762,14.842036065994762,2.2632899029995315,3.762183660990559,3.5429718119994504,32.253932606359136,136.09117633167162,0.8295454545454546
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,1,13.692243161989609,13.692243161989609,3.964778800000204,3.964887677007937,3.063633111989475,32.284272706460555,96.85015851187536,2.0
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,1,10.778610042005312,10.778610042005312,3.0664269139961107,3.066802245011786,2.415009033007664,31.30679539819672,41.73728521563283,2.6666666666666665
mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,1,4.532426738005597,4.532426738005597,1.128714279999258,1.1287493540003195,0.9749139659979846,21.263131356870737,85.04988256230072,1.0
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,6,127.15325133199804,21.192208555333007,7.900682029988578,7.900889307995385,3.509994848667702,27.854037107535675,25.495972573233484,5.519097222222222
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,1,15.50871280299907,15.50871280299907,5.386364332007361,5.747249090010882,2.5987155540060485,27.29113571588219,22.27152468865024,4.59375
qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,1,17.801348481007153,17.801348481007153,3.625183844997082,5.052745535984286,4.073530560999643,18.20597322011213,101.33104791319384,0.75
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,1,17.993958189006662,17.993958189006662,8.329437920998316,8.329704782008776,3.102488117001485,15.36718338188403,46.100073177790975,2.0
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,1,13.94969392400526,13.94969392400526,6.442667249008082,6.442786633022479,2.380533452000236,14.90066090481085,19.86717972995357,2.6666666666666665
qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,1,6.595482042001095,6.595482042001095,2.540196410001954,2.5402351819939213,1.183605294994777,12.597451076617885,50.38903519930317,1.0
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,7,165.30901011099922,23.615572872999888,11.591600232583005,12.123208344731081,3.0279315038580017,20.32960387925684,14.977720126243158,7.729910714285714
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,1,39.115661824005656,39.115661824005656,19.983787523029605,21.366798104034388,4.777249521022895,22.21801044913673,11.981205548605956,6.9375
