model_id,protocol_variant,replay_mode,n_payloads,exact_rank_successes,exact_payload_successes,exact_rank_rate,exact_payload_rate,evidence_status,confirmatory_pooling_eligible
llama3_8b_instruct_q4_k_m,direct_subword_calgacus,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,direct_subword_calgacus,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,direct_subword_calgacus,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,detokenized_text_retokenized,7,6,6,0.8571428571428571,0.8571428571428571,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,greedy_leadin_regeneration,7,7,7,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,saved_token_ids,7,7,7,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,detokenized_text_retokenized,6,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,greedy_leadin_regeneration,6,6,6,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,saved_token_ids,6,6,6,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,detokenized_text_retokenized,1,0,0,0.0,0.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,saved_token_ids,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,detokenized_text_retokenized,7,7,7,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,greedy_leadin_regeneration,7,7,7,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,saved_token_ids,7,7,7,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,detokenized_text_retokenized,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,greedy_leadin_regeneration,1,1,1,1.0,1.0,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,False
