preprocess_schema_version,input_run_identity_sha256,failure_id,trial_id,work_id,source_trial_id,record_type,evidence_status,study_phase,model_id,source_model_id,payload_name,payload_class,protocol_variant,robustness_family,replay_mode,transformation_id,segment_index,failure_category,first_differing_position,expected_token_id,recovered_token_id,expected_rank,recovered_rank,context_sha256,boundary_start_offset,boundary_end_offset,expected_token_length,recovered_token_length,expected_rank_length,recovered_rank_length,execution_error_type,execution_error_message,divergence_fields_availability
2.0,8983e220c50ab516441dd1956b4ef9614e3e19d1f05751b7c7710309153e5205,failure__4fa08956ec0c55b1ee9258da,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,llama3_8b_instruct_q4_k_m,,revision_v1_nonce_96_bit_hex_009,nonce_96_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,1,detokenized_text_retokenization,3,220,14852,15,8,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,8,8,8,8,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__d2a13bb12cd64fb1b503bbe1,revision_v1_smoke_v3_payload_fidelity_v2__79313d567cab6c769ae2,revision_v1_smoke_v3_payload_fidelity_v2__79313d567cab6c769ae2,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_ed25519_signature_base64_015,ed25519_signature_base64,direct_subword_calgacus,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,17760,29473,123,29,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,0,73,73,73,73,73,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__905033d227fa658c7068a85e,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_uuid_v4_013,uuid_v4,nonseg_ascii_b8,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,26326,29473,4,66,1dcb6be56e563467d78a0fbe87351d0fa7de2f0fdc2977c1a3fa5dd057dd3f77,0,96,96,96,96,96,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__8b32ce6e0af2bd4133bac96a,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_aes256_gcm_base64_007,aes256_gcm_base64,nonseg_ascii_b16,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1328,29473,7,30,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,0,128,128,128,128,128,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__b90e3ea04d51fabb5b508c93,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_nonce_96_bit_hex_011,nonce_96_bit_hex,nonseg_hex_nibble_b16,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,4771,29473,15,27,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,0,24,24,24,24,24,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__db65e188f2b9c653c24e189b,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_token_128_bit_hex_005,token_128_bit_hex,segmented_hex_single_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1093,29473,5,28,7ccb3b3a7e3bddb2735db4229a5f745117c88468c751e81bbea9549a2003738c,0,8,8,8,8,8,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__0f05e99acc139ed61d83ed79,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_sha256_hex_003,sha256_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1815,29473,6,16,3affc34964e1720076d7df712bbb987ebd62ccebd749187a7f07bc2dddd5be67,0,8,8,8,8,8,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__1b0cf59838450b4f0f0461b1,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_nonce_96_bit_hex_008,nonce_96_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1083,29473,4,29,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,0,8,8,8,8,8,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__d58ecdff3f458776c45d3c6f,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_sha256_hex_000,sha256_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1163,1401,8,1,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,8,16,8,8,8,8,,,recorded
2.0,9c3682061f29e82419b131ac8c4e15906c779fa4c8c5f767719ce3968e384a51,failure__0105148367bd806f0a68bf2a,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb,,rankcloak_trial,exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,smoke_v3_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_token_128_bit_hex_004,token_128_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,4771,29473,15,27,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,0,8,8,8,8,8,,,recorded
