source_stage,runtime_scope,model_id,protocol_variant,hardware_id,language,payload_class,artifact_bit_length,alphabet_size_B,segmented,segment_size_ranks,token_filter,tail_policy,leadin_tokens,topic_schedule,ablation_factor,ablation_level,robustness_family,replay_mode,transformation_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,4.0,safe_text_filter_v1,dynamic_completion_v1,0.0,deterministic_six_category_rotation,segment_size_ranks,4,,saved_token_ids,unmodified,generation_seconds,payload,35.905823024989026,9.095345429572825,35.41975432744948,12,2000,31.069761141415377,40.833771513533065,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,none,dynamic_completion_v1,0.0,deterministic_six_category_rotation,token_filter,none,,saved_token_ids,unmodified,generation_seconds,payload,20.156660234325198,5.312817276855246,19.87407970651111,12,2000,17.327020646065527,23.09788753944746,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,roundtrip_stable_filter_v1,dynamic_completion_v1,0.0,deterministic_six_category_rotation,token_filter,roundtrip_stable_filter_v1,,saved_token_ids,unmodified,generation_seconds,payload,20.457888142079657,5.531562004019215,20.861021700504352,12,2000,17.47111614025865,23.40835047964738,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,dynamic_completion_v1,2.0,deterministic_six_category_rotation,leadin_tokens,2,,saved_token_ids,unmodified,generation_seconds,payload,18.956178898176102,5.845311029025759,18.243282232506317,12,2000,15.920561179309093,22.303674917356997,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,dynamic_completion_v1,4.0,deterministic_six_category_rotation,leadin_tokens,4,,saved_token_ids,unmodified,generation_seconds,payload,23.586771860485896,8.307025051335412,21.827376220971928,12,2000,19.6901419152054,28.436177082871712,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,dynamic_completion_v1,8.0,deterministic_six_category_rotation,leadin_tokens,8,,saved_token_ids,unmodified,generation_seconds,payload,20.36353134791716,7.232218241824848,17.46380418248009,12,2000,16.891013551094996,24.451660901606555,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,dynamic_completion_v1,16.0,deterministic_six_category_rotation,leadin_tokens,16,,saved_token_ids,unmodified,generation_seconds,payload,24.934952716406162,6.559663698057823,23.910116821003612,12,2000,21.471558661618538,28.487369673164114,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,dynamic_completion_v1,32.0,deterministic_six_category_rotation,leadin_tokens,32,,saved_token_ids,unmodified,generation_seconds,payload,25.709130616235296,4.054957337608111,27.07489822548814,12,2000,23.478220153518304,27.761559691086948,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,none,0.0,deterministic_six_category_rotation,tail_policy,none,,saved_token_ids,unmodified,generation_seconds,payload,7.260161978575828,0.1780439433391928,7.194479770027101,12,2000,7.1693193201025975,7.361896652842128,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,en,hmac_sha256_hex,256.0,16.0,True,8.0,safe_text_filter_v1,sentence_tail_min20_max60,0.0,deterministic_six_category_rotation,tail_policy,sentence_tail_min20_max60,,saved_token_ids,unmodified,generation_seconds,payload,15.970990179999111,0.7171441931934549,16.02849760495883,12,2000,15.560573406052088,16.35645184963414,2000,0.95
