source_stage,runtime_scope,record_type,evidence_status,row_count,trial_metadata_matched_rows,payload_units,model_load_seconds_recorded_rows,representation_seconds_recorded_rows,filter_setup_seconds_recorded_rows,generation_seconds_recorded_rows,encoding_seconds_recorded_rows,recovery_seconds_recorded_rows,decoding_seconds_recorded_rows,execution_seconds_recorded_rows,generation_tokens_per_second_recorded_rows,encoding_tokens_per_second_recorded_rows,decoding_tokens_per_second_recorded_rows,representation_bits_per_second_recorded_rows,payload_bits_per_second_recorded_rows,serialized_bits_per_second_recorded_rows,cover_tokens_per_payload_byte_recorded_rows,peak_ram_mib_recorded_rows,peak_gpu_memory_mib_recorded_rows
ablation_v2,condition_unavailable_no_execution,condition_unavailable,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ablation_v2,model_load_session,model_load_event,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ablation_v2,model_shard_memory_profile,memory_profile_event,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ablation_v2,reference_no_execution,canonical_primary_reference,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,144,144,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ablation_v2,trial,rankcloak_trial,confirmatory_ablation_v2_payload_fidelity_after_manifest_freeze,1680,1680,48,0,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,0
multilingual_v2,model_load_session,model_load_event,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multilingual_v2,model_shard_memory_profile,memory_profile_event,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
multilingual_v2,ordinary_control_generation,ordinary_control,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,576,0,48,0,0,0,576,0,0,0,576,576,0,0,0,0,0,0,0,0
multilingual_v2,trial,rankcloak_trial,secondary_supplementary_multilingual_v2_payload_fidelity_after_manifest_freeze,576,576,48,0,576,576,576,576,576,576,576,576,576,576,288,576,576,576,576,0
primary_v2,model_load_session,model_load_event,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
primary_v2,model_shard_memory_profile,memory_profile_event,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
primary_v2,ordinary_control_generation,ordinary_control,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,7920,0,480,0,0,0,7920,0,0,0,7920,7920,0,0,0,0,0,0,0,0
primary_v2,trial,rankcloak_trial,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,6480,6480,480,0,6480,6480,6480,6480,6480,6480,6480,6480,6480,6480,5040,6480,6480,6480,6480,0
robustness_v2,dependent_unavailable_no_execution,dependent_unavailable,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,336,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robustness_v2,model_load_session,model_load_event,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robustness_v2,model_shard_memory_profile,memory_profile_event,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
robustness_v2,reference_no_execution,robustness_reference,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,384,384,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robustness_v2,robustness_decode,robustness_decode,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,2880,2880,48,0,0,0,0,0,2880,2880,2880,0,0,0,0,0,0,0,0,0
robustness_v2,robustness_transform_generation,robustness_transform,confirmatory_supporting_robustness_v2_payload_fidelity_after_manifest_freeze,144,0,48,0,0,0,144,0,0,0,144,144,0,0,0,0,0,0,0,0
