source_stage,model_id,hardware_id,hardware_hash,session_index,peak_ram_mib,peak_gpu_memory_mib,peak_ram_availability,peak_gpu_memory_availability
ablation_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5040.92578125,5279.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
ablation_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4458.34765625,4973.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
ablation_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4800.34375,4757.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
multilingual_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5040.42578125,5279.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
multilingual_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4457.87890625,4973.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
multilingual_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4799.84765625,4757.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
primary_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5056.3671875,5279.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
primary_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4472.609375,4973.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
primary_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,4813.32421875,4757.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
robustness_v2,llama3_8b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5582.59375,5279.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
robustness_v2,mistral_7b_instruct_v0_3_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5020.77734375,4973.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
robustness_v2,qwen2_5_7b_instruct_q4_k_m,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,3f59f33f69daa2d5d71531968a409162229266db785361637834e166a903522a,0.0,5343.4375,4757.0,recorded_os_high_water_and_sampled_current_rss,total selected-device memory.used; includes any co-tenant processes; one-second polling is not a kernel-exact peak
