plan,contrast,metric,model,effect,ci_low,ci_high
pilot_initial,pilot_ordinary minus pilot_shuffled,context_gain,all,2.2200350920682435,1.778380661719148,2.6776725081876016
pilot_initial,pilot_ordinary minus pilot_shuffled,context_gain,llama3_8b_instruct_q4_k_m,2.573444417515345,1.9230071333354992,3.2420345646800466
pilot_initial,pilot_ordinary minus pilot_shuffled,context_gain,mistral_7b_instruct_v0_3_q4_k_m,2.173222354929909,1.2821733383353051,3.1152074464067354
pilot_initial,pilot_ordinary minus pilot_shuffled,context_gain,qwen2_5_7b_instruct_q4_k_m,1.9134385037594759,1.207713437853803,2.756614102863676
pilot_initial,pilot_ordinary minus pilot_shuffled,conditional_logp,all,2.3368389698142975,1.816735693121501,2.9279553801218365
pilot_initial,pilot_ordinary minus pilot_shuffled,conditional_logp,llama3_8b_instruct_q4_k_m,2.0769240144112153,1.5581188804395292,2.6395000422748693
pilot_initial,pilot_ordinary minus pilot_shuffled,conditional_logp,mistral_7b_instruct_v0_3_q4_k_m,2.5781836327590524,1.3870809486541082,4.030996093134465
pilot_initial,pilot_ordinary minus pilot_shuffled,conditional_logp,qwen2_5_7b_instruct_q4_k_m,2.3554092622726235,1.60427949032943,3.301322243455099
pilot_initial,pilot_ordinary minus pilot_shuffled,semantic_cosine,all,0.007780430872062215,-0.04155951792077692,0.05717843704995698
pilot_initial,pilot_ordinary minus pilot_shuffled,semantic_cosine,llama3_8b_instruct_q4_k_m,0.05521325177570227,-0.04174207553383542,0.16758151298483584
pilot_initial,pilot_ordinary minus pilot_shuffled,semantic_cosine,mistral_7b_instruct_v0_3_q4_k_m,-0.05489297893010179,-0.11891629519340813,-0.003967955829313843
pilot_initial,pilot_ordinary minus pilot_shuffled,semantic_cosine,qwen2_5_7b_instruct_q4_k_m,0.023021019770586165,-0.07379816606504784,0.12494533010398365
pilot_amendment1,pilot_ordinary minus pilot_shuffled,context_gain,all,2.0612099193465805,1.7378146305806113,2.4109219822057306
pilot_amendment1,pilot_ordinary minus pilot_shuffled,context_gain,llama3_8b_instruct_q4_k_m,2.078718842821789,1.1181533491760876,2.9268778885063735
pilot_amendment1,pilot_ordinary minus pilot_shuffled,context_gain,mistral_7b_instruct_v0_3_q4_k_m,2.0660568386761917,1.4108123300960713,2.824240319193665
pilot_amendment1,pilot_ordinary minus pilot_shuffled,context_gain,qwen2_5_7b_instruct_q4_k_m,2.040313153498028,1.3498205347677765,2.7069289887179475
pilot_amendment1,pilot_ordinary minus pilot_shuffled,conditional_logp,all,1.9454730047290756,1.587220031292549,2.3182483115728423
pilot_amendment1,pilot_ordinary minus pilot_shuffled,conditional_logp,llama3_8b_instruct_q4_k_m,1.4919936807807233,0.8387547820531613,2.1389096558108154
pilot_amendment1,pilot_ordinary minus pilot_shuffled,conditional_logp,mistral_7b_instruct_v0_3_q4_k_m,2.4788943107193404,1.740750976164998,3.3826559855808944
pilot_amendment1,pilot_ordinary minus pilot_shuffled,conditional_logp,qwen2_5_7b_instruct_q4_k_m,1.8277410790248014,1.1689429865450385,2.497342497208086
pilot_amendment1,pilot_ordinary minus pilot_shuffled,semantic_cosine,all,-0.010621690576621684,-0.07282189270056663,0.05187945162947121
pilot_amendment1,pilot_ordinary minus pilot_shuffled,semantic_cosine,llama3_8b_instruct_q4_k_m,0.017735961048618958,-0.12470698506764968,0.16903016095038828
pilot_amendment1,pilot_ordinary minus pilot_shuffled,semantic_cosine,mistral_7b_instruct_v0_3_q4_k_m,-0.07101029461708214,-0.15797066351051317,0.007489233664822387
pilot_amendment1,pilot_ordinary minus pilot_shuffled,semantic_cosine,qwen2_5_7b_instruct_q4_k_m,0.023772399474034877,-0.061391050084813645,0.10690622059394782
coherence_study,actual minus ordinary,context_gain,all,0.1574783962488552,0.1098391187552732,0.20655505697642101
coherence_study,actual minus ordinary,context_gain,llama3_8b_instruct_q4_k_m,0.26321663705123893,0.1716744709995279,0.3501785138400994
coherence_study,actual minus ordinary,context_gain,mistral_7b_instruct_v0_3_q4_k_m,0.10758438671321653,0.009823668715816641,0.21120706546628584
coherence_study,actual minus ordinary,context_gain,qwen2_5_7b_instruct_q4_k_m,0.09780865181582109,0.02723144771250592,0.16558402099768763
coherence_study,actual minus ordinary,conditional_logp,all,0.061900655991121385,0.02771442544199887,0.09808040121560785
coherence_study,actual minus ordinary,conditional_logp,llama3_8b_instruct_q4_k_m,0.171551119474421,0.10250905787205539,0.24276905216985525
coherence_study,actual minus ordinary,conditional_logp,mistral_7b_instruct_v0_3_q4_k_m,-0.008944431982241858,-0.083970342443707,0.06817353950987771
coherence_study,actual minus ordinary,conditional_logp,qwen2_5_7b_instruct_q4_k_m,0.032163769788920125,-0.018375867353473487,0.08629718587452946
coherence_study,actual minus shuffled,context_gain,all,2.3265121008350307,2.2705022244942965,2.3911966740182353
coherence_study,actual minus shuffled,context_gain,llama3_8b_instruct_q4_k_m,2.3902877472422155,2.2945235274992037,2.48834589389187
coherence_study,actual minus shuffled,context_gain,mistral_7b_instruct_v0_3_q4_k_m,2.4493414969601197,2.323431938455848,2.5903005246249466
coherence_study,actual minus shuffled,context_gain,qwen2_5_7b_instruct_q4_k_m,2.141422906166116,2.0640936296016563,2.2182294674258722
coherence_study,actual minus shuffled,conditional_logp,all,2.325668592562281,2.2619399599505923,2.3905408453572363
coherence_study,actual minus shuffled,conditional_logp,llama3_8b_instruct_q4_k_m,2.406973896793738,2.320433734493696,2.5007000865546645
coherence_study,actual minus shuffled,conditional_logp,mistral_7b_instruct_v0_3_q4_k_m,2.386468028667374,2.2535878773425915,2.52919894652357
coherence_study,actual minus shuffled,conditional_logp,qwen2_5_7b_instruct_q4_k_m,2.1892840111012357,2.1062943742369495,2.2702899413806064
coherence_study,ordinary minus shuffled,context_gain,all,2.1690337045861745,2.1184947187031793,2.2215442831603665
coherence_study,ordinary minus shuffled,context_gain,llama3_8b_instruct_q4_k_m,2.127071110190977,2.040048937790016,2.2132349074806026
coherence_study,ordinary minus shuffled,context_gain,mistral_7b_instruct_v0_3_q4_k_m,2.3417571102469035,2.2369213794403406,2.4575457327990886
coherence_study,ordinary minus shuffled,context_gain,qwen2_5_7b_instruct_q4_k_m,2.043614254350294,1.9677614915842632,2.1159910216073765
coherence_study,ordinary minus shuffled,conditional_logp,all,2.26376793657116,2.2024056629548454,2.3294771035750417
coherence_study,ordinary minus shuffled,conditional_logp,llama3_8b_instruct_q4_k_m,2.235422777319318,2.1455356452913565,2.330058693902314
coherence_study,ordinary minus shuffled,conditional_logp,mistral_7b_instruct_v0_3_q4_k_m,2.3954124606496157,2.256147816236589,2.5455773371136488
coherence_study,ordinary minus shuffled,conditional_logp,qwen2_5_7b_instruct_q4_k_m,2.157120241312316,2.0711799393575467,2.2401168041783523
