source_type,source_id,payload_name,cover_prompt_name,alphabet_size,baseline_mode,character_count,token_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,fraction_rank_le_16,fraction_rank_le_64,result_directory,prompt_family,prompt_length_characters,prompt_length_tokens,trial_id,condition_name,prompt_name,segment_index,token_filter_name,tail_policy,contains_backtick,contains_bracket_placeholder,contains_url_fragment,contains_latex_fragment,contains_html_fragment,contains_markdown_heading,artifact_count_total,payload_class,protocol_variant,representation_name,contains_markdown_emphasis,contains_separator_line,notes
rankcloak,rankcloak_0,sha256_public_test_string,play_dialogue,8.0,,733,171,52,0.1909959072305593,0.1909959072305593,0.0,0.6180081855388813,0.5964912280701754,0.4035087719298246,-3.461279199881051,-3.1440882492881173,3.8947368421052633,7.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_1,sha256_public_test_string,recipe_blog,8.0,,752,171,4,0.1981382978723404,0.0132978723404255,0.0026595744680851,0.7779255319148937,0.631578947368421,0.368421052631579,-3.2730965273323966,-3.088403194030594,3.8947368421052633,7.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_2,sha256_public_test_string,forum_reply,8.0,,908,171,13,0.1530837004405286,0.0341409691629955,0.0,0.8127753303964758,0.7192982456140351,0.2807017543859649,-3.313204318449406,-3.093270179466103,3.8947368421052633,7.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_3,sha256_public_test_string,technical_documentation,8.0,,792,171,9,0.1553030303030303,0.0441919191919191,0.0328282828282828,0.7588383838383839,0.7368421052631579,0.2631578947368421,-3.209631211247644,-3.0259340231376832,3.8947368421052633,7.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_4,sha256_public_test_string,play_dialogue,16.0,,464,128,14,0.1745689655172413,0.1594827586206896,0.0,0.665948275862069,0.6796875,0.3203125,-3.920836760162189,-3.669440470862921,4.96875,8.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_5,sha256_public_test_string,recipe_blog,16.0,,506,128,1,0.217391304347826,0.033596837944664,0.0158102766798418,0.733201581027668,0.6796875,0.3203125,-3.8395170292370295,-3.576146273968627,4.96875,8.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_6,sha256_public_test_string,forum_reply,16.0,,622,128,8,0.180064308681672,0.022508038585209,0.0032154340836012,0.792604501607717,0.8203125,0.1796875,-3.730910269050311,-3.4876503927312257,4.96875,8.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_7,sha256_public_test_string,technical_documentation,16.0,,744,128,6,0.157258064516129,0.0134408602150537,0.0,0.8293010752688172,0.71875,0.28125,-3.5845261143182268,-3.369790661077252,4.96875,8.0,1.0,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_8,sha256_public_test_string,play_dialogue,32.0,,386,103,14,0.194300518134715,0.0673575129533678,0.0025906735751295,0.7305699481865285,0.8543689320388349,0.1456310679611651,-5.115484634813689,-5.099129459466322,14.019417475728156,26.89999999999999,0.5922330097087378,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
rankcloak,rankcloak_9,sha256_public_test_string,recipe_blog,32.0,,465,103,2,0.1763440860215053,0.0408602150537634,0.0021505376344086,0.7763440860215054,0.8349514563106796,0.1650485436893204,-4.909045333703019,-4.727356214153453,14.019417475728156,26.89999999999999,0.5922330097087378,1.0,results/rankcloak_small_full,,,,,,,,,,,,,,,,,,,,,,
