proposed_claim,evidence_status,evidence_artifacts,qualification
V3 detector partitions are strict under the declared exact and near-duplicate rule,fully_addressed,deduplication/leakage_audit.json;deduplication/near_duplicate_pairs.csv,Does not detect semantic paraphrases below 0.95
Matched ordinary LLM controls remain the primary detector comparison,fully_addressed,source_tables/detector_main_metrics.csv,Applies to the three historical families
Human-authored controls were evaluated computationally at LLM-validation thresholds,bounded_representative,source_tables/detector_human_metrics.csv;figures/human_control_false_positives.pdf,Dolly genre coverage is uneven; generic machine-human signals remain
Text-only detectors generalize to a held model family,fully_addressed_for_existing_three_families,source_tables/detector_main_metrics.csv;figures/detector_model_family_generalization.pdf,Not all possible unseen families
A data-adaptive black-box neural attacker was evaluated,fully_addressed,source_tables/detector_main_metrics.csv;provenance/deberta__matched__fit.json,Not comprehensive against every attacker
An exact-model-aware surprisal attacker was evaluated,fully_addressed,source_tables/detector_main_metrics.csv;source_tables/rank_pressure_descriptive.csv,Ranks remain descriptive because control ranks were not stored
Low-FPR thresholds were selected on validation and frozen for test,fully_addressed,source_tables/detector_main_metrics.csv;metrics,0.1% unavailable when n_negative is below 1000
RankCloak produces variable topic-conditioned covers,fully_addressed_for_paired_segmented_conditions,source_tables/topic_variability_pairs.csv;figures/topic_conditioned_cover_variability.pdf,Not evidence of secrecy or visible-text recovery
Saved-ID replay and visible-text retokenization have distinct recovery behavior,fully_addressed_for_144_trial_robustness_sample,source_tables/recovery_mode_comparison.csv;manuscript_tables/recovery_modes.tex,"Historical bounded sample, not all 6,480 trials; does not remove exact-replay dependence"
Entropy-gated RankCloak was evaluated under a replay-consistent ordinary-sampled-skip protocol,fully_addressed_for_bounded_720_trial_matrix,source_tables/entropy_generation_summary.csv;provenance/generation_analysis_validation.json;figures/entropy_gate_capacity_recovery.pdf,Does not remove replay dependence or imply successful visible-text recovery
"Entropy gating changes payload capacity, output length, recovery, quality, and detector behavior",supported_descriptively_as_quantified,source_tables/entropy_generation_summary.csv;source_tables/entropy_position_summary.csv;source_tables/entropy_paired_difference_summary.csv;source_tables/entropy_rankcloak_control_difference_summary.csv;source_tables/model_backed_detector_subgroups.csv;manuscript_tables/entropy_gate_generation.tex;manuscript_tables/entropy_gate_by_model.tex;manuscript_tables/entropy_gate_forced_token_distribution.tex;manuscript_tables/entropy_gate_paired_changes.tex;manuscript_tables/entropy_gate_quality.tex;manuscript_tables/entropy_gate_detectors.tex,Direction and magnitude must be stated from the tables; no universal improvement claim
Matched Q4_K_M versus Q8_0 sensitivity was isolated for one pinned Qwen revision,fully_addressed_for_targeted_1920_pair_matrix,source_tables/quantization_pair_summary.csv;source_tables/model_backed_detector_metrics.csv;figures/matched_quantization_sensitivity.pdf,"One model revision, two quantizations, and one inference backend only"
Paired Q4_K_M and Q8_0 visible-text recovery was measured on the frozen RankCloak pairs,fully_addressed_for_targeted_960_pair_matrix,source_tables/quantization_recovery_pairs.csv;source_tables/quantization_recovery_summary.csv;manuscript_tables/matched_quantization_recovery.tex;figures/matched_quantization_recovery.pdf;provenance/generation_analysis_validation.json,"Q4 covers were not regenerated; recovery still requires the exact model, context, and saved span boundary"
Detector thresholds transfer across matched Q4 and Q8 quantizations,supported_or_contradicted_exactly_as_reported,source_tables/model_backed_detector_metrics.csv;manuscript_tables/matched_quantization_detectors.tex;figures/matched_quantization_detector_transfer.pdf,Frozen-threshold observed FPR may differ from nominal 1%; 0.1% unavailable
