path,size_bytes,sha256,row_count
README.md,3596,128bf9ca014e878d84a8e6932734b7baadc32a3c58aeac1347826b329dba6072,
claim_evidence_matrix.csv,2724,5fdddc399b83e6bef2d728014885590ed5cf2db0ea932afa18bfc319273a4644,12.0
data_dictionary.md,3186,b510621babeaa795d46d2942c84de30687013bb51e731d555f850217ee7bc2eb,
deduplication/cluster_manifest.csv,38592,9775f654dcd7fe3e5a7317e9ba2598b41bcba18a941b2cf53709828343b14e11,460.0
deduplication/deduplicated_row_manifest.csv,5227320,9ff2c6adbd50f0f7f1f32641f3f3cad3cfd96b1bfe202656557ab18db8d8aa6a,15838.0
deduplication/exact_duplicate_groups.csv,512,950fd1e533431ae9426797aa8dd8f207f0fa9341cc2c4745958d51d90b4823f4,1.0
deduplication/factor_counts.csv,9106,13932ac250101fb55c787dab453e1f70dc6b10e00701bae068315b6f85c80168,185.0
deduplication/human_control_audit.json,930,53d22af962170d521fbf8765c400aabb1b7b0ce9e16bf54474e3bd2809a963bd,
deduplication/human_exact_duplicate_rows.csv,310,c6648659d369caef034b607db748c398fa02226ba8309a6e8b15558c9c1d9d9b,0.0
deduplication/human_near_duplicate_pairs.csv,186,cd733ab4e2b52bd843d33f49babff63c46c563be21511d4c375539b75c833161,0.0
deduplication/human_primary_cross_corpus_near_pairs.csv,74,8d8f8509ba791fbb2d6b38b6e84ead94160098c109620bc1519c0f3329257e22,0.0
deduplication/leakage_audit.json,527,50922b7d0aacf9240ec0055a38886526d4548db98cfe3e7846da9f7cba5bfbd8,
deduplication/near_duplicate_pairs.csv,11669,773645bcdefafafca042807bdb369b72f748b7900be5df799b881382af9824ad,52.0
deduplication/partition_manifest.csv,55695,73c819684939a37db3488c7321ba30d26a8662104dc85388064568d600c9970f,460.0
deduplication/removed_observations.csv,1519,20f9dbda83363355202fa9bb25c827ffcaab4d32d0426e5dc0b6d55fb5f55385,2.0
deduplication/summary.json,896,a4d3a93bc0021dc4cfea00f17b6dba7b2f87f3fd046d516c5e6e370967a88994,
detector_predictions/deberta__leave_one_model__llama3_8b_instruct_q4_k_m.csv,939362,1416b63802e1603d52263ad2dcbb2fc93f87da1367ccea30218dac4c93791d96,2962.0
detector_predictions/deberta__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.csv,957415,1da3632b1253a3302ec609a52f24ccfca021bcd3ba8c90ab43e6406d84eba43e,2962.0
detector_predictions/deberta__leave_one_model__qwen2_5_7b_instruct_q4_k_m.csv,941822,c2acfc9ae3b2fa5da95bafda0cf7a99259550374cbb4f855815a5da3ebf34e30,2962.0
detector_predictions/deberta__matched.csv,1743857,d40c6ce7888800065cf9f80281163b62b9c51b56ac900624284bc315a5614048,6184.0
detector_predictions/surprisal__leave_one_model__llama3_8b_instruct_q4_k_m.csv,944746,f99445c7d63f32a827da58a05e9d0f8f31cad73cdccc8581f9a53f3fe05d1142,2962.0
detector_predictions/surprisal__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.csv,960450,86a4029119e181ca1c0f95f9ec2349e0f3b899951d2b23cbb588a2bcc65e88e2,2962.0
detector_predictions/surprisal__leave_one_model__qwen2_5_7b_instruct_q4_k_m.csv,947863,4be93b12ff234b4e706035ff402b9269d418cd42c64ac7eeee25e23f9c3dc6b0,2962.0
detector_predictions/surprisal__matched.csv,1679371,bf96f4e5c2a0e1ebec6b974f1df3a34064282d2faa5b9f6693c6a525063883dd,5934.0
detector_predictions/textcnn__leave_one_model__llama3_8b_instruct_q4_k_m.csv,937097,380a85ba1b9f6cb43cc83b303cc57648d36caa3869b5a54443253d26e5e729c0,2962.0
detector_predictions/textcnn__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.csv,955885,20de0cfa06d0d3bc52a67cb6895fce7986cc9038a73baa4c8b3443fdbf93ee4f,2962.0
detector_predictions/textcnn__leave_one_model__qwen2_5_7b_instruct_q4_k_m.csv,940132,7ecbea1920916bb90bd0e9d3ba14d0dd5d2f2f602b04b56c35f757483dc9087e,2962.0
detector_predictions/textcnn__matched.csv,1735190,c8ede09f54576a7f2f22fa95d71a6586334b2f6b6cc3cbd840267ad9465fdb75,6184.0
environment.json,2800,88e66536fb1db8eb658f8fc6f9ab1d9026023eee281d55fc5c608b2a5761148d,
experiment_design.md,3037,8727cefd029ff144f406bea3988dafa6efd7f39b003625dec66a7f1ee9d2f7c3,
figures/detector_low_fpr.pdf,13671,76204f3906b2196c28c69ef3b4b475cf0118966142f399de4140ed0e2b656b1e,
figures/detector_low_fpr.png,62995,67dd750f362bc4c626d72d1886ecb0fc40c908cc3caa6d1fc1564bc7ae305dc3,
figures/detector_model_family_generalization.pdf,15918,4066dccbe990d2bf392c2eec228564bedee3ccab94efa041201aacb31526a8a9,
figures/detector_model_family_generalization.png,81619,93bd2137d98a59ea354e19c890bb0e53bf3f0eda66a2f8861fe558f5488c18f3,
figures/human_control_false_positives.pdf,13714,ea615084afe9e958ac7d967419861e79354c843e1d551c4efa99d3e683b76e76,
figures/human_control_false_positives.png,56323,261bfb8abbb30189cad88df78f2d8c3671b8f3e8505f89bab1204330d506548b,
figures/topic_conditioned_cover_variability.pdf,13166,ddc9cebdfa8b81ad49feefab012ff16647a1da626686ea9b0063e2315320ca73,
figures/topic_conditioned_cover_variability.png,60942,d7e31153586cf2fb682a10d152358eca2691923bbbaf4e5121d0fd89c542b70c,
limitations_for_manuscript.md,3556,08ec7002dc72e1f50732ec05b3e006f97d941c8fa97cde3536b2dd33eab9a2d6,
logs/deberta__leave_one_model__llama3_8b_instruct_q4_k_m.jsonl,5560,4ead6ab746b8cde68020d672f8101f22b7af4c7fc3bd5813efa1d8e3d98894c2,
logs/deberta__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.jsonl,5560,782d507c51f611a42733673ef6b72e59302f9e749530d4c6e9b12d06839a8734,
logs/deberta__leave_one_model__qwen2_5_7b_instruct_q4_k_m.jsonl,5560,74f776389affdc4120613a048378d4134993d104ecd35c989e4fce98646b1890,
logs/deberta__matched.jsonl,7794,36d61d57d0f2d731752133709c2b6aec8682166abecb52033d20036a58d330f4,
logs/initial_full_suite_3_preexisting_failures.xml,97921,b6d397dbae06bf394199584087f9c542837c72837d46fd23ed68d936267f4889,
logs/julia_pkg_test.log,1378,38b1a87bc312de21efa8a83a7888fc6a8ccf7aafcb1d8582a98504fdd92b68b1,
logs/pytest_full.xml,97921,b6d397dbae06bf394199584087f9c542837c72837d46fd23ed68d936267f4889,
logs/pytest_v3_focused.xml,4010,9fc7f628c734c421828ac8bbe5713d7063e63d4f9682c3377b5f9bc7be2b6cb3,
logs/textcnn__leave_one_model__llama3_8b_instruct_q4_k_m.jsonl,4286,0dc3e8af89be7a89e50ff1f52101e1ee7e0938e524d1846fb22c99f8c55b1f05,
logs/textcnn__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.jsonl,4286,87782d7f4bb6a7b54f19bec97c561ac9888b54665002b8089274698ef6eef4c5,
logs/textcnn__leave_one_model__qwen2_5_7b_instruct_q4_k_m.jsonl,4286,1b283d1dbb956a4fff2bb5a1a0537d8cf4c0538bd38805da048e8a9fad7b113a,
logs/textcnn__matched.jsonl,4292,5c4497cc0e6f1cc452cf26a9651c7aacf32e8f6dcc27aeb1b2e1906b1b257a5d,
manuscript_tables/deduplication.tex,316,f76a639ff8f22cd8ffe8593500ff245092dce4c68eafff4208b10667d705ef47,
manuscript_tables/detector_low_fpr.tex,1848,8a7f1f388ad2108830c6391a28f3342817eac6670770546807e09abdc83c0216,
manuscript_tables/detector_main.tex,703,fe7fe18cf6dba892f55fc269233f1db2a327173bee11dcf2c1dc36060593e3d8,
manuscript_tables/human_controls.tex,1252,325945ed62a69f1ef2f2bba1ec455540bba406309c2466c1a30424803cb641f0,
manuscript_tables/recovery_modes.tex,539,46c5fd9b3bb8c138cce88d3e071d59a42d3f3d1e165c09b4a1ca8700b52b9056,
manuscript_tables/topic_variability.tex,322,42c741d82506ef1a60e554f842cfdedc6a35efc1ac6bbdfadbdb2db9fb5d2a2c,
methods_for_manuscript.md,5089,61c439f4888fbc9c83029b235b9be3ccc339827c3f35942ef72055a3463f1146,
metrics/deberta__leave_one_model__llama3_8b_instruct_q4_k_m.json,3125,634be487e5fe962cb866513c4ac550ec2912f073e866f816da17cc203fbba497,
metrics/deberta__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.json,3065,5f9dc33f0abde051b3e7ba928ed6229ff6cb5d4848481594c320788c7a494a82,
metrics/deberta__leave_one_model__qwen2_5_7b_instruct_q4_k_m.json,3121,9c97632a06d8080201e3a840acc5a05a0de5964aa96bf2d4b149532d43fbc680,
metrics/deberta__matched.json,7416,551ea6ad7e6822cfbd6e44a65adf886b8641b10786fdae683318cac6f9c73fb8,
metrics/surprisal__leave_one_model__llama3_8b_instruct_q4_k_m.json,3042,87c00fc92b0ae724f77676f7e2a37c249dddb4d38859f5f4780f4b45f2f156ec,
metrics/surprisal__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.json,2961,49a145ff97c6e4a973ca24be392a7ed890e9c4c6c5de2152aabc9c23304661b5,
metrics/surprisal__leave_one_model__qwen2_5_7b_instruct_q4_k_m.json,2928,659afc55b32245fa43fb3b390861544782ee0b991d784652e1e304aacaa8442e,
metrics/surprisal__matched.json,3787,52fdced239d1412a30bae70eab372b46d34fa777662339532a04e31159a56e59,
metrics/textcnn__leave_one_model__llama3_8b_instruct_q4_k_m.json,3105,dfd9ade69d525583c42d29147d9bf7c1af07ecdd71bfc4c7ac4a7b75e0537e5c,
metrics/textcnn__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m.json,3117,f9d8af36afb953bb8d25f8a989701471f6c2b27f58f9d4225a275e7d4435f348,
metrics/textcnn__leave_one_model__qwen2_5_7b_instruct_q4_k_m.json,3119,2fa72fcbe721e986033df5c5391f403dcb650e0cbdddfbc205dc17d54622581c,
metrics/textcnn__matched.json,7402,401fb8f1a6d94691b6867b6dd7a30d20235073d4ef708cfa04d336c7b550b7b1,
metrics/topic_variability_summary.json,1369,2fa468f1e0bedb6a55c446a4d382aa4f5b5d87125b46e57ac8ca89c186681ffa,
provenance/artifact_source_map.csv,1225,8fcd82d4f87d25b15d40e5a972ceb075b3403cb9f0c0959973aec21acd2cdef2,10.0
provenance/deberta__leave_one_model__llama3_8b_instruct_q4_k_m__fit.json,3486,881ed7abb8ceeb9ca4f5f601d1870683b65356c7fd31ff306c9aa290598c1900,
provenance/deberta__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__fit.json,3491,b4aeea024f64cfa6d4b73531cb35c8582fafb1fc6c630f727175a060cca63eb9,
provenance/deberta__leave_one_model__qwen2_5_7b_instruct_q4_k_m__fit.json,3486,4aab3422e4bcf77cd828560c887b3a1d9ae5ce0fcc48cd39ca2191679c0c9d65,
provenance/deberta__matched__fit.json,3457,f51059a129dc5ab878822798c1dc8e359589d2e5455b12a089a0b16bae78188b,
provenance/entropy_calibration_plan.csv,4136,6f282687d36c289e85a02249da2aeead13717621dde721b26defd6db1b1720c7,18.0
provenance/entropy_generation_plan.csv,539767,ddcde0e063ef287c48df9e2d6dbada3474181eb172a74e29d70f62db6fd7740d,720.0
provenance/experiment_status.csv,421,bd90bf3c9fd73c2f239bbd84fd0a7684401bbfecc2a268a2fa8a5747fb07751a,8.0
provenance/generation_plan_summary.json,564,eebe49c0866f221ea8f5a6432589832b624b973fdc0a31c3b63061b5e76a9a97,
provenance/generation_preflight.json,2135,8d5b455f444ef749b67481fdd5f8f22043a1491ea72e3c2faae5014759f38730,
provenance/generation_surprisal_features.csv,6118866,f6301e5825760441286b0dd69ce17585e98575543a8c334e7014b266e096babd,15838.0
provenance/human_control_import_audit.json,4112,879c8031681a6954c2601166ae8c6af50cf16fc972464cd5c7a58c7a9e5fc8a1,
provenance/human_control_selection_manifest.csv,128444,1c1c464f80da092242614c5cd0095ac91e4b91a8b43149988634ed00f7d094f5,250.0
provenance/quantization_generation_plan.csv,2513547,caa1b114c1c8bf01905b498d15947b5b11d45afb558f4a4487c4c72e8c7a8c8a,3840.0
provenance/references.json,1471,3d0832689b60b432d70ea68265d1a31ca9e0b547ca2237ce4851b407ebbe61a4,
provenance/reproducibility_audit.json,2207,c7baebd16b7936a9496c459278e51e0f1c3f3a7d0ed12dff28e5e4d98edf00a1,
provenance/source_inputs.json,3379,bbd2458af6f7c96f1a2c02e8dd4eb192c07018a858b4239c7bf4afe3d9cd3b19,
provenance/surprisal__leave_one_model__llama3_8b_instruct_q4_k_m__fit.json,2680,e06a1adcaf978ca0556769b31d67ee8067fe790ff08d81544253ca8481a00c72,
provenance/surprisal__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__fit.json,2663,52e8d5d2e17afe6aa52e154ff539c44ed6e5bc628ba793ff125bb025763d1619,
provenance/surprisal__leave_one_model__qwen2_5_7b_instruct_q4_k_m__fit.json,2683,2c231430ced65092c7d2732aca2977dad669ff282ee81f519dcf47a9da84af8f,
provenance/surprisal__matched__fit.json,2652,2cea0d16e7b7123c958cec79582f92014781cf852f30fb67db3cc8d6411cf026,
provenance/textcnn__leave_one_model__llama3_8b_instruct_q4_k_m__fit.json,1791,3166d8900f4070374dabed4d76da524791bc1791eedf164d4c2675055531d096,
provenance/textcnn__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__fit.json,1796,5fe8f4244b46a7642965d3e9b657d64e7f8979c4b36d38086032c837a04bbbd6,
provenance/textcnn__leave_one_model__qwen2_5_7b_instruct_q4_k_m__fit.json,1792,59cb7b890478bb9b894a61f1828fb818c565f8bc4a50c02a882aa67a0628b77c,
provenance/textcnn__matched__fit.json,1757,05c618784991ea88a443a24ed597f4fe631afeb74a2b56e5311ab8319ed8fad8,
provenance/validation_report.json,877,9798dec2279403017a48bdd4ef4130887f4c41ed6163ffd97274d4af2c756c80,
results_for_manuscript.md,4041,67d1f29596467b0bc31297d2ac50dc6c5a1fa5d4272863e40b3f5eb928821163,
run_manifest.json,15225,393ae4cc2d8c41def2c81c48f668b64215e2fbddce375a0f94fe8289bbda2797,
