contrast,metric,effect,ci_low,ci_high,payload_clusters,bootstrap_draws,nonempty_bootstrap_draws,class_counts,model_id
pilot_ordinary minus pilot_shuffled,semantic_cosine,0.007780430872062223,-0.04155951792077692,0.05717843704995698,36,2000,2000,"{'sha256_hex': 6, 'aes256_gcm_base64': 3, 'uuid_v4': 2, 'chacha20_poly1305_base64': 5, 'hmac_sha256_hex': 3, 'ed25519_signature_base64': 6, 'token_128_bit_hex': 6, 'nonce_96_bit_hex': 5}",all
pilot_ordinary minus pilot_shuffled,semantic_cosine,0.05521325177570229,-0.04174207553383542,0.16758151298483584,12,2000,2000,"{'sha256_hex': 2, 'aes256_gcm_base64': 2, 'uuid_v4': 1, 'chacha20_poly1305_base64': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 3, 'token_128_bit_hex': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,semantic_cosine,-0.05489297893010179,-0.11891629519340813,-0.003967955829313843,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 2, 'token_128_bit_hex': 1, 'hmac_sha256_hex': 2, 'uuid_v4': 1, 'ed25519_signature_base64': 2, 'aes256_gcm_base64': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,semantic_cosine,0.023021019770586165,-0.07379816606504784,0.12494533010398365,12,2000,2000,"{'nonce_96_bit_hex': 3, 'token_128_bit_hex': 4, 'sha256_hex': 1, 'chacha20_poly1305_base64': 3, 'ed25519_signature_base64': 1}",qwen2_5_7b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,2.220035092068243,1.7783806617191482,2.6776725081876016,36,2000,2000,"{'sha256_hex': 6, 'aes256_gcm_base64': 3, 'uuid_v4': 2, 'chacha20_poly1305_base64': 5, 'hmac_sha256_hex': 3, 'ed25519_signature_base64': 6, 'token_128_bit_hex': 6, 'nonce_96_bit_hex': 5}",all
pilot_ordinary minus pilot_shuffled,context_gain,2.573444417515345,1.9230071333354994,3.2420345646800475,12,2000,2000,"{'sha256_hex': 2, 'aes256_gcm_base64': 2, 'uuid_v4': 1, 'chacha20_poly1305_base64': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 3, 'token_128_bit_hex': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,2.1732223549299086,1.2821733383353051,3.115207446406734,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 2, 'token_128_bit_hex': 1, 'hmac_sha256_hex': 2, 'uuid_v4': 1, 'ed25519_signature_base64': 2, 'aes256_gcm_base64': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,context_gain,1.9134385037594759,1.207713437853803,2.756614102863676,12,2000,2000,"{'nonce_96_bit_hex': 3, 'token_128_bit_hex': 4, 'sha256_hex': 1, 'chacha20_poly1305_base64': 3, 'ed25519_signature_base64': 1}",qwen2_5_7b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,2.336838969814297,1.816735693121501,2.9279553801218365,36,2000,2000,"{'sha256_hex': 6, 'aes256_gcm_base64': 3, 'uuid_v4': 2, 'chacha20_poly1305_base64': 5, 'hmac_sha256_hex': 3, 'ed25519_signature_base64': 6, 'token_128_bit_hex': 6, 'nonce_96_bit_hex': 5}",all
pilot_ordinary minus pilot_shuffled,conditional_logp,2.0769240144112153,1.5581188804395292,2.6395000422748693,12,2000,2000,"{'sha256_hex': 2, 'aes256_gcm_base64': 2, 'uuid_v4': 1, 'chacha20_poly1305_base64': 2, 'hmac_sha256_hex': 1, 'ed25519_signature_base64': 3, 'token_128_bit_hex': 1}",llama3_8b_instruct_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,2.5781836327590524,1.3870809486541082,4.030996093134465,12,2000,2000,"{'sha256_hex': 3, 'nonce_96_bit_hex': 2, 'token_128_bit_hex': 1, 'hmac_sha256_hex': 2, 'uuid_v4': 1, 'ed25519_signature_base64': 2, 'aes256_gcm_base64': 1}",mistral_7b_instruct_v0_3_q4_k_m
pilot_ordinary minus pilot_shuffled,conditional_logp,2.3554092622726235,1.60427949032943,3.301322243455099,12,2000,2000,"{'nonce_96_bit_hex': 3, 'token_128_bit_hex': 4, 'sha256_hex': 1, 'chacha20_poly1305_base64': 3, 'ed25519_signature_base64': 1}",qwen2_5_7b_instruct_q4_k_m
