local_status	preservation_class	path	entry_type	size_bytes	sha256	notes
tracked_modified	preexisting_user_change	.gitignore	regular_file	851	a160642dfb3425d64426244939b9ed9b879f8030c21f5cafa8bdb195fce7fa6f	Preserve unchanged; predates this computation session.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-budget-failed-charge-XqrzDT.py	regular_file	22043	ff716f7dce81452aa01e4e6374448ed130af17cd419275a2413df3f1d7d363f7	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-budget-gate-gtWrdJ.py	regular_file	21080	c0206dae0c7e1bac7b75a073146a3b1c8d6650dfd3adf37b6bf7d1d8e7008844	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-budget-tests-failed-charge-JGK3g7.py	regular_file	9479	bcf31b982e16392f67284f9e25251d71413b212f81b90024ea6a5064663f6dee	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-detector-tests-hicLGD.py	regular_file	58353	137a8b7589ce361c7660bb808dc088095a02c6b95ab9534d5327654ea631653d	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-execution-failure-reader-aLX2qe.py	regular_file	182021	049abb5cd1ceb6c0f3a9fac5823eb7256c22f3d1cf98a7beed8bc9407403746d	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-execution-tests-failed-reader-NGDyI9.py	regular_file	61274	b5a478206a206316ff4fb42251cbb3adaaf99fada62d09e450a733c408ea9d19	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-run-detectors-bM3dOG.py	regular_file	77331	cec885ec4bbe6fc8b9a80dd1fc737ee64798c3dfb1f77a39472aff7d5c9804f7	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-supervisor-failed-budget-FKudr8.py	regular_file	328130	49e61af68e15740971374d3375a600075cacad262ef63925bad8d975ddad8389	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak-supervisor-test-failed-charge-owXSKE.py	regular_file	91124	539bbf703e01f34c76f5a88a761a7b32425ac1b38b8acaf1d310b99721105336	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_root	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_ablation_patch.QzgQ2J	directory_root	136427		Read-only preserved diagnostic root; directory hash not synthesized.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_ablation_patch.QzgQ2J/ablation.patch	regular_file	2608	123bc240825af1d150dee3ed5931aff8abfdf841744cd29774256670c124e443	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_ablation_patch.QzgQ2J/rankcloak/revision_statistics.py	regular_file	100012	b9807bd8945f29b594f635de503a04d1d8e56453f743d1acf05e285175077eda	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_ablation_patch.QzgQ2J/tests/test_revision_statistics.py	regular_file	33807	45c227a7d248ffa6964aac12a6e5e2371d67e9d7551eaf93e841c658d0bb63d9	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_root	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z	directory_root	63986		Read-only preserved diagnostic root; directory hash not synthesized.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/.pytest_cache/.gitignore	regular_file	37	3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/.pytest_cache/CACHEDIR.TAG	regular_file	191	37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/.pytest_cache/README.md	regular_file	302	73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/.pytest_cache/v/cache/nodeids	regular_file	402	245bfa377ea5853d9132aa9c30fa4ccd13394e1450e38fc90f8c856751f199e4	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/change_inventory.patch	regular_file	21939	ed9bb76c8b064e9feed9d38f2fcdcbaff8946c452aaf272c559ed8caa42f62df	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/rankcloak/__pycache__/revision_change_inventory.cpython-310.pyc	regular_file	11327	6416cc2a2d6ce5615bbc1b7ac7295a22ac8fde6f39642a90e14c2016dd9029a9	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/rankcloak/revision_change_inventory.py	regular_file	13453	3d3bc426534d68d59fc921d6dfcad71cf4dfd3a9fee84157fa52c81938cd6d8f	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/scripts/__pycache__/build_revision_change_inventory.cpython-310.pyc	regular_file	2682	64012de237eaa39af5f735bed64e5082046037c6ab8320946414771d3da2548a	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/scripts/build_revision_change_inventory.py	regular_file	2852	6c6f6f81930cda41b3aeea5f6911453812c4a626990cf956070481abff21d4e5	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/tests/__pycache__/test_revision_change_inventory.cpython-310-pytest-9.1.1.pyc	regular_file	6403	3a5d0ce53638018ab7006e99f36965549751e385b85c6280b3ce2f7edff8df4d	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_change_inventory_patch_20260816T1020Z/tests/test_revision_change_inventory.py	regular_file	4398	d2bce09975523ba2944c9418c78e653d37e0641b32f02defa4af1a463eb4db7b	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_root	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_cmake_4_4_2	directory_root	76489699		Read-only preserved diagnostic root; directory hash not synthesized.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_cmake_4_4_2/bin/ccmake	regular_file	197	0457cda6145a491f8757d72f68ea0a62f5b6cccf50676f9f899163569ac7c38a	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_cmake_4_4_2/bin/cmake	regular_file	195	3255ad3ade5896ff4f5d336b2d3c34f8c78892b3bc0fc85ad15e4f8c23e21600	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_cmake_4_4_2/bin/cpack	regular_file	195	c9368501341d6da3c019051eb8d3ed5c9eb3df1e043d828298e6d7a3620a11e3	Preserved in place; no deletion, move, or quarantine performed.
preserved_extra_file	failed_or_temporary_diagnostic_preserve	/tmp/rankcloak_cmake_4_4_2/bin/ctest	regular_file	195	597a915f6518355ea15729836b358051c6c2efd83d0a3db8291a91e05b0e04a4	Preserved in place; no deletion, move, or quarantine performed.
