row_id,text_sha256,label,payload_group_id,prompt_template_id,model_id,codec_id
detector_pair__6cbdd8237a2a36e712680fae__rankcloak,a65d29526b4356465cc92870770bd8493ce648d481bc6976bc061c72d7c17176,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,direct_subword_calgacus
detector_pair__6cbdd8237a2a36e712680fae__ordinary_control,14536c7d790123de63e9e77b0624f4be47baefa7edb08e3c94fc56c90768d992,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,direct_subword_calgacus
detector_pair__bbe52a3cef810d9f480c32a6__rankcloak,57f47934d50a9983a03bb6332ce61d3f07557dec67fa36396be1a666d8c380d4,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8
detector_pair__bbe52a3cef810d9f480c32a6__ordinary_control,4b1576fe62352b6eb969c1d1caa3405bf25297379c4c808274f565a0acd2731b,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8
detector_pair__61e62e0e237189dfe0dffb2e__rankcloak,f1668d9460ef32f77dbb9c95625d7b37b007f821ed0ee01788663af0050d81c1,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16
detector_pair__61e62e0e237189dfe0dffb2e__ordinary_control,d961078bd0e3e0663477406d2b5c5396c888661e06d673646b28271592bc49fa,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16
detector_pair__a27c5e27171d944256a25a55__rankcloak,b2f56af4a4227f888ed8c767d587a6f42e9bab37228a94e146c3dfae6dca0b0e,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16
detector_pair__a27c5e27171d944256a25a55__ordinary_control,aadcedfe26dc95b789609ca6a511b670425ea6a63a4e4e1960f9d43742cd2fc4,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16
detector_pair__4e276bddc35d59b49d514ca4__rankcloak,e13b4286f382a45a02313b4603efa7ecd75631224ff33c9d3df02baea6a3aca1,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic
detector_pair__4e276bddc35d59b49d514ca4__ordinary_control,bdca73094869ea45d6884ec288e03269ba2ace0ac2df3bc572d4bcc3008098d9,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic
detector_pair__3394970b55a3268e5d5e4543__rankcloak,0dbdb1545c4c24c972d5ccd65a2ee1688f9f3865154d40b7154e16784473bb71,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic
