split_id,regime,held_out_column,held_out_value,train_rows,test_rows,row_position_overlap,payload_group_overlap,row_id_overlap,raw_text_sha256_overlap,source_trial_id_overlap,pair_id_overlap,cross_partition_near_duplicate_pairs,affected_test_rows,affected_test_payload_groups,maximum_cross_partition_similarity,exact_leakage_checks_passed
matched,matched,not_applicable,not_applicable,11880,3960,0,0,0,0,0,0,4,3,3,0.9644447565078735,True
held_out_template:casual_hobby_chat,held_out_template,prompt_template_id,casual_hobby_chat,13200,880,0,0,0,0,0,0,5,1,1,0.9934457540512085,True
held_out_template:casual_neighborhood_chat,held_out_template,prompt_template_id,casual_neighborhood_chat,13200,880,0,0,0,0,0,0,13,5,4,0.9974367022514343,True
held_out_template:casual_weekend_chat,held_out_template,prompt_template_id,casual_weekend_chat,13200,880,0,0,0,0,0,0,5,3,2,0.9769361019134521,True
held_out_template:explain_biological_process,held_out_template,prompt_template_id,explain_biological_process,13200,880,0,0,0,0,0,0,13,4,4,1.0,True
held_out_template:explain_everyday_system,held_out_template,prompt_template_id,explain_everyday_system,13200,880,0,0,0,0,0,0,4,1,1,1.0,True
held_out_template:explain_weather_pattern,held_out_template,prompt_template_id,explain_weather_pattern,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:forum_learning_answer,held_out_template,prompt_template_id,forum_learning_answer,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:forum_practical_answer,held_out_template,prompt_template_id,forum_practical_answer,13200,880,0,0,0,0,0,0,7,2,2,0.9907234907150269,True
held_out_template:forum_purchase_advice,held_out_template,prompt_template_id,forum_purchase_advice,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:narrative_learning_moment,held_out_template,prompt_template_id,narrative_learning_moment,13200,880,0,0,0,0,0,0,1,1,1,0.9999999403953552,True
held_out_template:narrative_local_walk,held_out_template,prompt_template_id,narrative_local_walk,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:narrative_small_discovery,held_out_template,prompt_template_id,narrative_small_discovery,13200,880,0,0,0,0,0,0,5,1,1,0.9950351119041443,True
held_out_template:procedure_garden_task,held_out_template,prompt_template_id,procedure_garden_task,13200,880,0,0,0,0,0,0,2,1,1,0.9564753770828247,True
held_out_template:procedure_home_task,held_out_template,prompt_template_id,procedure_home_task,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:procedure_simple_meal,held_out_template,prompt_template_id,procedure_simple_meal,13200,880,0,0,0,0,0,0,0,0,0,,True
held_out_template:professional_process_email,held_out_template,prompt_template_id,professional_process_email,13200,880,0,0,0,0,0,0,3,1,1,0.9628387689590454,True
held_out_template:professional_project_update,held_out_template,prompt_template_id,professional_project_update,13200,880,0,0,0,0,0,0,4,2,2,0.9725715517997742,True
held_out_template:professional_schedule_note,held_out_template,prompt_template_id,professional_schedule_note,13200,880,0,0,0,0,0,0,0,0,0,,True
leave_one_model:llama3_8b_instruct_q4_k_m,leave_one_model,model_id,llama3_8b_instruct_q4_k_m,7920,1320,0,0,0,0,0,0,0,0,0,,True
leave_one_model:mistral_7b_instruct_v0_3_q4_k_m,leave_one_model,model_id,mistral_7b_instruct_v0_3_q4_k_m,7920,1320,0,0,0,0,0,0,0,0,0,,True
leave_one_model:qwen2_5_7b_instruct_q4_k_m,leave_one_model,model_id,qwen2_5_7b_instruct_q4_k_m,7920,1320,0,0,0,0,0,0,0,0,0,,True
leave_one_codec:direct_subword_calgacus,leave_one_codec,codec_id,direct_subword_calgacus,9780,720,0,0,0,0,0,0,4,3,3,0.9872332215309143,True
leave_one_codec:nonseg_ascii_b16,leave_one_codec,codec_id,nonseg_ascii_b16,9930,720,0,0,0,0,0,0,0,0,0,,True
leave_one_codec:nonseg_ascii_b8,leave_one_codec,codec_id,nonseg_ascii_b8,10080,720,0,0,0,0,0,0,2,2,2,0.9769361019134521,True
leave_one_codec:nonseg_hex_nibble_b16,leave_one_codec,codec_id,nonseg_hex_nibble_b16,11880,360,0,0,0,0,0,0,3,2,2,0.9810655117034912,True
leave_one_codec:segmented_hex_multi_topic,leave_one_codec,codec_id,segmented_hex_multi_topic,10800,720,0,0,0,0,0,0,0,0,0,,True
leave_one_codec:segmented_hex_single_topic,leave_one_codec,codec_id,segmented_hex_single_topic,10800,720,0,0,0,0,0,0,4,2,2,0.9604536294937134,True
