payload_name,payload_class,representation_name,rank_count,mean_rank,median_rank,p95_rank,max_rank,fraction_rank_le_8,fraction_rank_le_16,fraction_rank_le_64,model_repo_id,model_filename,model_path_relative,notes
paper_sha256_hex_000,sha256_hex,raw_subword_rank_pressure,40,2019.975,10.5,814.6499999999969,75344,0.45,0.575,0.775,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_sha256_hex_001,sha256_hex,raw_subword_rank_pressure,39,160.71794871794873,26.0,814.9000000000001,1318,0.3333333333333333,0.46153846153846156,0.6666666666666666,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_sha256_hex_002,sha256_hex,raw_subword_rank_pressure,41,200.8048780487805,7.0,752.0,2794,0.5365853658536586,0.5853658536585366,0.7073170731707317,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_sha256_hex_003,sha256_hex,raw_subword_rank_pressure,37,226.43243243243242,33.0,867.3999999999994,1096,0.2972972972972973,0.4594594594594595,0.5945945945945946,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_sha256_hex_004,sha256_hex,raw_subword_rank_pressure,37,3507.675675675676,11.0,7286.399999999896,93116,0.40540540540540543,0.5135135135135135,0.5675675675675675,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_000,random_128_bit_hex,raw_subword_rank_pressure,18,242.38888888888889,80.0,1079.9999999999995,1335,0.3333333333333333,0.3333333333333333,0.5,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_001,random_128_bit_hex,raw_subword_rank_pressure,20,4743.75,36.0,5129.850000000066,93116,0.3,0.4,0.55,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_002,random_128_bit_hex,raw_subword_rank_pressure,16,1881.5,123.5,7124.0,24701,0.25,0.3125,0.4375,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_003,random_128_bit_hex,raw_subword_rank_pressure,20,5003.45,16.0,14058.550000000056,87998,0.45,0.5,0.6,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_128_bit_hex_004,random_128_bit_hex,raw_subword_rank_pressure,16,6895.75,162.0,27333.25,105811,0.1875,0.1875,0.4375,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_000,random_256_bit_hex,raw_subword_rank_pressure,38,551.921052631579,32.0,989.55,16522,0.3684210526315789,0.39473684210526316,0.6578947368421053,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_001,random_256_bit_hex,raw_subword_rank_pressure,37,292.5405405405405,36.0,730.3999999999972,6202,0.32432432432432434,0.40540540540540543,0.6216216216216216,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_002,random_256_bit_hex,raw_subword_rank_pressure,39,400.0769230769231,8.0,1143.7000000000005,8719,0.5128205128205128,0.5641025641025641,0.7435897435897436,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_003,random_256_bit_hex,raw_subword_rank_pressure,40,176.025,15.0,731.2499999999995,2782,0.375,0.525,0.7,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_random_256_bit_hex_004,random_256_bit_hex,raw_subword_rank_pressure,37,2918.675675675676,16.0,3306.7999999999547,87998,0.40540540540540543,0.5135135135135135,0.5945945945945946,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_000,nonce_96_bit_hex,raw_subword_rank_pressure,15,6570.533333333334,31.0,30143.299999999905,93116,0.4,0.4666666666666667,0.6666666666666666,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_001,nonce_96_bit_hex,raw_subword_rank_pressure,13,931.6153846153846,64.0,4074.7999999999893,8561,0.23076923076923078,0.23076923076923078,0.5384615384615384,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_002,nonce_96_bit_hex,raw_subword_rank_pressure,14,8100.428571428572,32.0,39511.59999999996,111178,0.2857142857142857,0.35714285714285715,0.6428571428571429,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_003,nonce_96_bit_hex,raw_subword_rank_pressure,17,77.17647058823529,10.0,323.59999999999997,382,0.4117647058823529,0.5882352941176471,0.7647058823529411,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_nonce_96_bit_hex_004,nonce_96_bit_hex,raw_subword_rank_pressure,13,9221.461538461539,39.0,49603.59999999987,105811,0.23076923076923078,0.38461538461538464,0.5384615384615384,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_000,uuid_v4_like,raw_subword_rank_pressure,24,88.66666666666667,11.5,237.49999999999997,1022,0.4166666666666667,0.5833333333333334,0.75,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_001,uuid_v4_like,raw_subword_rank_pressure,27,84.81481481481481,10.0,618.5999999999996,843,0.4074074074074074,0.6666666666666666,0.8518518518518519,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_002,uuid_v4_like,raw_subword_rank_pressure,22,5209.590909090909,20.5,875.65,111178,0.36363636363636365,0.5,0.5909090909090909,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_003,uuid_v4_like,raw_subword_rank_pressure,24,100.625,9.0,438.45,1142,0.4583333333333333,0.6666666666666666,0.7916666666666666,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_uuid_v4_like_004,uuid_v4_like,raw_subword_rank_pressure,23,5329.565217391304,13.0,29175.599999999955,87998,0.4782608695652174,0.5217391304347826,0.6521739130434783,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_hmac_like_hex_000,hmac_like_hex,raw_subword_rank_pressure,32,394.53125,73.5,1236.35,3603,0.3125,0.34375,0.46875,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_hmac_like_hex_001,hmac_like_hex,raw_subword_rank_pressure,40,198.35,9.5,1164.35,1191,0.5,0.55,0.7,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
paper_hmac_like_hex_002,hmac_like_hex,raw_subword_rank_pressure,30,701.8666666666667,259.5,1789.8499999999967,7370,0.13333333333333333,0.26666666666666666,0.43333333333333335,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,diagnostic baseline only; no cover generation
