payload_name,payload_class,payload_kind,artifact_text_character_length,artifact_text_byte_length,artifact_bit_length_if_known,representation_hint,is_hex_like,is_base64_like,is_structured,seed,notes
paper_sha256_hex_000,sha256_hex,sha256_hex,64,64,256,raw_hex_nibbles,True,False,False,2026053101,SHA-256 digest of a public deterministic string.
paper_sha256_hex_001,sha256_hex,sha256_hex,64,64,256,raw_hex_nibbles,True,False,False,2026053102,SHA-256 digest of a public deterministic string.
paper_sha256_hex_002,sha256_hex,sha256_hex,64,64,256,raw_hex_nibbles,True,False,False,2026053103,SHA-256 digest of a public deterministic string.
paper_sha256_hex_003,sha256_hex,sha256_hex,64,64,256,raw_hex_nibbles,True,False,False,2026053104,SHA-256 digest of a public deterministic string.
paper_sha256_hex_004,sha256_hex,sha256_hex,64,64,256,raw_hex_nibbles,True,False,False,2026053105,SHA-256 digest of a public deterministic string.
paper_random_128_bit_hex_000,random_128_bit_hex,random_hex,32,32,128,raw_hex_nibbles,True,False,False,2026054101,Fixed-seed synthetic 128-bit hex string.
paper_random_128_bit_hex_001,random_128_bit_hex,random_hex,32,32,128,raw_hex_nibbles,True,False,False,2026054102,Fixed-seed synthetic 128-bit hex string.
paper_random_128_bit_hex_002,random_128_bit_hex,random_hex,32,32,128,raw_hex_nibbles,True,False,False,2026054103,Fixed-seed synthetic 128-bit hex string.
paper_random_128_bit_hex_003,random_128_bit_hex,random_hex,32,32,128,raw_hex_nibbles,True,False,False,2026054104,Fixed-seed synthetic 128-bit hex string.
paper_random_128_bit_hex_004,random_128_bit_hex,random_hex,32,32,128,raw_hex_nibbles,True,False,False,2026054105,Fixed-seed synthetic 128-bit hex string.
paper_random_256_bit_hex_000,random_256_bit_hex,random_hex,64,64,256,raw_hex_nibbles,True,False,False,2026055101,Fixed-seed synthetic 256-bit hex string.
paper_random_256_bit_hex_001,random_256_bit_hex,random_hex,64,64,256,raw_hex_nibbles,True,False,False,2026055102,Fixed-seed synthetic 256-bit hex string.
paper_random_256_bit_hex_002,random_256_bit_hex,random_hex,64,64,256,raw_hex_nibbles,True,False,False,2026055103,Fixed-seed synthetic 256-bit hex string.
paper_random_256_bit_hex_003,random_256_bit_hex,random_hex,64,64,256,raw_hex_nibbles,True,False,False,2026055104,Fixed-seed synthetic 256-bit hex string.
paper_random_256_bit_hex_004,random_256_bit_hex,random_hex,64,64,256,raw_hex_nibbles,True,False,False,2026055105,Fixed-seed synthetic 256-bit hex string.
paper_nonce_96_bit_hex_000,nonce_96_bit_hex,nonce_hex,24,24,96,raw_hex_nibbles,True,False,False,2026056101,Fixed-seed synthetic nonce-like hex string.
paper_nonce_96_bit_hex_001,nonce_96_bit_hex,nonce_hex,24,24,96,raw_hex_nibbles,True,False,False,2026056102,Fixed-seed synthetic nonce-like hex string.
paper_nonce_96_bit_hex_002,nonce_96_bit_hex,nonce_hex,24,24,96,raw_hex_nibbles,True,False,False,2026056103,Fixed-seed synthetic nonce-like hex string.
paper_nonce_96_bit_hex_003,nonce_96_bit_hex,nonce_hex,24,24,96,raw_hex_nibbles,True,False,False,2026056104,Fixed-seed synthetic nonce-like hex string.
paper_nonce_96_bit_hex_004,nonce_96_bit_hex,nonce_hex,24,24,96,raw_hex_nibbles,True,False,False,2026056105,Fixed-seed synthetic nonce-like hex string.
paper_uuid_v4_like_000,uuid_v4_like,uuid_v4_like,36,36,128,ascii_bytes_fixed_radix,False,False,True,2026057101,Fixed-seed synthetic UUIDv4-like string.
paper_uuid_v4_like_001,uuid_v4_like,uuid_v4_like,36,36,128,ascii_bytes_fixed_radix,False,False,True,2026057102,Fixed-seed synthetic UUIDv4-like string.
paper_uuid_v4_like_002,uuid_v4_like,uuid_v4_like,36,36,128,ascii_bytes_fixed_radix,False,False,True,2026057103,Fixed-seed synthetic UUIDv4-like string.
paper_uuid_v4_like_003,uuid_v4_like,uuid_v4_like,36,36,128,ascii_bytes_fixed_radix,False,False,True,2026057104,Fixed-seed synthetic UUIDv4-like string.
paper_uuid_v4_like_004,uuid_v4_like,uuid_v4_like,36,36,128,ascii_bytes_fixed_radix,False,False,True,2026057105,Fixed-seed synthetic UUIDv4-like string.
paper_hmac_like_hex_000,hmac_like_hex,hmac_like_hex,64,64,256,raw_hex_nibbles,True,False,False,2026058101,Fixed-seed synthetic HMAC-like tag; no real key or HMAC is used.
paper_hmac_like_hex_001,hmac_like_hex,hmac_like_hex,64,64,256,raw_hex_nibbles,True,False,False,2026058102,Fixed-seed synthetic HMAC-like tag; no real key or HMAC is used.
paper_hmac_like_hex_002,hmac_like_hex,hmac_like_hex,64,64,256,raw_hex_nibbles,True,False,False,2026058103,Fixed-seed synthetic HMAC-like tag; no real key or HMAC is used.
paper_hmac_like_hex_003,hmac_like_hex,hmac_like_hex,64,64,256,raw_hex_nibbles,True,False,False,2026058104,Fixed-seed synthetic HMAC-like tag; no real key or HMAC is used.
