preprocess_schema_version,input_run_identity_sha256,failure_id,trial_id,work_id,source_trial_id,record_type,evidence_status,study_phase,model_id,source_model_id,payload_name,payload_class,protocol_variant,robustness_family,replay_mode,transformation_id,segment_index,failure_category,first_differing_position,expected_token_id,recovered_token_id,expected_rank,recovered_rank,context_sha256,boundary_start_offset,boundary_end_offset,expected_token_length,recovered_token_length,expected_rank_length,recovered_rank_length,execution_error_type,execution_error_message,divergence_fields_availability
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,failure__0b99419a8662bfa2b72de349,revision_v1_smoke_v2__7007bd1bb28be0d016b8,revision_v1_smoke_v2__7007bd1bb28be0d016b8,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,,revision_v1_nonce_96_bit_hex_009,nonce_96_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,1,detokenized_text_retokenization,3,220,14852,15,8,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,8,8,8,8,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__dd6542ec8d39dc64a9f0916c,revision_v1_smoke_v2__278da89291fd2166c876,revision_v1_smoke_v2__278da89291fd2166c876,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_ed25519_signature_base64_015,ed25519_signature_base64,direct_subword_calgacus,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1093,29473,6,29,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,0,74,74,74,74,74,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__8bb9f6ab785b0877b0de8f26,revision_v1_smoke_v2__4adab409ab0acd139202,revision_v1_smoke_v2__4adab409ab0acd139202,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_uuid_v4_013,uuid_v4,nonseg_ascii_b8,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,26326,29473,4,66,1dcb6be56e563467d78a0fbe87351d0fa7de2f0fdc2977c1a3fa5dd057dd3f77,0,96,96,96,96,96,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__e972b15fdd2f491acef8ab38,revision_v1_smoke_v2__6553129685f095c3cb0d,revision_v1_smoke_v2__6553129685f095c3cb0d,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_aes256_gcm_base64_007,aes256_gcm_base64,nonseg_ascii_b16,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1328,29473,7,30,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,0,128,128,128,128,128,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__f411040cebb0a463f256265b,revision_v1_smoke_v2__ac10c1c1482262ea42d5,revision_v1_smoke_v2__ac10c1c1482262ea42d5,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_nonce_96_bit_hex_011,nonce_96_bit_hex,nonseg_hex_nibble_b16,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,4771,29473,15,27,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,0,24,24,24,24,24,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__2e5c165ec02059d501d0cd20,revision_v1_smoke_v2__d994c46cd3b8ee75c35a,revision_v1_smoke_v2__d994c46cd3b8ee75c35a,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_token_128_bit_hex_005,token_128_bit_hex,segmented_hex_single_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1093,29473,5,28,7ccb3b3a7e3bddb2735db4229a5f745117c88468c751e81bbea9549a2003738c,0,8,8,8,8,8,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__00ca8329f7f077556a176c00,revision_v1_smoke_v2__3cf404988748c6dc3a39,revision_v1_smoke_v2__3cf404988748c6dc3a39,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_sha256_hex_003,sha256_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1815,29473,6,16,3affc34964e1720076d7df712bbb987ebd62ccebd749187a7f07bc2dddd5be67,0,8,8,8,8,8,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__108b4220e22d8f33cffb9e32,revision_v1_smoke_v2__efa2da01d4716ff97676,revision_v1_smoke_v2__efa2da01d4716ff97676,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_nonce_96_bit_hex_008,nonce_96_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1083,29473,4,29,fd2bbbc4d105b6ee52af4267aaebc1d4a68ea7222230194ee13d088085f18cd9,0,8,8,8,8,8,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__736bce9a797a2fb192a33d3a,revision_v1_smoke_v2__a378c7c386b74f45bf5f,revision_v1_smoke_v2__a378c7c386b74f45bf5f,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_sha256_hex_000,sha256_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,1163,1401,8,1,34f8969e8af43ba3564e4d2df89885e6c15191c87f09bfcba06f763352929bed,8,16,8,8,8,8,,,recorded
1.0,1f1e1b4c6d9496d13394c494218a2355d92a997551c247042cc8948690d77705,failure__28aa2831f89bea7fd9cee76c,revision_v1_smoke_v2__e3ab5a575fd10301a7b0,revision_v1_smoke_v2__e3ab5a575fd10301a7b0,,rankcloak_trial,exploratory_smoke_not_for_confirmatory_pooling,smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,,revision_v1_token_128_bit_hex_004,token_128_bit_hex,segmented_hex_multi_topic,,detokenized_text_retokenized,unmodified,0,detokenized_text_retokenization,0,4771,29473,15,27,6b565293f4fb5acbcd8a590c84545ab2ca8e8229bdb202c6e71264d3934d4cc6,0,8,8,8,8,8,,,recorded
