preprocess_schema_version,input_run_identity_sha256,evidence_status,evidence_family,study_phase,record_type,trial_id,work_id,source_trial_id,source_record_sha256,transform_work_id,transformation_model_id,transformation_record_sha256,model_id,source_model_id,payload_name,payload_class,payload_split,prompt_id,prompt_category,language,protocol_variant,representation_name,codec_id,alphabet_size_B,segmented,segment_count,segment_size_ranks,token_filter,tail_policy,leadin_tokens,topic_schedule,ablation_factor,ablation_level,robustness_family,replay_mode,transformation_id,mitigation_id,exact_recovery,H_bits,artifact_bit_length,serialized_payload_bits,effective_representation_bits_per_full_token,effective_artifact_bits_per_full_token,effective_serialized_bits_per_full_token,effective_payload_rate,forced_token_count,tail_token_count,full_token_count,mean_log_probability,unavailable_fields
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_017,ed25519_signature_base64,train,casual_weekend_chat,casual_conversation,en,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,1,,512,704,,8.39344262295082,11.540983606557377,8.39344262295082,61,0,61,-7.197836233627203,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_017,ed25519_signature_base64,train,casual_weekend_chat,casual_conversation,en,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,detokenized_text_retokenized,unmodified,none,1,,512,704,,8.39344262295082,11.540983606557377,8.39344262295082,61,0,61,-7.197836233627203,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_017,ed25519_signature_base64,train,casual_weekend_chat,casual_conversation,en,direct_subword_calgacus,direct_subword,direct_subword,,False,1,,none,none,0,,,,,greedy_leadin_regeneration,unmodified,none,1,,512,704,,8.39344262295082,11.540983606557377,8.39344262295082,61,0,61,-7.197836233627203,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__7677d78fd5ee2da58694,revision_v1_smoke_v2__7677d78fd5ee2da58694,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_015,uuid_v4,train,professional_project_update,professional_communication,en,nonseg_ascii_b8,ascii_b8,ascii_b8,8,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,1,288,128,288,3.0,1.3333333333333333,3.0,1.3333333333333333,96,0,96,-3.4775246579349113,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__7677d78fd5ee2da58694,revision_v1_smoke_v2__7677d78fd5ee2da58694,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_015,uuid_v4,train,professional_project_update,professional_communication,en,nonseg_ascii_b8,ascii_b8,ascii_b8,8,False,1,,none,none,0,,,,,detokenized_text_retokenized,unmodified,none,1,288,128,288,3.0,1.3333333333333333,3.0,1.3333333333333333,96,0,96,-3.4775246579349113,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__7677d78fd5ee2da58694,revision_v1_smoke_v2__7677d78fd5ee2da58694,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_015,uuid_v4,train,professional_project_update,professional_communication,en,nonseg_ascii_b8,ascii_b8,ascii_b8,8,False,1,,none,none,0,,,,,greedy_leadin_regeneration,unmodified,none,1,288,128,288,3.0,1.3333333333333333,3.0,1.3333333333333333,96,0,96,-3.4775246579349113,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__ecf51dd8135380646c6b,revision_v1_smoke_v2__ecf51dd8135380646c6b,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_009,aes256_gcm_base64,train,forum_practical_answer,forum_question_answer,en,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,1,512,384,512,4.0,3.0,4.0,3.0,128,0,128,-3.9873135176982855,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__ecf51dd8135380646c6b,revision_v1_smoke_v2__ecf51dd8135380646c6b,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_009,aes256_gcm_base64,train,forum_practical_answer,forum_question_answer,en,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,detokenized_text_retokenized,unmodified,none,1,512,384,512,4.0,3.0,4.0,3.0,128,0,128,-3.9873135176982855,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__ecf51dd8135380646c6b,revision_v1_smoke_v2__ecf51dd8135380646c6b,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_009,aes256_gcm_base64,train,forum_practical_answer,forum_question_answer,en,nonseg_ascii_b16,ascii_b16,ascii_b16,16,False,1,,none,none,0,,,,,greedy_leadin_regeneration,unmodified,none,1,512,384,512,4.0,3.0,4.0,3.0,128,0,128,-3.9873135176982855,
1.0,4f3a9aa7782ecec7f3c9cfe49e8687a8a838def89ffd037934e35eba37a18f96,exploratory_smoke_not_for_confirmatory_pooling,exploratory,smoke_v2_exploratory,rankcloak_trial,revision_v1_smoke_v2__5255c624c13021e199da,revision_v1_smoke_v2__5255c624c13021e199da,,,,,,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,train,procedure_simple_meal,recipe_procedure,en,nonseg_hex_nibble_b16,hex_nibble,hex_nibble,16,False,1,,none,none,0,,,,,saved_token_ids,unmodified,none,1,256,256,512,4.0,4.0,8.0,4.0,64,0,64,-4.408034335083492,
