dimension,level,row_count,positive_count,negative_count,roc_auc,partial_auc_fpr_0_01,partial_auc_unavailable_reason,tpr_at_main_threshold_fpr_0_01,tpr_at_main_threshold_fpr_0_01_ci_low_95,tpr_at_main_threshold_fpr_0_01_ci_high_95,fpr_at_main_threshold_fpr_0_01,fpr_at_main_threshold_fpr_0_01_ci_low_95,fpr_at_main_threshold_fpr_0_01_ci_high_95,low_fpr_0_01_unavailable_reason,tpr_at_main_threshold_fpr_0_001,fpr_at_main_threshold_fpr_0_001,low_fpr_0_001_unavailable_reason
codec_id,direct_subword_calgacus,594,297,297,1.0,1.0,,1.0,0.9872309526893243,0.9999999999999999,0.0,0.0,0.012769047310675656,,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b16,594,297,297,1.0,1.0,,1.0,0.9872309526893243,0.9999999999999999,0.003367003367003367,0.0005946062361728496,0.018822460957932597,,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b8,594,297,297,1.0,1.0,,1.0,0.9872309526893243,0.9999999999999999,0.003367003367003367,0.0005946062361728496,0.018822460957932597,,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_hex_nibble_b16,240,120,120,1.0,1.0,,1.0,0.9689808335812966,1.0,0.0,0.0,0.031019166418703486,,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_multi_topic,480,240,240,0.9999652777777778,0.9965277777777778,,1.0,0.9842460800584412,1.0,0.004166666666666667,0.0007358980250827037,0.02322007258362979,,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_single_topic,480,240,240,1.0,1.0,,0.9916666666666667,0.9701302620111081,0.9977117167130258,0.0,0.0,0.015753919941558815,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,aes256_gcm_base64,270,135,135,1.0,1.0,,1.0,0.9723320479824751,1.0,0.0,0.0,0.02766795201752491,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,chacha20_poly1305_base64,270,135,135,1.0,1.0,,1.0,0.9723320479824751,1.0,0.0,0.0,0.02766795201752491,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,ed25519_signature_base64,252,126,126,1.0,1.0,,1.0,0.9704142355178014,0.9999999999999998,0.0,0.0,0.029585764482198452,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,hmac_sha256_hex,432,216,216,1.0,1.0,,1.0,0.9825262312154358,1.0,0.0,0.0,0.01747376878456431,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,nonce_96_bit_hex,480,240,240,0.9999305555555555,0.9930555555555555,,0.9916666666666667,0.9701302620111081,0.9977117167130258,0.008333333333333333,0.0022882832869742277,0.029869737988891937,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,sha256_hex,480,240,240,1.0,1.0,,1.0,0.9842460800584412,1.0,0.0,0.0,0.015753919941558815,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,token_128_bit_hex,528,264,264,0.9999713039485767,0.9971303948576676,,1.0,0.9856577139416427,1.0,0.003787878787878788,0.0006689668486526516,0.02114042310320195,,,,main threshold unavailable or subgroup negative count below 1000
payload_class,uuid_v4,270,135,135,1.0,1.0,,1.0,0.9723320479824751,1.0,0.0,0.0,0.02766795201752491,,,,main threshold unavailable or subgroup negative count below 1000
