detector,detector_label,generation_study,evaluation_id,dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
textcnn,TextCNN,entropy,entropy_gates,gate_level,moderate,226,113,113,16,True,0.982457514292427,0.9673485709366392,0.993400264108832,0.7416399091549848,0.6771221208200917,0.9234131193505302,0.9073792695999146,0.7964601769911505,0.0088495575221238,1.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,gate_level,strict,232,116,116,16,True,0.8849583828775267,0.8379132975681399,0.9294414680064406,0.4137931034482758,0.2834645669291338,0.5784442724458204,0.9073792695999146,0.4310344827586206,0.0172413793103448,2.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,gate_level,ungated,234,117,117,16,True,0.9952516619183286,0.9905910351497051,0.9987368816237472,0.8536050843743151,0.786076388888889,0.9515662430130424,0.9073792695999146,0.8717948717948718,0.0085470085470085,1.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9679447986723732,0.9366259873914008,0.992185059609302,0.7675779544064983,0.6880733944954128,0.9082314609011916,0.9073792695999146,0.7850467289719626,0.0093457943925233,1.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9779166666666668,0.95853396085928,0.9933921580529892,0.6361111111111111,0.5665689392433578,0.9166666666666666,0.9073792695999146,0.6583333333333333,0.025,3.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.936868865193136,0.9055564492433618,0.9643654684792948,0.690064260998517,0.5840975768162681,0.8318602662303858,0.9073792695999146,0.6638655462184874,0.0,0.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,codec_id,direct_subword_calgacus,262,131,131,16,True,0.9607248994813822,0.9267372815426204,0.9835086339243048,0.7077093409474973,0.5877375062182076,0.8462075438899517,0.9073792695999146,0.7251908396946565,0.0076335877862595,1.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,codec_id,nonseg_ascii_b16,288,144,144,16,True,0.953173225308642,0.9207622010030864,0.9778199749228396,0.6847993827160495,0.618041087962963,0.8541666666666666,0.9073792695999146,0.7291666666666666,0.0208333333333333,3.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9583415988891092,0.9365160831643486,0.9820504233147508,0.6619718309859155,0.5416666666666666,0.8750000000000001,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,aes256_gcm_base64,68,34,34,2,True,0.990484429065744,0.9896193771626296,0.9930795847750864,0.9411764705882354,0.9411764705882354,0.9411764705882354,,,,,False,test negatives do not support the requested empirical resolution
