dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
model_id,qwen2_5_7b_instruct_q8_0,384,192,192,96,True,0.9927029079861112,0.9857835557725695,0.9978298611111112,0.75390625,0.6666666666666666,0.9010416666666666,0.6581659317016602,0.9375,0.036458333333333336,7.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_ascii_b16,192,96,96,96,True,0.9958767361111112,0.9890407986111112,0.9998914930555556,0.8541666666666666,0.78125,0.9895833333333335,,,,,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_ascii_b8,192,96,96,96,True,0.9886067708333334,0.9761284722222222,0.9975043402777778,0.6979166666666666,0.6145833333333334,0.9270833333333334,,,,,False,test negatives do not support the requested empirical resolution
payload_class,aes256_gcm_base64,48,24,24,12,True,0.9947916666666666,0.9826388888888888,1.0,0.8750000000000001,0.75,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,chacha20_poly1305_base64,48,24,24,12,True,0.9982638888888888,0.9912760416666666,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,ed25519_signature_base64,48,24,24,12,True,0.9965277777777778,0.9791666666666666,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,hmac_sha256_hex,48,24,24,12,True,0.9982638888888888,0.9895833333333334,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,nonce_96_bit_hex,48,24,24,12,True,0.9791666666666666,0.921875,1.0,0.5,0.2916666666666667,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,sha256_hex,48,24,24,12,True,0.9947916666666666,0.9826388888888888,1.0,0.9166666666666666,0.8333333333333333,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,token_128_bit_hex,48,24,24,12,True,0.9826388888888888,0.9375,1.0,0.5833333333333334,0.375,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,uuid_v4,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
representation_name,ascii_b16,192,96,96,96,True,0.9958767361111112,0.9890407986111112,0.9997829861111112,0.8541666666666666,0.78125,0.9791666666666667,,,,,False,test negatives do not support the requested empirical resolution
representation_name,ascii_b8,192,96,96,96,True,0.9886067708333334,0.9755832248263889,0.9977213541666666,0.6979166666666666,0.6041666666666666,0.9166666666666666,,,,,False,test negatives do not support the requested empirical resolution
