dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
gate_level,moderate,226,113,113,16,True,0.9784634662072206,0.958798271664572,0.9945572118749962,0.687837732007205,0.5675450450450449,0.9423214285714285,0.0008289444376714528,0.8495575221238938,0.017699115044247787,2.0,False,test negatives do not support the requested empirical resolution
gate_level,strict,232,116,116,16,True,0.8893430439952438,0.853727690798289,0.9311784757730703,0.3483947681331748,0.24405273204485803,0.5697836643232865,0.0008289444376714528,0.49137931034482757,0.02586206896551724,3.0,False,test negatives do not support the requested empirical resolution
gate_level,ungated,234,117,117,16,True,0.9998538972897947,0.9986143428867829,1.0,0.9853897289794725,0.947356776897997,1.0,0.0008289444376714528,1.0,0.008547008547008548,1.0,False,test negatives do not support the requested empirical resolution
model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9734474626604943,0.9488175005435849,0.9914298497717026,0.7476635514018691,0.6666666666666666,0.9081656056918179,0.0008289444376714528,0.8317757009345794,0.037383177570093455,4.0,False,test negatives do not support the requested empirical resolution
model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9788194444444445,0.9629113728696568,0.9927670052323792,0.8347222222222221,0.7863247863247862,0.9263888888888889,0.0008289444376714528,0.775,0.0,0.0,False,test negatives do not support the requested empirical resolution
model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.9579125767954241,0.9374460743446085,0.9801302528490028,0.6722689075630254,0.5912944664031621,0.8517528727107312,0.0008289444376714528,0.7394957983193278,0.01680672268907563,2.0,False,test negatives do not support the requested empirical resolution
codec_id,direct_subword_calgacus,262,131,131,16,True,0.9863644309772158,0.9724830906404981,0.9964734390671107,0.7840452188100927,0.6915937945831386,0.9389371245417394,0.0008289444376714528,0.9007633587786259,0.03816793893129771,5.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_ascii_b16,288,144,144,16,True,0.9496045524691358,0.9232204861111111,0.9702449845679012,0.6327160493827161,0.5276041666666667,0.8134789737654321,0.0008289444376714528,0.6805555555555556,0.006944444444444444,1.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9517952787145407,0.9228571428571428,0.9801311728395061,0.7887323943661971,0.7101449275362319,0.9027777777777779,,,,,False,test negatives do not support the requested empirical resolution
payload_class,aes256_gcm_base64,68,34,34,2,True,0.9801038062283737,0.9757785467128027,0.986159169550173,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,False,test negatives do not support the requested empirical resolution
payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9963269054178145,0.9921875,1.0,0.9696969696969697,0.9375,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,ed25519_signature_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,hmac_sha256_hex,104,52,52,2,True,0.9918639053254438,0.9866863905325444,0.9970414201183432,0.8653846153846154,0.8653846153846154,0.9615384615384616,,,,,False,test negatives do not support the requested empirical resolution
payload_class,nonce_96_bit_hex,104,52,52,2,True,0.9367603550295858,0.9286694101508917,0.944,0.5192307692307693,0.4814814814814814,0.8,,,,,False,test negatives do not support the requested empirical resolution
payload_class,sha256_hex,106,53,53,2,True,0.9807760768956925,0.9807760768956925,0.9866863905325444,0.8490566037735848,0.8490566037735848,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
payload_class,token_128_bit_hex,104,52,52,2,True,0.9378698224852071,0.9260355029585798,0.9467455621301775,0.5769230769230769,0.5769230769230769,0.8076923076923077,,,,,False,test negatives do not support the requested empirical resolution
payload_class,uuid_v4,72,36,36,2,True,0.9683641975308642,0.9537037037037037,0.9845679012345679,0.7222222222222222,0.7222222222222222,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
representation_name,ascii_b16,288,144,144,16,True,0.9496045524691358,0.9247166763117285,0.9698615933641975,0.6327160493827161,0.5277777777777778,0.8183015046296296,0.0008289444376714528,0.6805555555555556,0.006944444444444444,1.0,False,test negatives do not support the requested empirical resolution
representation_name,direct_subword,262,131,131,16,True,0.9863644309772158,0.9731133068850499,0.9964418899864703,0.7840452188100927,0.6934306569343067,0.9366324813235503,0.0008289444376714528,0.9007633587786259,0.03816793893129771,5.0,False,test negatives do not support the requested empirical resolution
representation_name,hex_nibble,142,71,71,8,True,0.9517952787145407,0.9242777102649503,0.9803240740740741,0.7887323943661971,0.7142857142857143,0.9142857142857144,,,,,False,test negatives do not support the requested empirical resolution
