plan_id,model_id,prompt_category,prompt_template_id,sampling_seed,position_count,mean_entropy_bits,median_entropy_bits,execution_seconds,gpu_memory_peak_mib,result_sha256
entropy_calibration__0ad6f74c92567b2773686212,llama3_8b_instruct_q4_k_m,personal_narrative_blog,narrative_small_discovery,6118067511631445923,128,1.335920256454724,1.0562829481246159,6.599193038986414,5279,af790dbea7797deefb7dcd57b88df73857f1c8dd6de14b33dc56a0e89d282a57
entropy_calibration__2aea01aa5d7761231fcfe4d7,llama3_8b_instruct_q4_k_m,professional_communication,professional_project_update,7189625151551814388,128,1.1971913272052295,0.8542996412108657,6.523613279990968,5279,9c2908568a8fc01cd1ae37295c77ffb8d2e02f56780a0157f475a0a3497926d3
entropy_calibration__80bb955db26a545795d0874d,llama3_8b_instruct_q4_k_m,recipe_procedure,procedure_simple_meal,2600332974534561055,128,0.9281395926950173,0.6160996724086201,6.691470389007009,5279,26551ae23f751a709fe42fe0fdde7dbf23a7d8ab3bc4b52843847ddcc5696ced
entropy_calibration__919a506797cb9b9fa478494d,llama3_8b_instruct_q4_k_m,casual_conversation,casual_weekend_chat,1173797280591569269,128,1.2069957796962227,0.7981018985638793,6.571426436988986,5279,75ad8bc58f97aad5c7cf923dcf9c89208951105669fdecb89ca20721f413fa4d
entropy_calibration__efaa80dc7c9fddd882d764d9,llama3_8b_instruct_q4_k_m,forum_question_answer,forum_practical_answer,2937350708176715837,128,0.9683331721881314,0.6366323226441102,6.487484519995633,5279,84c1f8741376303cafaabe1d041dcecd5da1ddff344e1f6a09d37254c9402df4
entropy_calibration__fa6d344d4457058c0ba8d1ae,llama3_8b_instruct_q4_k_m,factual_explanatory,explain_weather_pattern,6811341097367832851,128,1.4416917975138697,0.9885478437317372,6.583621277997736,5279,c012db9d592bcd4c924f68c3c9d11de67f06b6c138beae752b8ec77774732cbc
entropy_calibration__507890906f9d00aef4434fca,mistral_7b_instruct_v0_3_q4_k_m,forum_question_answer,forum_practical_answer,8969124976573129420,128,1.111443394604986,0.9072906428754981,3.791806623004959,4973,2ea72caf1885d1643db71cfc1a32857c0984d8c2b34d78a8d90d25f0db41b7e2
entropy_calibration__7869c7fb260042ac39e49711,mistral_7b_instruct_v0_3_q4_k_m,personal_narrative_blog,narrative_small_discovery,7206173654338654177,128,1.4763770356726216,1.2704536851817458,3.806225234991871,4973,54f85d67c9d27a7bc1eb8efabfc8086f55d3d6730d95477eb9b2328185fa9f0b
entropy_calibration__cbfcfbe4d4f8fd2bb59b6608,mistral_7b_instruct_v0_3_q4_k_m,recipe_procedure,procedure_simple_meal,5776369190702504423,128,1.4109614379543924,1.0048272309166306,3.842024058001698,4973,6ad2728a82bf0197aeecc0d12ef1819836cb0ac3a8aef289b31150e38d18117e
entropy_calibration__d5d8a333d7f4b62c6cd1de86,mistral_7b_instruct_v0_3_q4_k_m,casual_conversation,casual_weekend_chat,6403906849258673348,128,0.89086121978073,0.49197220222161137,3.790096626005834,4973,b9305823743bf21676961ec14be231cac0da90ff89786b252fa625e0dd1c7917
entropy_calibration__dc7ac2a3b33061082dab9525,mistral_7b_instruct_v0_3_q4_k_m,factual_explanatory,explain_weather_pattern,5602874624783559136,128,1.3311418611775938,1.12887560970026,3.818251347998739,4973,d7b9355d30383defab0d9381889c1eb3ded95867e90050e1bdff69db711eded2
entropy_calibration__e6752999888ad0d629a38636,mistral_7b_instruct_v0_3_q4_k_m,professional_communication,professional_project_update,8082300979284258564,128,1.1553168020967397,0.8872899299101646,3.754351335010142,4973,4f2b20d3becd00f0f993c6d59f581fc80e8bd7d2e12d3c74ae40ba9a04b5e1f0
entropy_calibration__6806d05e97be0e7c385f34bb,qwen2_5_7b_instruct_q4_k_m,factual_explanatory,explain_weather_pattern,5420719009127770345,128,1.5222915563597368,1.4604676317117953,7.3000500299967825,4757,5194edac096a7d09f4efbd94be31ecefd285c658fb912237027620f6a5802df8
entropy_calibration__765239335d1f183de91ef3d9,qwen2_5_7b_instruct_q4_k_m,professional_communication,professional_project_update,5907639194774906607,128,1.352114085577607,1.1870981532131364,7.21279329599929,4757,c499ea16eac6328272518cf66c7fd87aca27ca85f56c3550c7e6b44458b0aa4f
entropy_calibration__90c588827d71b084d7a8a653,qwen2_5_7b_instruct_q4_k_m,personal_narrative_blog,narrative_small_discovery,3922900145087801426,128,2.0793959600830614,1.8031426799983719,7.169319818000076,4757,097e3c7c90ba1b3d9cd83393c0e478db1b066bde8ffba6a77e85e1044d90f578
entropy_calibration__ae982080f6120e62177f60b3,qwen2_5_7b_instruct_q4_k_m,casual_conversation,casual_weekend_chat,2568700953782736856,128,2.0768821180288186,2.0278843770745585,7.218734862995916,4757,47a9ce47e2299610f226a2258a0f982e03e7c5d18eb214f986a80dcd64f69746
entropy_calibration__db6474faa0d865d902153cc9,qwen2_5_7b_instruct_q4_k_m,recipe_procedure,procedure_simple_meal,5220039429742791453,128,1.0985001288139635,0.8326733859390734,7.416065452998737,4757,67efe944ab2616fc09ae223f8b9e8c5e82f1a299b3f2322ca1457914df9dcedf
entropy_calibration__e1e24e304f5405231b31dbf3,qwen2_5_7b_instruct_q4_k_m,forum_question_answer,forum_practical_answer,9008156017165014268,128,1.3280832457650054,1.1393584999834743,7.1933464809990255,4757,f6ffaae0adb1725a981197e2c6220beafbedfc285a7c0d03527178a8cd1b5ee0
