plan_id,pairing_unit_id,model_id,base_model,model_revision,quantization,population,label,payload_name,payload_class,payload_split,representation_name,codec_id,reference_q4_pair_id,reference_q4_row_id,prompt_template_id,target_token_count,generated_token_count,sampling_seed,saved_id_exact_payload_recovery,visible_text_exact_payload_recovery,mean_entropy_bits,mean_observed_rank,mean_token_surprisal_nats,mean_rank_pressure_log_probability_gap_nats,tail_rank_frequency_gt_100,text_sha256,execution_seconds,gpu_memory_peak_mib,new_generation_performed,word_count,sentence_count,character_count,flesch_reading_ease_heuristic,flesch_kincaid_grade_heuristic,coleman_liau_index,unique_word_fraction,repeated_bigram_fraction,repeated_trigram_fraction,maximum_identical_word_run,artifact_like_fragment_count,surface_flag_total,tfidf_prompt_similarity
quantization_trial__4ce2f2dcaf76bf28443bc975,quantization_pair__005828552e41d3273d9b1ddd,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_ed25519_signature_base64_027,ed25519_signature_base64,train,ascii_b8,nonseg_ascii_b8,detector_pair__19cd20d088787be8faacad0c,detector_pair__19cd20d088787be8faacad0c__ordinary_control,explain_weather_pattern,235,235,8022330134919874595,,,1.3769639965678337,1.4127659574468086,0.6728283861799185,0.24185210288839137,0.0,14a75682f45acf61cc5f4ca34772d223506caccb173ff291a5c97c3d748e5fd3,9.10890198800189,4757,False,204,12,1058,79.26823529411766,6.426274509803921,6.209411764705877,0.5098039215686274,0.13793103448275867,0.034653465346534684,1,0,1,0.05065655024164594
quantization_trial__5fedd6b05c7a2631430f25f4,quantization_pair__005828552e41d3273d9b1ddd,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_ed25519_signature_base64_027,ed25519_signature_base64,train,ascii_b8,nonseg_ascii_b8,detector_pair__19cd20d088787be8faacad0c,detector_pair__19cd20d088787be8faacad0c__ordinary_control,explain_weather_pattern,235,235,8022330134919874595,,,1.173787613686814,1.348936170212766,0.5526358281673146,0.17570909540703955,0.0,b821b7b1493ada76e8af371f21e686f0c8aa0cc1282bf33d9798011172fe3d6a,24.499239133001538,7753,True,174,14,1032,74.12689655172414,6.007717569786536,8.244597701149427,0.5689655172413793,0.08670520231213874,0.03488372093023251,1,0,0,0.05038482276075581
quantization_trial__2cb1a047e0af75a4fe175603,quantization_pair__006d4012fc6d065b1e6825f3,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,test,ascii_b16,nonseg_ascii_b16,detector_pair__911bc81409d529582b79e10e,detector_pair__911bc81409d529582b79e10e__rankcloak,casual_neighborhood_chat,48,48,1785687985985211629,True,,2.3070702347798213,5.291666666666667,4.409890508795694,3.671209235986074,0.0,8cd1f26ebea8a8890f42102e515463fd13ddafd863df6a9d9da6aeb112bfe380,2.216606335990946,4757,False,43,3,254,64.40294573643413,7.837209302325583,10.304186046511628,0.9767441860465116,0.0,0.0,1,0,1,0.045431348782600814
quantization_trial__5b98d8a88dacd8997377e8d9,quantization_pair__006d4012fc6d065b1e6825f3,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,test,ascii_b16,nonseg_ascii_b16,detector_pair__911bc81409d529582b79e10e,detector_pair__911bc81409d529582b79e10e__rankcloak,casual_neighborhood_chat,48,48,1785687985985211629,True,True,1.6861967264406246,5.291666666666667,5.490390321092053,4.967694163322449,0.0,a94badefe4c5b5a1a7c2811c02e3135d9e9e90821fc03b73115b8f06abe3cfd7,10.884131116996286,7753,True,39,3,246,59.14769230769235,8.23897435897436,12.529230769230772,0.8974358974358975,0.0,0.0,1,0,1,0.035564134300766555
quantization_trial__7b6d8545e4aa825587c93a93,quantization_pair__009dc478bf68a6a7a3e63a0e,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__1af7647459ff35b8a448bed4,detector_pair__1af7647459ff35b8a448bed4__rankcloak,professional_project_update,171,171,2490029207096314956,True,,2.262696864562861,4.146198830409356,3.9245493453783453,3.2693838152969095,0.0,dd1ac901bed1a4c1cba0750914ff80dd4504abe62d46e72db5ed68c90094ac3b,6.70207466899592,4757,False,105,5,759,34.0457142857143,13.727619047619047,12.470476190476191,0.780952380952381,0.019230769230769273,0.0,2,0,10,0.08630429302984967
quantization_trial__39ddd80b5679c5b269ccffcf,quantization_pair__009dc478bf68a6a7a3e63a0e,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__1af7647459ff35b8a448bed4,detector_pair__1af7647459ff35b8a448bed4__rankcloak,professional_project_update,171,171,2490029207096314956,True,False,2.922281113944891,4.146198830409356,3.6149581383652927,2.773565403899254,0.0,9249e1c488fd7b9794bd7eb3096eb982e0ebe219f315fa0f9fbdfe2421d7c035,32.52445608600101,7753,True,110,10,715,64.15545454545457,7.043636363636363,9.519272727272725,0.7545454545454545,0.03669724770642202,0.0,1,0,7,0.0998764904236713
quantization_trial__ad0b48433e87f4bb32e82122,quantization_pair__00a33f20d3f190690a454e60,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_token_128_bit_hex_005,token_128_bit_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__6f71eb9d30a02cb4051a2106,detector_pair__6f71eb9d30a02cb4051a2106__ordinary_control,procedure_home_task,64,64,13640256645170876582,,,1.6606419932653782,1.828125,0.7618352150790612,0.2392701506614685,0.0,e48df3da285c98ae3f94804750c8740df8558d5b89da417268a8ff44d6738000,2.8599681250052527,4757,False,40,6,261,68.93833333333333,5.300000000000004,9.16,0.85,0.0,0.0,1,0,1,0.06293994517254711
quantization_trial__e57ca577772be41e64f18faa,quantization_pair__00a33f20d3f190690a454e60,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_token_128_bit_hex_005,token_128_bit_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__6f71eb9d30a02cb4051a2106,detector_pair__6f71eb9d30a02cb4051a2106__ordinary_control,procedure_home_task,64,64,13640256645170876582,,,1.5250685770004253,1.84375,0.8203419271133637,0.33106379210948944,0.0,c5d95e8e2e9c8b756eeb9d6f7f9b5ad5e6b17bb1d91aac68e9270501406ba1a1,7.666433358986978,7753,True,54,3,340,53.83166666666668,10.222592592592594,12.28222222222222,0.7222222222222222,0.07547169811320753,0.05769230769230771,1,0,1,0.12847134956373357
quantization_trial__1c906be960d9fca58f0d2f94,quantization_pair__00d9b10990909870d6a5d9d1,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_uuid_v4_002,uuid_v4,train,ascii_b16,nonseg_ascii_b16,detector_pair__ee2379fee77b63d9b93437fe,detector_pair__ee2379fee77b63d9b93437fe__ordinary_control,professional_process_email,72,72,9113401467143695058,,,1.3585801777684945,1.7083333333333333,0.7541669087329917,0.33362889289855957,0.0,3b9a1fd35b365f9893330a410d1052bdac44ca0c54e2762d65d3d644545b5e35,3.120615842999541,4757,False,56,4,404,24.935714285714283,13.259285714285717,17.05071428571428,0.7857142857142857,0.07272727272727275,0.05555555555555558,1,0,0,0.05549239923076495
quantization_trial__0dd0e453f54dd93e4c1dcafa,quantization_pair__00d9b10990909870d6a5d9d1,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_uuid_v4_002,uuid_v4,train,ascii_b16,nonseg_ascii_b16,detector_pair__ee2379fee77b63d9b93437fe,detector_pair__ee2379fee77b63d9b93437fe__ordinary_control,professional_process_email,72,72,9113401467143695058,,,1.5415154879475443,2.0277777777777777,0.8958699695601615,0.393494447072347,0.0,dcfcbfc97fc5fdf5068528d46071ca83962103dc10acf1e8a5cb623af7bb9d0d,8.33264861900534,7753,True,59,5,385,50.03427118644069,9.212000000000003,12.287457627118641,0.7627118644067796,0.051724137931034475,0.03508771929824561,1,0,1,0.022425250301542823
