prompt_template_id,selected_human_controls,available
casual_hobby_chat,0,False
casual_neighborhood_chat,1,True
casual_weekend_chat,1,True
explain_biological_process,33,True
explain_everyday_system,3,True
explain_weather_pattern,52,True
forum_learning_answer,58,True
forum_practical_answer,26,True
forum_purchase_advice,29,True
narrative_learning_moment,2,True
narrative_local_walk,2,True
narrative_small_discovery,0,False
procedure_garden_task,8,True
procedure_home_task,11,True
procedure_simple_meal,21,True
professional_process_email,1,True
professional_project_update,1,True
professional_schedule_note,1,True
