dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
gate_level,moderate,226,113,113,16,True,0.982457514292427,0.9673485709366391,0.9934002641088319,0.7416399091549848,0.6771221208200917,0.9234131193505302,0.9073792695999146,0.7964601769911505,0.008849557522123894,1.0,False,test negatives do not support the requested empirical resolution
gate_level,strict,232,116,116,16,True,0.8849583828775267,0.8379132975681399,0.9294414680064406,0.41379310344827586,0.2834645669291338,0.5784442724458204,0.9073792695999146,0.43103448275862066,0.017241379310344827,2.0,False,test negatives do not support the requested empirical resolution
gate_level,ungated,234,117,117,16,True,0.9952516619183286,0.9905910351497051,0.9987368816237471,0.8536050843743151,0.786076388888889,0.9515662430130423,0.9073792695999146,0.8717948717948718,0.008547008547008548,1.0,False,test negatives do not support the requested empirical resolution
model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9679447986723732,0.9366259873914008,0.992185059609302,0.7675779544064983,0.6880733944954128,0.9082314609011917,0.9073792695999146,0.7850467289719626,0.009345794392523364,1.0,False,test negatives do not support the requested empirical resolution
model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9779166666666667,0.9585339608592801,0.9933921580529891,0.6361111111111111,0.5665689392433578,0.9166666666666666,0.9073792695999146,0.6583333333333333,0.025,3.0,False,test negatives do not support the requested empirical resolution
model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.9368688651931361,0.9055564492433618,0.9643654684792949,0.690064260998517,0.5840975768162681,0.8318602662303858,0.9073792695999146,0.6638655462184874,0.0,0.0,False,test negatives do not support the requested empirical resolution
codec_id,direct_subword_calgacus,262,131,131,16,True,0.9607248994813822,0.9267372815426203,0.9835086339243047,0.7077093409474973,0.5877375062182076,0.8462075438899517,0.9073792695999146,0.7251908396946565,0.007633587786259542,1.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_ascii_b16,288,144,144,16,True,0.953173225308642,0.9207622010030865,0.9778199749228395,0.6847993827160495,0.618041087962963,0.8541666666666666,0.9073792695999146,0.7291666666666666,0.020833333333333332,3.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9583415988891093,0.9365160831643486,0.9820504233147508,0.6619718309859155,0.5416666666666666,0.8750000000000001,,,,,False,test negatives do not support the requested empirical resolution
payload_class,aes256_gcm_base64,68,34,34,2,True,0.990484429065744,0.9896193771626297,0.9930795847750865,0.9411764705882354,0.9411764705882354,0.9411764705882354,,,,,False,test negatives do not support the requested empirical resolution
payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9513314967860422,0.8828125,1.0,0.9090909090909091,0.8125,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,ed25519_signature_base64,68,34,34,2,True,0.9714532871972318,0.96875,0.9722222222222222,0.8529411764705882,0.8529411764705882,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
payload_class,hmac_sha256_hex,104,52,52,2,True,0.9767011834319527,0.9497041420118343,1.0,0.7115384615384616,0.6153846153846154,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,nonce_96_bit_hex,104,52,52,2,True,0.9071745562130178,0.879286694101509,0.9344,0.4807692307692308,0.4807692307692308,0.52,,,,,False,test negatives do not support the requested empirical resolution
payload_class,sha256_hex,106,53,53,2,True,0.9362762548949805,0.9275147928994083,0.9423868312757202,0.7924528301886793,0.7777777777777778,0.8076923076923077,,,,,False,test negatives do not support the requested empirical resolution
payload_class,token_128_bit_hex,104,52,52,2,True,0.9663461538461539,0.9541420118343196,0.9896449704142012,0.5,0.5,0.7692307692307693,,,,,False,test negatives do not support the requested empirical resolution
payload_class,uuid_v4,72,36,36,2,True,0.9629629629629629,0.9598765432098766,0.9783950617283951,0.7222222222222222,0.7222222222222222,0.7777777777777778,,,,,False,test negatives do not support the requested empirical resolution
representation_name,ascii_b16,288,144,144,16,True,0.953173225308642,0.9217291184413581,0.9789279513888889,0.6847993827160495,0.625,0.8541666666666666,0.9073792695999146,0.7291666666666666,0.020833333333333332,3.0,False,test negatives do not support the requested empirical resolution
representation_name,direct_subword,262,131,131,16,True,0.9607248994813822,0.9280846616832916,0.983086863770206,0.7077093409474973,0.5894750869711592,0.8475457017480826,0.9073792695999146,0.7251908396946565,0.007633587786259542,1.0,False,test negatives do not support the requested empirical resolution
representation_name,hex_nibble,142,71,71,8,True,0.9583415988891093,0.9365106129736164,0.9810222899344923,0.6619718309859155,0.5416666666666666,0.8732394366197183,,,,,False,test negatives do not support the requested empirical resolution
