human_row_id,candidate_id,prompt_template_id,matched_rankcloak_test_row_id,human_word_count,rankcloak_word_count,relative_word_difference,human_character_count,rankcloak_character_count,matching_cost
human-HC-021b0f4686309c2536d69781,HC-021b0f4686309c2536d69781,forum_purchase_advice,detector_pair__507868206d26c9e9da8c965e__rankcloak,145,146,0.00684931506849315,812,819,0.008986067205245286
human-HC-038180638a5bf28e58b63ddf,HC-038180638a5bf28e58b63ddf,procedure_simple_meal,detector_pair__bed816390b441be323b23851__rankcloak,89,91,0.02197802197802198,487,584,0.06350199458076171
human-HC-0431965f909fc3cddd6ce444,HC-0431965f909fc3cddd6ce444,forum_purchase_advice,detector_pair__e3956493695288a49ad3ec85__rankcloak,120,118,0.01694915254237288,742,713,0.027117455487674424
human-HC-046b9118f98d827ad0f1d6ba,HC-046b9118f98d827ad0f1d6ba,explain_weather_pattern,detector_pair__e7906571f45dfacb0ff1b727__rankcloak,63,57,0.10526315789473684,367,350,0.11740601503759399
human-HC-069d238d66a9eeeba9d2d40d,HC-069d238d66a9eeeba9d2d40d,explain_biological_process,detector_pair__66e77a8949cb65a2fcb9117d__rankcloak,191,185,0.032432432432432434,1218,1311,0.05016698620817614
human-HC-07b5355dbbd1594e72d2a8fa,HC-07b5355dbbd1594e72d2a8fa,procedure_home_task,detector_pair__73f79a661bcf8e68cfb027a7__rankcloak,214,190,0.12631578947368421,1200,1207,0.12776566519862206
human-HC-07daa8dadda9beaddc4a04a0,HC-07daa8dadda9beaddc4a04a0,explain_weather_pattern,detector_pair__e3d658ac9575744fff4a83fd__rankcloak,63,55,0.14545454545454545,359,303,0.19165916591659166
human-HC-08e46c6a998888b056200ef1,HC-08e46c6a998888b056200ef1,procedure_garden_task,detector_pair__250961ce23995ba0520bf69f__rankcloak,96,93,0.03225806451612903,505,501,0.034254072500160965
human-HC-0a3253fec12462ee13068ebd,HC-0a3253fec12462ee13068ebd,procedure_simple_meal,detector_pair__4b6fd7d33325d1af64b6df6e__rankcloak,106,106,0.0,515,612,0.039624183006535946
human-HC-0b0b827bf2f1c8b15522741c,HC-0b0b827bf2f1c8b15522741c,forum_practical_answer,detector_pair__32af6a459be7829fcdec14eb__rankcloak,101,75,0.3466666666666667,579,421,0.4404908946951702
human-HC-0b4f9630a4d1feed9bae13aa,HC-0b4f9630a4d1feed9bae13aa,procedure_simple_meal,detector_pair__008acd613f71361c751f07f9__rankcloak,124,116,0.06896551724137931,640,657,0.07543431480606728
human-HC-0c1e20a94a4d33b18de719e7,HC-0c1e20a94a4d33b18de719e7,casual_weekend_chat,detector_pair__c4a0112b477051bab289c7cf__rankcloak,128,132,0.030303030303030304,691,703,0.03457045562308721
human-HC-10f519df3739cd363ba302f5,HC-10f519df3739cd363ba302f5,explain_weather_pattern,detector_pair__e95ebeca184d6807ecf6d8c3__rankcloak,160,157,0.01910828025477707,909,929,0.024490411578781374
human-HC-17a152c36ae9d67930756877,HC-17a152c36ae9d67930756877,explain_biological_process,detector_pair__e956dcb397bfabace5d52372__rankcloak,72,71,0.014084507042253521,415,451,0.034040161144249084
human-HC-18691d3da3a87cf99e458a56,HC-18691d3da3a87cf99e458a56,procedure_simple_meal,detector_pair__a50df9e0d5ab03687e27dd92__rankcloak,255,222,0.14864864864864866,1490,1396,0.1654824595369008
human-HC-188541d115c12b82459dc44f,HC-188541d115c12b82459dc44f,forum_learning_answer,detector_pair__cd5ff0c3f4e7a39ac500fae3__rankcloak,57,49,0.16326530612244897,320,320,0.16326530612244897
human-HC-18a9206dc88fc8aeb9b45071,HC-18a9206dc88fc8aeb9b45071,forum_learning_answer,detector_pair__61dcafbdce9dd72dd9a99520__rankcloak,58,54,0.07407407407407407,301,296,0.07829704704704704
human-HC-197eaa9bf81ecbc808021335,HC-197eaa9bf81ecbc808021335,forum_learning_answer,detector_pair__26a37a9dca2e0a4b556436ae__rankcloak,207,207,0.0,1218,1207,0.0022783761391880694
human-HC-1ba487cb4bf0b6bec1d5d88b,HC-1ba487cb4bf0b6bec1d5d88b,procedure_garden_task,detector_pair__0460d90cbae06b8019b32202__rankcloak,231,207,0.11594202898550725,1312,1069,0.17277084095931455
human-HC-1bf66d2decc4d3a48e2a5641,HC-1bf66d2decc4d3a48e2a5641,explain_biological_process,detector_pair__1689181db629533374840ac0__rankcloak,57,57,0.0,347,402,0.034203980099502485
human-HC-1e098fbffac0f6bf329b7e9e,HC-1e098fbffac0f6bf329b7e9e,forum_learning_answer,detector_pair__2e9fc979ac7d2444f237c8a9__rankcloak,62,61,0.01639344262295082,396,354,0.046054459572103364
human-HC-1e9deb7fb191adcc29bde789,HC-1e9deb7fb191adcc29bde789,forum_learning_answer,detector_pair__8fc17e215306690a2bff1ee5__rankcloak,62,57,0.08771929824561403,355,340,0.09874871001031992
human-HC-1eacc38a913aff9089dcdbcb,HC-1eacc38a913aff9089dcdbcb,explain_biological_process,detector_pair__c3033216405bc81e429b4d30__rankcloak,140,134,0.04477611940298507,851,847,0.04595675694725898
human-HC-200b717ca65ce52fad970b20,HC-200b717ca65ce52fad970b20,forum_learning_answer,detector_pair__96e724d909bcbe68ef34b0b0__rankcloak,63,55,0.14545454545454545,320,323,0.14777652687869405
