experimental_cell_id,model_id,payload_name,payload_class,representation_name,prompt_template_id,gate_level,generated_token_count_difference_vs_ungated,mean_entropy_bits_difference_vs_ungated,mean_observed_rank_difference_vs_ungated,mean_token_surprisal_nats_difference_vs_ungated,mean_rank_pressure_log_probability_gap_nats_difference_vs_ungated,word_count_difference_vs_ungated,unique_word_fraction_difference_vs_ungated,repeated_bigram_fraction_difference_vs_ungated,surface_flag_total_difference_vs_ungated
entropy_cell__03011b206b32e8b180b51485,qwen2_5_7b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,ascii_b16,professional_project_update,moderate,99.0,-0.735491538566901,-2.432165473568282,-2.3027086277764064,-2.115406448374367,63.0,0.014257161892071935,0.01273885350318471,-7.0
entropy_cell__0335e08e2f5515b25f2c8056,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,moderate,60.0,-1.2534021753226563,-1.336436170212766,-1.3346236285389481,-0.9585712369769177,31.0,0.054867827208252784,-0.03669724770642202,-1.0
entropy_cell__04e7bae442e43b8a636c4efb,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,direct_subword,explain_everyday_system,moderate,9.0,-1.510576189396314,-18.839788732394368,-0.65806356252084,-0.3246318287622758,13.0,-0.023255813953488413,0.0,0.0
entropy_cell__06d61f218130f514968491b2,llama3_8b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,hex_nibble,professional_project_update,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy_cell__08436728edee9a4933afa8a3,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_token_128_bit_hex_041,token_128_bit_hex,direct_subword,professional_project_update,moderate,17.0,-1.5997162737927912,-90.0464767616192,-2.5246465384786863,-2.1469672401805684,11.0,-0.07999999999999996,0.0,2.0
entropy_cell__08e774099c80c362fca9ceeb,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,direct_subword,explain_everyday_system,moderate,19.0,-1.4178334409411852,-8.929263565891471,-2.2587638803463332,-1.8940875308458196,13.0,-0.051820728291316565,0.030303030303030276,0.0
entropy_cell__0c8624354e1103337d66b559,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,hex_nibble,professional_project_update,moderate,97.0,-0.6385578283776836,-4.12985248447205,-3.9744268714054636,-3.8027237550072046,67.0,-0.15689223057644108,0.019230769230769273,0.0
entropy_cell__0cea944272901ade48621f2e,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,direct_subword,explain_everyday_system,moderate,12.0,-1.037571702079005,-53.50240384615387,-1.2898477853813963,-1.1249567286756177,6.0,0.05782526712759262,0.0,1.0
entropy_cell__0f03b82c211786547e7a521c,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_003,aes256_gcm_base64,direct_subword,explain_everyday_system,moderate,1.0,-0.3378098808147474,-26.876040703052695,-0.07522288271407263,0.15890578893904994,-4.0,-0.004464285714285698,0.0,3.0
entropy_cell__0fab5761cf96009ae2efab1c,llama3_8b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,ascii_b16,explain_everyday_system,moderate,15.0,-0.6556057701820532,-0.9821428571428568,-0.8440403778414116,-0.6952455138403275,7.0,-0.059714795008912636,0.09674418604651158,0.0
entropy_cell__1000123ba320c3d53f1f1026,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,direct_subword,professional_project_update,moderate,18.0,-1.0414706818435149,-8.487499999999999,-1.7947224226244383,-1.5365539709726965,7.0,-0.1071428571428571,0.0,-1.0
entropy_cell__110d5642d345cd2c14e690d0,llama3_8b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,direct_subword,explain_everyday_system,moderate,1.0,-0.15104472743940622,-23.36859903381628,-0.1940155103616572,-0.11813289307165853,-1.0,-0.0015384615384615996,0.0,1.0
entropy_cell__12000d20795c9cd584e37de4,qwen2_5_7b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,direct_subword,professional_project_update,moderate,21.0,-0.6637135135496539,-11.371951219512194,-3.4920277428566298,-3.382968958412729,11.0,-0.03703703703703709,0.0,1.0
entropy_cell__12454c19b2402e288bb8a4fa,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,direct_subword,explain_everyday_system,moderate,8.0,0.09243861190769298,-3.919576719576721,-2.0708113856173536,-2.1126278564412755,14.0,-0.004166666666666652,0.0,0.0
entropy_cell__1336ee0f01e5c8705f007dcc,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,hex_nibble,explain_everyday_system,moderate,39.0,-0.9438301872939843,-3.1259101941747574,-1.849579219043691,-1.5414877946226344,29.0,-0.003030303030302939,0.017626059794734528,0.0
entropy_cell__13eb148607b601d0afde2eb0,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,direct_subword,professional_project_update,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy_cell__171971410ac6ecb2afb4f08e,qwen2_5_7b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,direct_subword,professional_project_update,moderate,49.0,-1.2919858221052176,-143.68933873144402,-3.513524465916679,-3.205987082737499,42.0,-0.24242424242424243,0.20270270270270274,17.0
entropy_cell__1928b7d94276d3a805de007d,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_token_128_bit_hex_041,token_128_bit_hex,ascii_b16,professional_project_update,moderate,26.0,-0.9114832602075009,-1.2979166666666666,-1.3296763089902588,-1.1770372211933138,4.0,0.03210857332009265,0.016483516483516425,-1.0
