dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
gate_level,moderate,226,113,113,16,True,0.9999216853316626,0.9995763011086788,1.0,0.9921685331662621,0.9756047580967613,1.0,0.44431123020880314,0.9380530973451328,0.0,0.0,False,test negatives do not support the requested empirical resolution
gate_level,strict,232,116,116,16,True,0.9904131985731273,0.9832753125237671,0.9962673733869004,0.7844827586206896,0.7118619513090861,0.905623565994445,0.44431123020880314,0.6551724137931034,0.0,0.0,False,test negatives do not support the requested empirical resolution
gate_level,ungated,234,117,117,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.44431123020880314,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9969429644510438,0.9917224234090768,1.0,0.9538824351471743,0.9224117007030465,1.0,0.44431123020880314,0.9158878504672897,0.0,0.0,False,test negatives do not support the requested empirical resolution
model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9996527777777777,0.9989772810285631,1.0,0.9847222222222223,0.9666666666666667,1.0,0.44431123020880314,0.8666666666666667,0.0,0.0,False,test negatives do not support the requested empirical resolution
model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.997810889061507,0.994624,0.9998587670362262,0.9425181837440857,0.9171200543907285,0.9915983893557424,0.44431123020880314,0.8151260504201681,0.0,0.0,False,test negatives do not support the requested empirical resolution
codec_id,direct_subword_calgacus,262,131,131,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.44431123020880314,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_ascii_b16,288,144,144,16,True,0.9962384259259259,0.9924768518518519,0.9989872685185185,0.9166666666666666,0.8680555555555556,0.9743441358024691,0.44431123020880314,0.7430555555555556,0.0,0.0,False,test negatives do not support the requested empirical resolution
codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9982146399523903,0.9930555555555556,1.0,0.9577464788732394,0.9142857142857144,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,aes256_gcm_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9981634527089073,0.9981634527089073,1.0,0.9696969696969697,0.9696969696969697,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,ed25519_signature_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,hmac_sha256_hex,104,52,52,2,True,0.9955621301775148,0.9911242603550295,1.0,0.8846153846153846,0.8846153846153846,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,nonce_96_bit_hex,104,52,52,2,True,0.992603550295858,0.9849108367626886,1.0,0.8461538461538461,0.8148148148148148,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,sha256_hex,106,53,53,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,token_128_bit_hex,104,52,52,2,True,0.992603550295858,0.992603550295858,1.0,0.9230769230769231,0.9230769230769231,1.0,,,,,False,test negatives do not support the requested empirical resolution
payload_class,uuid_v4,72,36,36,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
representation_name,ascii_b16,288,144,144,16,True,0.9962384259259259,0.9924768518518519,0.9988920235339506,0.9166666666666666,0.8673562885802469,0.9722222222222222,0.44431123020880314,0.7430555555555556,0.0,0.0,False,test negatives do not support the requested empirical resolution
representation_name,direct_subword,262,131,131,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.44431123020880314,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
representation_name,hex_nibble,142,71,71,8,True,0.9982146399523903,0.9930555555555556,1.0,0.9577464788732394,0.9154929577464789,1.0,,,,,False,test negatives do not support the requested empirical resolution
