pairing_unit_id,experimental_cell_id,model_id,payload_name,payload_class,representation_name,prompt_template_id,gate_level,generated_token_count_rankcloak_minus_control,mean_entropy_bits_rankcloak_minus_control,mean_observed_rank_rankcloak_minus_control,mean_token_surprisal_nats_rankcloak_minus_control,mean_rank_pressure_log_probability_gap_nats_rankcloak_minus_control,word_count_rankcloak_minus_control,sentence_count_rankcloak_minus_control,character_count_rankcloak_minus_control,flesch_reading_ease_heuristic_rankcloak_minus_control,flesch_kincaid_grade_heuristic_rankcloak_minus_control,coleman_liau_index_rankcloak_minus_control,unique_word_fraction_rankcloak_minus_control,repeated_bigram_fraction_rankcloak_minus_control,repeated_trigram_fraction_rankcloak_minus_control,maximum_identical_word_run_rankcloak_minus_control,surface_flag_total_rankcloak_minus_control,artifact_like_fragment_count_rankcloak_minus_control,tfidf_prompt_similarity_rankcloak_minus_control
entropy_pair__08e6fc1cfe597cd4dc936e53,entropy_cell__28bc8b68131496e874076ac6,qwen2_5_7b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,ascii_b16,professional_project_update,moderate,0.0,1.0583299447241985,3.7175572519083975,2.146899959257526,1.8636421429291938,-11.0,-3.0,-82.0,-4.804102870813409,1.433104351788561,-0.3243806485911662,0.0861244019138756,-0.04780847325263571,-0.009661835748792313,0.0,0.0,0.0,-0.08592025384083475
entropy_pair__094d0a6a9e70240fd5f2a526,entropy_cell__41ea9a1f25db34b530208735,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,direct_subword,professional_project_update,moderate,0.0,3.1342340370808053,151.77419354838707,5.599174262621252,4.674350876961984,6.0,-1.0,57.0,-27.24573529411765,6.408725490196076,3.664156862745095,0.0771241830065359,-0.022727272727272707,0.0,0.0,2.0,0.0,-0.0696452279009441
entropy_pair__097afe982d5a168f4cc1ac89,entropy_cell__d63182be4c76bdb0ac8fcfc7,llama3_8b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,hex_nibble,explain_everyday_system,moderate,0.0,1.7804404678357095,5.615384615384615,2.7251957159392304,2.2281728891225963,-7.0,1.0,-21.0,-8.453876811594228,-0.3528260869565223,3.4791304347826078,0.048913043478260865,-0.09090909090909094,-0.04761904761904767,0.0,2.0,0.0,-0.008564901807443135
entropy_pair__09ae491eb9fb1c55b932e028,entropy_cell__f070dd393511fbef8a691345,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,direct_subword,explain_everyday_system,moderate,0.0,1.1372192189073866,20.5,3.930939478150545,3.542813460032145,3.0,-1.0,7.0,-0.45416666666667993,4.162407407407411,-0.2531851851851812,0.19259259259259265,-0.11538461538461542,-0.040000000000000036,0.0,0.0,0.0,0.013113395564127994
entropy_pair__0abc7f9f2d4a4b2c15fbfd9c,entropy_cell__34cac1c7e06c8bc48af18b30,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,ascii_b16,professional_project_update,moderate,0.0,0.6976308028495974,2.2588235294117647,2.13983372452861,1.9464131860172047,-19.0,2.0,-72.0,-0.501689712968755,-1.6217000389093421,0.9530232558139566,0.15079614498219152,-0.03300382653061229,-0.006849315068493178,0.0,0.0,0.0,-0.03525141896699592
entropy_pair__0ac8e00ac54085e7fccf28c0,entropy_cell__81740ba481e5b96ea0798816,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,hex_nibble,explain_everyday_system,moderate,0.0,1.8516443270592173,5.6575342465753415,2.939709210758683,2.517148148523618,-12.0,1.0,-58.0,12.744057471264355,-2.7546896551724096,-3.3367316341829074,0.045727136431784166,0.0,0.0,1.0,9.0,0.0,-0.08098833079190607
entropy_pair__0b622b0d8b62225cf841a464,entropy_cell__f9378ca54784850816308c9d,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,direct_subword,explain_everyday_system,moderate,0.0,0.5234721935915478,7.198113207547169,2.1906832943051797,2.0651193114946476,-12.0,-3.0,-12.0,-34.42280917874399,9.347520665593137,5.719269994632313,0.2726784755770263,-0.14779411764705885,-0.07594936708860756,0.0,2.0,0.0,-0.029589080891749185
entropy_pair__0c118f90599e018c894231da,entropy_cell__13eb148607b601d0afde2eb0,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,direct_subword,professional_project_update,moderate,0.0,6.20907372539173,441.54347826086956,6.657632969792188,4.959219061810037,5.0,-2.0,76.0,-66.19686602870814,15.94068580542265,8.467177033492828,0.1331738437001595,-0.125,-0.06451612903225812,0.0,0.0,0.0,-0.05006771434541804
entropy_pair__0da95acef5bd40fcc6c958e6,entropy_cell__6736300e0935939437e24158,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,ascii_b16,explain_everyday_system,moderate,0.0,4.299165882534856,5.129943502824858,3.335535555993062,2.2779988973154186,-44.0,8.0,-252.0,29.664649725274728,-5.5899702380952405,-10.133749999999996,-0.12090773809523814,0.045441608955507085,0.004258614014711615,2.0,26.0,0.0,-0.015414470441288207
entropy_pair__0df93738d2f3177a96f1f87c,entropy_cell__423d71db858ad3052cb1801f,qwen2_5_7b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,direct_subword,professional_project_update,moderate,0.0,3.1956604994592,602.3617021276596,6.768092251443434,5.9565507452538675,-7.0,-2.0,-55.0,1.3904807692307486,4.526185897435898,-3.5622115384615434,0.0657051282051282,-0.02631578947368418,0.0,0.0,0.0,0.0,-0.08135420799753587
