pairing_unit_id,payload_name,payload_class,payload_split,representation_name,codec_id,prompt_template_id,target_token_count,q4_saved_id_exact_payload_recovery,q8_saved_id_exact_payload_recovery,q4_visible_text_exact_payload_recovery,q8_visible_text_exact_payload_recovery,visible_recovery_q8_minus_q4,both_visible_recover,q4_only_visible_recover,q8_only_visible_recover,neither_visible_recovers,q4_visible_full_token_ids_match,q8_visible_full_token_ids_match,q4_model_rank_replay_performed,q4_retokenized_token_count,q8_retokenized_token_count
quantization_pair__006d4012fc6d065b1e6825f3,revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,test,ascii_b16,nonseg_ascii_b16,casual_neighborhood_chat,48,True,True,True,True,0,True,False,False,False,True,True,False,48,48
quantization_pair__009dc478bf68a6a7a3e63a0e,revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,train,ascii_b8,nonseg_ascii_b8,professional_project_update,171,True,True,True,False,-1,False,True,False,False,True,False,False,171,170
quantization_pair__0121d88052358713db3a6157,revision_v1_aes256_gcm_base64_047,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,explain_everyday_system,128,True,True,True,False,-1,False,True,False,False,True,False,False,128,127
quantization_pair__0166ee1870f36e77f72fa4a4,revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,train,ascii_b16,nonseg_ascii_b16,casual_hobby_chat,48,True,True,True,True,0,True,False,False,False,True,True,False,48,48
quantization_pair__016d3578d4474508e87dbf1b,revision_v1_hmac_sha256_hex_054,hmac_sha256_hex,test,ascii_b16,nonseg_ascii_b16,forum_learning_answer,128,True,True,True,True,0,True,False,False,False,True,True,False,128,128
quantization_pair__0172152fdeb6a84b919bff38,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,casual_weekend_chat,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__020811a7b4de135b164f2cf1,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,explain_weather_pattern,128,True,True,True,False,-1,False,True,False,False,True,False,False,128,127
quantization_pair__020d7e9e053fbbff511d8ba5,revision_v1_nonce_96_bit_hex_045,nonce_96_bit_hex,validation,ascii_b8,nonseg_ascii_b8,casual_hobby_chat,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__0254e52ed7e1135d5f90fc94,revision_v1_sha256_hex_014,sha256_hex,train,ascii_b16,nonseg_ascii_b16,procedure_simple_meal,128,True,True,True,True,0,True,False,False,False,True,True,False,128,128
quantization_pair__02841fd46e9ab9792323be3e,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,train,ascii_b16,nonseg_ascii_b16,professional_process_email,128,True,True,False,True,1,False,False,True,False,False,True,True,127,128
quantization_pair__028b5edc7f7c2ec4d88dd89e,revision_v1_nonce_96_bit_hex_011,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,forum_purchase_advice,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__028c9d253f628c3e947ab9e5,revision_v1_token_128_bit_hex_008,token_128_bit_hex,train,ascii_b16,nonseg_ascii_b16,casual_neighborhood_chat,64,True,True,True,False,-1,False,True,False,False,True,False,False,64,63
quantization_pair__02dbd914251476e6b35ae113,revision_v1_nonce_96_bit_hex_029,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,forum_purchase_advice,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__02fedf475989976cf9bd67c6,revision_v1_ed25519_signature_base64_013,ed25519_signature_base64,train,ascii_b16,nonseg_ascii_b16,procedure_home_task,176,True,True,False,True,1,False,False,True,False,False,True,True,175,176
quantization_pair__03101d477b4c0de7cc2681b0,revision_v1_token_128_bit_hex_022,token_128_bit_hex,train,ascii_b8,nonseg_ascii_b8,forum_purchase_advice,86,True,True,True,True,0,True,False,False,False,True,True,False,86,86
quantization_pair__03402b524bd0c2a4886e5fb8,revision_v1_hmac_sha256_hex_051,hmac_sha256_hex,test,ascii_b8,nonseg_ascii_b8,explain_everyday_system,171,True,True,True,True,0,True,False,False,False,True,True,False,171,171
quantization_pair__034583e7b82d833d3a7e0ed8,revision_v1_ed25519_signature_base64_018,ed25519_signature_base64,train,ascii_b8,nonseg_ascii_b8,forum_learning_answer,235,True,True,True,True,0,True,False,False,False,True,True,False,235,235
quantization_pair__03a30c3aa29f076bae3ca719,revision_v1_chacha20_poly1305_base64_004,chacha20_poly1305_base64,train,ascii_b8,nonseg_ascii_b8,explain_everyday_system,171,True,True,True,False,-1,False,True,False,False,True,False,False,171,171
quantization_pair__03c3ab95a55f767003147bdb,revision_v1_uuid_v4_031,uuid_v4,train,ascii_b16,nonseg_ascii_b16,casual_hobby_chat,72,True,True,False,True,1,False,False,True,False,False,True,True,71,72
quantization_pair__03f513187330439442cfbb4f,revision_v1_uuid_v4_027,uuid_v4,train,ascii_b16,nonseg_ascii_b16,forum_practical_answer,72,True,True,False,True,1,False,False,True,False,False,True,True,71,72
quantization_pair__04743d9ad4c46681e64f012c,revision_v1_nonce_96_bit_hex_023,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,forum_practical_answer,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__052e2786f336d492b41fd40f,revision_v1_chacha20_poly1305_base64_042,chacha20_poly1305_base64,validation,ascii_b8,nonseg_ascii_b8,professional_process_email,171,True,True,True,False,-1,False,True,False,False,True,False,False,171,170
quantization_pair__05834f1fe4fa0c5571ca4c49,revision_v1_uuid_v4_022,uuid_v4,train,ascii_b8,nonseg_ascii_b8,procedure_garden_task,96,True,True,True,True,0,True,False,False,False,True,True,False,96,96
quantization_pair__0587add1372e6c5564884385,revision_v1_uuid_v4_006,uuid_v4,train,ascii_b16,nonseg_ascii_b16,explain_weather_pattern,72,True,True,True,True,0,True,False,False,False,True,True,False,72,72
quantization_pair__05a06a0c15adf65738f80d62,revision_v1_nonce_96_bit_hex_025,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,narrative_local_walk,64,True,True,False,True,1,False,False,True,False,False,True,True,64,64
quantization_pair__05c43489f063a044ef3f643e,revision_v1_token_128_bit_hex_039,token_128_bit_hex,validation,ascii_b16,nonseg_ascii_b16,professional_schedule_note,64,True,True,True,True,0,True,False,False,False,True,True,False,64,64
quantization_pair__05de237cbf9ac7ffe2311390,revision_v1_aes256_gcm_base64_055,aes256_gcm_base64,test,ascii_b8,nonseg_ascii_b8,professional_project_update,171,True,True,True,True,0,True,False,False,False,True,True,False,171,171
quantization_pair__05edb3ce817a77da850aeb62,revision_v1_ed25519_signature_base64_021,ed25519_signature_base64,train,ascii_b16,nonseg_ascii_b16,explain_biological_process,176,True,True,True,False,-1,False,True,False,False,True,False,False,176,175
quantization_pair__06219274bd08ab8c8adbf92c,revision_v1_aes256_gcm_base64_031,aes256_gcm_base64,train,ascii_b8,nonseg_ascii_b8,professional_process_email,171,True,True,True,False,-1,False,True,False,False,True,False,False,171,170
