pairing_unit_id,payload_name,payload_class,payload_split,representation_name,prompt_template_id,population,label,target_token_count,sampling_seed,same_path_position_count,mean_entropy_q8_minus_q4_bits,median_entropy_q8_minus_q4_bits,observed_token_rank_changed_count,observed_token_rank_changed_fraction,greedy_token_changed_count,greedy_token_changed_fraction,mean_absolute_observed_rank_change,exact_generated_token_sequence_match,positionwise_generated_token_match_fraction,first_generated_token_divergence
quantization_pair__005828552e41d3273d9b1ddd,revision_v1_ed25519_signature_base64_027,ed25519_signature_base64,train,ascii_b8,explain_weather_pattern,ordinary_control,0,235,8022330134919874595,235,0.03753089239935726,0.009917261191537886,29,0.12340425531914893,13,0.05531914893617021,0.14042553191489363,False,0.00425531914893617,0
quantization_pair__006d4012fc6d065b1e6825f3,revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,test,ascii_b16,casual_neighborhood_chat,rankcloak,1,48,1785687985985211629,48,-0.016761107790009565,-0.001177635979390572,21,0.4375,8,0.16666666666666666,0.7291666666666666,False,0.041666666666666664,1
quantization_pair__009dc478bf68a6a7a3e63a0e,revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,train,ascii_b8,professional_project_update,rankcloak,1,171,2490029207096314956,171,0.0847394857021169,0.047826874516008644,64,0.3742690058479532,13,0.07602339181286549,0.6491228070175439,False,0.005847953216374269,0
quantization_pair__00a33f20d3f190690a454e60,revision_v1_token_128_bit_hex_005,token_128_bit_hex,train,ascii_b16,procedure_home_task,ordinary_control,0,64,13640256645170876582,64,0.0013832404923370609,0.00033483046235037944,10,0.15625,11,0.171875,0.234375,False,0.015625,0
quantization_pair__00d9b10990909870d6a5d9d1,revision_v1_uuid_v4_002,uuid_v4,train,ascii_b16,professional_process_email,ordinary_control,0,72,9113401467143695058,72,-0.035011689876707414,-0.020572367349924514,9,0.125,7,0.09722222222222222,0.16666666666666666,False,0.08333333333333333,6
quantization_pair__0121d88052358713db3a6157,revision_v1_aes256_gcm_base64_047,aes256_gcm_base64,validation,ascii_b16,explain_everyday_system,rankcloak,1,128,2871897041526839511,128,-0.018563518154293898,-0.006622748350621377,77,0.6015625,13,0.1015625,1.0390625,False,0.015625,1
quantization_pair__0166ee1870f36e77f72fa4a4,revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,train,ascii_b16,casual_hobby_chat,rankcloak,1,48,2380451683208246800,48,-0.03807550089955138,-0.01950869014117123,24,0.5,1,0.020833333333333332,0.9375,False,0.020833333333333332,0
quantization_pair__016d3578d4474508e87dbf1b,revision_v1_hmac_sha256_hex_054,hmac_sha256_hex,test,ascii_b16,forum_learning_answer,rankcloak,1,128,8059400975176834898,128,0.059303385439112816,0.052809906901628845,58,0.453125,6,0.046875,1.125,False,0.0078125,0
quantization_pair__0172152fdeb6a84b919bff38,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,train,ascii_b8,casual_weekend_chat,rankcloak,1,64,17539898386013104676,64,-0.005803825110841078,0.013443866830582296,16,0.25,6,0.09375,0.328125,False,0.078125,5
quantization_pair__0197c21d2188c7345e816bfb,revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,train,ascii_b8,narrative_learning_moment,ordinary_control,0,171,6257525372243705948,171,-0.04976866582129164,-0.016019377556798275,23,0.13450292397660818,6,0.03508771929824561,0.23976608187134502,False,0.023391812865497075,0
quantization_pair__01cd62546103eb5c19e3657b,revision_v1_aes256_gcm_base64_037,aes256_gcm_base64,validation,ascii_b16,professional_project_update,ordinary_control,0,128,8712823369956611483,128,0.023700734015816377,0.007793607958976552,12,0.09375,8,0.0625,0.1015625,False,0.0,0
quantization_pair__020811a7b4de135b164f2cf1,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,validation,ascii_b16,explain_weather_pattern,rankcloak,1,128,4795955735572288765,128,0.021097647885701405,0.02319949010120112,74,0.578125,9,0.0703125,1.09375,False,0.0078125,0
quantization_pair__020d7e9e053fbbff511d8ba5,revision_v1_nonce_96_bit_hex_045,nonce_96_bit_hex,validation,ascii_b8,casual_hobby_chat,rankcloak,1,64,10478021746167882206,64,-0.050284027845561796,-0.025852504136838705,29,0.453125,9,0.140625,0.6875,False,0.015625,1
quantization_pair__0243e3eca27034196a18fd6b,revision_v1_chacha20_poly1305_base64_028,chacha20_poly1305_base64,train,ascii_b16,explain_biological_process,ordinary_control,0,128,15159743763379936449,128,-0.0044645007992712565,3.7581351913547854e-05,4,0.03125,5,0.0390625,0.03125,False,0.0,0
quantization_pair__0254e52ed7e1135d5f90fc94,revision_v1_sha256_hex_014,sha256_hex,train,ascii_b16,procedure_simple_meal,rankcloak,1,128,7861895289165493241,128,0.05075635542255048,0.024045143221701655,60,0.46875,5,0.0390625,0.6953125,False,0.015625,2
quantization_pair__02841fd46e9ab9792323be3e,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,train,ascii_b16,professional_process_email,rankcloak,1,128,2923201502558377165,128,0.036952414645842147,0.01792688931749642,69,0.5390625,13,0.1015625,1.0546875,False,0.0,0
quantization_pair__028b4e1c2e2a168687df347e,revision_v1_token_128_bit_hex_047,token_128_bit_hex,validation,ascii_b8,procedure_garden_task,ordinary_control,0,86,13518585045469777907,86,0.005361883449700489,0.0004226179176863087,3,0.03488372093023256,2,0.023255813953488372,0.06976744186046512,False,0.011627906976744186,0
